strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
340,ITC25NOV340CE,24210690.0,0.0,,,ITC25NOV340PE,24210946,0.0,,
350,ITC25OCT350CE,25470466.0,0.0,,,ITC25OCT350PE,25473538,0.0,,
360,ITC25NOV360CE,24211714.0,0.0,,,ITC25NOV360PE,24211970,0.0,,
365,,,,,,ITC25SEP365PE,25444610,0.3,,
370,ITC25NOV370CE,24212226.0,0.0,,,ITC25NOV370PE,24212482,0.0,,
375,ITC25OCT375CE,24166658.0,0.0,,,ITC25OCT375PE,24166914,0.0,,
380,ITC25NOV380CE,24237314.0,0.0,,,ITC25NOV380PE,24237570,0.0,,
385,ITC25OCT385CE,24167170.0,0.0,,,ITC25OCT385PE,24167426,0.0,,
390,ITC25NOV390CE,24237826.0,0.0,,,ITC25NOV390PE,24238082,0.0,,
395,ITC25OCT395CE,24167682.0,0.0,,,ITC25OCT395PE,24167938,0.0,,
400,ITC25NOV400CE,24238338.0,0.0,,,ITC25NOV400PE,24238594,6.6,,
405,ITC25OCT405CE,24168194.0,0.0,,,ITC25OCT405PE,24168450,0.0,,
410,ITC25NOV410CE,24238850.0,0.0,,,ITC25NOV410PE,24239106,0.0,,
415,ITC25OCT415CE,24168706.0,0.0,,,ITC25OCT415PE,24168962,12.0,,
420,ITC25NOV420CE,24239362.0,7.7,,,ITC25NOV420PE,24239618,0.0,,
425,ITC25OCT425CE,24171266.0,0.0,,,ITC25OCT425PE,24171522,0.0,,
430,ITC25NOV430CE,24240386.0,5.05,,,ITC25NOV430PE,24240642,0.0,,
435,ITC25OCT435CE,24172034.0,0.0,,,ITC25OCT435PE,24172290,0.0,,
440,ITC25NOV440CE,24240898.0,0.0,,,ITC25NOV440PE,24241154,0.0,,
445,ITC25OCT445CE,24172546.0,0.0,,,ITC25OCT445PE,24172802,0.0,,
450,ITC25NOV450CE,24241410.0,0.0,,,ITC25NOV450PE,24241666,0.0,,
455,ITC25SEP455CE,25451266.0,0.35,,,ITC25SEP455PE,25451522,50.5,,
460,ITC25NOV460CE,24241922.0,1.5,,,ITC25NOV460PE,24242178,0.0,,
470,ITC25OCT470CE,25482242.0,0.0,,,ITC25OCT470PE,25482498,0.0,,
480,ITC25SEP480CE,26102530.0,0.15,,,ITC25SEP480PE,26130946,71.05,,
