Date,Close,High,Low,Open,Volume,dCPR,Close2dCPR,wCPR,Close2wCPR,Price_Moment_1,Price_Moment_2,Price_Moment_3,Price_Moment_4,Price_Moment_5,Price_Moment_6,Price_Moment_7,Price_Moment_8,Price_Moment_9,Price_Moment_10,Price_Moment_11,Price_Moment_12,Price_Moment_13,Price_Moment_14,Price_Moment_15,Price_Moment_16,Price_Moment_17,Price_Moment_18,Price_Moment_19,SMA_10,SMA_15,O-C,H-L,Rolling_vol_5,Rolling_vol_10,Rolling_vol_15,Returns
2007-09-17,4494.64990234375,4549.0498046875,4482.85009765625,4518.4501953125,0,,,,,,,,,,,,,,,,,,,,,,,,,,23.80029296875,66.19970703125,,,,
2007-09-18,4546.2001953125,4551.7998046875,4481.5498046875,4494.10009765625,0,4508.849934895833,1.008283766582604,,,51.55029296875,,,,,,,,,,,,,,,,,,,,,-52.10009765625,70.25,,,,0.011469256580333154
2007-09-19,4732.35009765625,4739.0,4550.25,4550.25,0,4526.5166015625,1.0454728247373928,,,186.14990234375,237.7001953125,,,,,,,,,,,,,,,,,,,,-182.10009765625,188.75,,,,0.04094626156931791
2007-09-20,4747.5498046875,4760.85009765625,4721.14990234375,4734.85009765625,0,4673.86669921875,1.0157649137663824,,,15.19970703125,201.349609375,252.89990234375,,,,,,,,,,,,,,,,,,,-12.69970703125,39.7001953125,,,,0.0032118728998469237
2007-09-21,4837.5498046875,4855.7001953125,4733.7001953125,4752.9501953125,0,4743.183268229167,1.0198951908711644,,,90.0,105.19970703125,291.349609375,342.89990234375,,,,,,,,,,,,,,,,,,-84.599609375,122.0,,,,0.018957147097464544
2007-09-24,4932.2001953125,4941.14990234375,4837.14990234375,4837.14990234375,0,4808.9833984375,1.0256222129847723,4724.933268229167,1.0438666358479627,94.650390625,184.650390625,199.85009765625,386.0,437.55029296875,,,,,,,,,,,,,,,,,-95.05029296875,104.0,21.73604317911887,,,0.01956577078199495
2007-09-25,4938.85009765625,4953.89990234375,4878.14990234375,4939.10009765625,0,4903.5,1.0072091562468135,4724.933268229167,1.0452740424643618,6.64990234375,101.30029296875,191.30029296875,206.5,392.64990234375,444.2001953125,,,,,,,,,,,,,,,,0.25,75.75,24.7747484833671,,,0.0013482628604715163
2007-09-26,4940.5,4980.85009765625,4930.35009765625,4937.60009765625,0,4923.63330078125,1.0034256611303838,4724.933268229167,1.0456232330772417,1.64990234375,8.2998046875,102.9501953125,192.9501953125,208.14990234375,394.2998046875,445.85009765625,,,,,,,,,,,,,,,-2.89990234375,50.5,15.232771971686132,,,0.0003340660905122306
2007-09-27,5000.5498046875,5016.39990234375,4942.7001953125,4942.7001953125,0,4950.566731770833,1.0100964345346353,4724.933268229167,1.0583323659429438,60.0498046875,61.69970703125,68.349609375,163.0,253.0,268.19970703125,454.349609375,505.89990234375,,,,,,,,,,,,,,-57.849609375,73.69970703125,14.539824431836745,,,0.012154600685659434
2007-09-28,5021.35009765625,5055.7998046875,4996.4501953125,4996.4501953125,0,4986.549967447917,1.0069787990565637,4724.933268229167,1.0627346065224272,20.80029296875,80.85009765625,82.5,89.14990234375,183.80029296875,273.80029296875,289.0,475.14990234375,526.7001953125,,,,,,,,,,,4819.175,,-24.89990234375,59.349609375,12.833329187655549,,,0.004159601200102392
