Date,Close,High,Low,Open,Volume,dCPR,Close2dCPR,wCPR,Close2wCPR,Price_Moment_1,Price_Moment_2,Price_Moment_3,Price_Moment_4,Price_Moment_5,Price_Moment_6,Price_Moment_7,Price_Moment_8,Price_Moment_9,Price_Moment_10,Price_Moment_11,Price_Moment_12,Price_Moment_13,Price_Moment_14,Price_Moment_15,Price_Moment_16,Price_Moment_17,Price_Moment_18,Price_Moment_19,SMA_10,SMA_15,O-C,H-L,Rolling_vol_5,Rolling_vol_10,Rolling_vol_15,Returns
2007-09-17,6897.02001953125,6977.119187192931,6842.920549999041,6897.919911426769,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998918955194313,134.19863719389014,,,,
2007-09-18,7059.56787109375,7078.8679397982405,6883.520112058051,6921.069480426831,0,6905.686585574407,1.0222832709843497,,,162.5478515625,,,,,,,,,,,,,,,,,,,,,-138.49839066691857,195.34782774018913,,,,0.02356783815360708
2007-09-19,7401.76416015625,7419.263956976473,7110.917439349022,7110.917439349022,0,7007.318640983347,1.056290507023033,,,342.1962890625,504.744140625,,,,,,,,,,,,,,,,,,,,-290.84672080722794,308.34651762745125,,,,0.048472696248684555
2007-09-20,7390.06396484375,7462.813118859134,7343.514701467846,7404.864085705006,0,7310.648518827249,1.010862982375911,,,-11.7001953125,330.49609375,493.0439453125,,,,,,,,,,,,,,,,,,,14.800120861255891,119.29841739128824,,,,-0.0015807306284469913
2007-09-21,7464.4130859375,7506.262696305653,7367.064121792197,7378.213894310332,0,7398.797261723576,1.008868444679972,,,74.34912109375,62.64892578125,404.84521484375,567.39306640625,,,,,,,,,,,,,,,,,,-86.19919162716815,139.19857451345615,,,,0.010060687085720277
2007-09-24,7650.81103515625,7660.960819606251,7514.312620639167,7514.312620639167,0,7445.913301345116,1.0275181466018573,7271.198777414065,1.0522076578240913,186.39794921875,260.7470703125,249.046875,591.2431640625,753.791015625,,,,,,,,,,,,,,,,,-136.4984145170829,146.64819896708377,29.025458791138707,,,0.02497154793990597
2007-09-25,7629.06103515625,7694.160374502248,7490.112946663085,7658.410790931601,0,7608.69482513389,1.0026767021796017,7271.198777414065,1.049216404157975,-21.75,164.64794921875,238.9970703125,227.296875,569.4931640625,732.041015625,,,,,,,,,,,,,,,,29.349755775350786,204.047427839163,33.1944293401329,,,-0.002842835864074633
2007-09-26,7755.8095703125,7829.758904335989,7591.711383910307,7647.011032803211,0,7604.444785440527,1.0199047779479937,7271.198777414065,1.0666479913056073,126.74853515625,104.99853515625,291.396484375,365.74560546875,354.04541015625,696.24169921875,858.78955078125,,,,,,,,,,,,,,,-108.79853750928942,238.0475204256827,18.64586318897875,,,0.01661391022724379
2007-09-27,7833.55908203125,7866.408798836151,7747.01028076877,7804.459321750297,0,7725.759952852932,1.0139532071713555,7271.198777414065,1.0773407964535364,77.74951171875,204.498046875,182.748046875,369.14599609375,443.4951171875,431.794921875,773.9912109375,936.5390625,,,,,,,,,,,,,,-29.099760280952978,119.39851806738079,16.007377174840883,,,0.010024680339800751
2007-09-28,8042.10693359375,8082.756364539167,7835.958933600577,7838.159103398419,0,7815.6593872120575,1.0289735689802713,7271.198777414065,1.1060221539499504,208.5478515625,286.29736328125,413.0458984375,391.2958984375,577.69384765625,652.04296875,640.3427734375,982.5390625,1145.0869140625,,,,,,,,,,,7512.41767578125,,-203.94783019533133,246.79743093858997,18.852836372062484,,,0.02662236275729013
2007-10-01,7987.4072265625,8085.055994719444,7913.207893072496,8008.456786760142,0,7986.940743911165,1.0000584056732473,7871.658748265334,1.0147044583611649,-54.69970703125,153.84814453125,231.59765625,358.34619140625,336.59619140625,522.994140625,597.34326171875,585.64306640625,927.83935546875,1090.38720703125,,,,,,,,,,7621.456396484375,,21.049560197641767,171.84810164694863,21.62548431677952,26.171183626586846,,-0.006801663728538188
2007-10-03,8097.8056640625,8235.703961613657,7820.158992834213,8029.706358912485,0,7995.223704784813,1.0128304051350427,7871.658748265334,1.0287292580927752,110.3984375,55.69873046875,264.24658203125,341.99609375,468.74462890625,446.99462890625,633.392578125,707.74169921875,696.04150390625,1038.23779296875,1200.78564453125,,,,,,,,,7725.28017578125,,-68.09930515001543,415.5449687794444,19.163321960058358,25.72786720742726,,0.013821561161031726
