date_time,open,high,low,price,volume
2015-09-03 00:00:00+05:30,169.75,170.45,165.8,168.75,94405
2015-09-04 00:00:00+05:30,168.9,169.65,165.25,167.05,104040
2015-09-07 00:00:00+05:30,166.6,167.55,156.3,156.95,63925
2015-09-08 00:00:00+05:30,157.6,162.1,156.45,160.15,70395
2015-09-09 00:00:00+05:30,162.05,165.6,160.35,163.45,65425
2015-09-10 00:00:00+05:30,163.4,171.5,159.8,169.8,119080
2015-09-11 00:00:00+05:30,171.5,175.35,170.5,171.15,124775
2015-09-14 00:00:00+05:30,172.0,172.75,168.35,168.85,38710
2015-09-15 00:00:00+05:30,169.75,170.0,165.0,166.7,47270
2015-09-16 00:00:00+05:30,167.0,171.2,166.55,169.85,58550
2015-09-18 00:00:00+05:30,171.95,177.9,170.8,177.25,141305
2015-09-21 00:00:00+05:30,176.65,181.05,174.25,177.0,105015
2015-09-22 00:00:00+05:30,177.15,179.6,172.5,173.35,62780
2015-09-23 00:00:00+05:30,172.45,173.65,168.75,171.85,58125
2015-09-24 00:00:00+05:30,172.1,175.35,168.75,170.8,67870
2015-09-28 00:00:00+05:30,171.5,177.35,169.85,173.4,77810
2015-09-29 00:00:00+05:30,172.0,183.85,169.95,182.4,242860
2015-09-30 00:00:00+05:30,184.7,184.7,176.35,180.15,142615
2015-10-01 00:00:00+05:30,179.65,183.2,177.9,180.55,100935
2015-10-05 00:00:00+05:30,181.0,185.15,180.95,184.05,108050
2015-10-06 00:00:00+05:30,184.75,189.8,184.15,186.0,158875
2015-10-07 00:00:00+05:30,185.9,190.7,182.85,189.75,89635
2015-10-08 00:00:00+05:30,189.75,189.75,184.15,185.05,62225
2015-10-09 00:00:00+05:30,186.1,188.45,183.6,186.4,112580
2015-10-12 00:00:00+05:30,187.45,191.35,185.55,190.3,103580
2015-10-13 00:00:00+05:30,190.5,196.8,189.95,196.0,157700
2015-10-14 00:00:00+05:30,197.8,198.25,189.4,193.0,78150
2015-10-15 00:00:00+05:30,194.85,195.7,192.45,194.05,45900
2015-10-16 00:00:00+05:30,195.85,195.9,181.95,186.65,236090
2015-10-19 00:00:00+05:30,187.3,190.0,184.55,188.65,113075
2015-10-20 00:00:00+05:30,189.8,190.95,187.65,189.75,60100
2015-10-21 00:00:00+05:30,187.1,187.7,176.8,181.7,420295
2015-10-23 00:00:00+05:30,189.6,189.8,182.65,183.95,306515
2015-10-26 00:00:00+05:30,184.4,186.2,181.8,183.95,69330
2015-10-27 00:00:00+05:30,183.35,185.8,180.95,184.6,85895
2015-10-28 00:00:00+05:30,182.2,185.9,180.25,182.05,148240
2015-10-29 00:00:00+05:30,182.1,184.35,175.95,183.4,269220
2015-10-30 00:00:00+05:30,183.55,185.9,181.6,183.7,119600
2015-11-02 00:00:00+05:30,183.95,188.0,181.5,183.2,134340
2015-11-03 00:00:00+05:30,183.2,186.45,182.3,185.55,117825
2015-11-04 00:00:00+05:30,187.1,187.65,185.05,186.05,65455
2015-11-05 00:00:00+05:30,185.15,185.6,175.4,178.75,174255
2015-11-06 00:00:00+05:30,178.4,182.75,178.15,181.75,133060
2015-11-09 00:00:00+05:30,180.25,180.25,172.6,173.7,193370
2015-11-10 00:00:00+05:30,172.45,173.2,167.8,169.0,110390
2015-11-11 00:00:00+05:30,171.5,171.75,169.15,170.1,26835
2015-11-13 00:00:00+05:30,170.25,173.65,166.6,172.5,89835
2015-11-16 00:00:00+05:30,170.5,172.05,167.3,171.1,112985
2015-11-17 00:00:00+05:30,171.5,171.6,169.0,169.45,70520
2015-11-18 00:00:00+05:30,170.3,170.9,165.15,166.1,90920
2015-11-19 00:00:00+05:30,167.95,168.65,164.45,166.05,136380
2015-11-20 00:00:00+05:30,166.6,168.35,164.75,165.45,102225
2015-11-23 00:00:00+05:30,165.65,166.05,161.75,162.3,149160
2015-11-24 00:00:00+05:30,161.75,166.1,161.75,164.9,111485
2015-11-26 00:00:00+05:30,165.65,166.35,164.0,165.15,145055
2015-11-27 00:00:00+05:30,165.65,172.15,165.25,171.35,182845
2015-11-30 00:00:00+05:30,172.45,173.05,169.15,170.35,100140
2015-12-01 00:00:00+05:30,172.2,172.6,169.65,171.1,44705
2015-12-02 00:00:00+05:30,172.45,173.8,169.65,172.6,140435
2015-12-03 00:00:00+05:30,171.5,171.5,166.95,167.7,146370
2015-12-04 00:00:00+05:30,166.6,166.6,162.9,164.95,323345
2015-12-07 00:00:00+05:30,166.05,168.3,165.45,167.1,92980
2015-12-08 00:00:00+05:30,166.6,168.45,165.65,166.55,49170
2015-12-09 00:00:00+05:30,168.1,168.15,165.25,166.1,99390
2015-12-10 00:00:00+05:30,166.45,166.7,160.3,160.7,279560
2015-12-11 00:00:00+05:30,160.6,160.8,156.6,157.35,215580
2015-12-14 00:00:00+05:30,157.25,157.25,152.95,155.5,187355
2015-12-15 00:00:00+05:30,156.1,156.35,152.15,154.05,186835
2015-12-16 00:00:00+05:30,154.05,156.6,152.75,154.65,135875
2015-12-17 00:00:00+05:30,154.9,157.85,154.9,156.55,137985
2015-12-18 00:00:00+05:30,156.3,161.25,155.9,159.95,128240
2015-12-21 00:00:00+05:30,160.05,164.65,159.2,164.25,141400
2015-12-22 00:00:00+05:30,164.85,166.5,164.0,165.65,179985
2015-12-23 00:00:00+05:30,166.6,167.1,164.0,165.85,77535
2015-12-24 00:00:00+05:30,166.3,168.0,164.65,166.4,51140
2015-12-28 00:00:00+05:30,165.9,166.75,164.95,165.95,95360
2015-12-29 00:00:00+05:30,166.8,167.8,164.65,165.05,58370
2015-12-30 00:00:00+05:30,165.9,168.05,164.9,165.75,92305
2015-12-31 00:00:00+05:30,164.85,169.9,164.8,166.65,214665
2016-01-01 00:00:00+05:30,166.95,169.5,166.65,168.5,56985
2016-01-04 00:00:00+05:30,167.6,170.9,162.5,163.8,75975
2016-01-05 00:00:00+05:30,165.05,169.55,163.3,167.4,575185
2016-01-06 00:00:00+05:30,171.7,173.75,168.05,169.5,177980
2016-01-07 00:00:00+05:30,167.6,168.9,158.6,160.15,279555
2016-01-08 00:00:00+05:30,161.8,166.6,161.7,163.9,121820
2016-01-11 00:00:00+05:30,162.9,163.7,158.65,159.45,133020
2016-01-12 00:00:00+05:30,160.75,160.75,157.05,157.6,71850
2016-01-13 00:00:00+05:30,158.6,159.75,153.0,157.1,173350
2016-01-14 00:00:00+05:30,155.9,157.4,153.25,155.55,89770
2016-01-15 00:00:00+05:30,154.15,158.8,148.3,148.9,84180
2016-01-18 00:00:00+05:30,148.9,151.45,144.85,149.15,100850
2016-01-19 00:00:00+05:30,152.0,152.5,147.2,150.9,160870
2016-01-20 00:00:00+05:30,149.45,149.45,145.3,146.2,125380
2016-01-21 00:00:00+05:30,146.75,148.45,143.5,144.9,159065
2016-01-22 00:00:00+05:30,146.15,149.45,145.4,146.55,105320
2016-01-25 00:00:00+05:30,147.15,149.45,145.75,146.35,65555
2016-01-27 00:00:00+05:30,147.2,147.65,144.1,145.85,54190
2016-01-28 00:00:00+05:30,144.8,147.3,143.8,146.6,141995
2016-01-29 00:00:00+05:30,146.3,167.4,146.3,164.1,467165
2016-02-01 00:00:00+05:30,169.55,169.55,156.25,158.0,183095
2016-02-02 00:00:00+05:30,156.85,164.0,154.35,156.55,225940
2016-02-03 00:00:00+05:30,154.35,161.65,152.8,156.7,168425
2016-02-04 00:00:00+05:30,158.8,163.75,158.15,162.25,215530
2016-02-05 00:00:00+05:30,164.25,165.25,161.75,164.0,91855
2016-02-08 00:00:00+05:30,165.65,169.35,165.25,167.3,110130
2016-02-09 00:00:00+05:30,165.65,165.65,158.45,159.35,274035
2016-02-10 00:00:00+05:30,157.85,159.45,155.5,157.95,133180
2016-02-11 00:00:00+05:30,157.85,158.05,150.05,151.65,155840
2016-02-12 00:00:00+05:30,151.65,155.4,145.75,153.65,315210
2016-02-15 00:00:00+05:30,155.9,160.2,151.9,158.5,147575
2016-02-16 00:00:00+05:30,160.75,164.2,156.85,157.6,149800
2016-02-17 00:00:00+05:30,157.85,162.7,156.3,162.2,148775
2016-02-18 00:00:00+05:30,163.7,164.95,160.9,162.85,242165
2016-02-19 00:00:00+05:30,163.7,163.7,158.1,160.6,169235
2016-02-22 00:00:00+05:30,161.1,165.25,159.3,163.35,128455
2016-02-23 00:00:00+05:30,165.65,165.9,155.95,157.25,110800
2016-02-24 00:00:00+05:30,155.9,160.0,155.05,159.15,102660
2016-02-25 00:00:00+05:30,159.6,159.7,153.0,154.75,121140
2016-02-26 00:00:00+05:30,155.9,156.85,151.2,155.95,167545
2016-02-29 00:00:00+05:30,154.05,157.85,150.7,156.7,226510
2016-03-01 00:00:00+05:30,157.9,168.05,156.7,165.95,169385
2016-03-02 00:00:00+05:30,166.6,171.9,166.6,168.9,208200
2016-03-03 00:00:00+05:30,170.5,172.05,167.5,171.1,90215
2016-03-04 00:00:00+05:30,172.45,178.45,169.35,177.6,219880
2016-03-08 00:00:00+05:30,175.55,181.0,175.2,179.1,226965
2016-03-09 00:00:00+05:30,178.3,182.85,175.1,182.4,146980
2016-03-10 00:00:00+05:30,181.25,183.85,179.55,180.45,111260
2016-03-11 00:00:00+05:30,180.25,183.3,179.0,180.1,89785
2016-03-14 00:00:00+05:30,179.3,185.3,179.3,183.1,90765
2016-03-15 00:00:00+05:30,184.15,184.15,179.5,180.3,67145
2016-03-16 00:00:00+05:30,179.3,179.3,173.15,177.1,94060
2016-03-17 00:00:00+05:30,178.2,180.3,176.0,177.45,64055
2016-03-18 00:00:00+05:30,177.7,178.8,174.0,177.0,2108935
2016-03-21 00:00:00+05:30,177.55,182.55,175.95,181.45,245990
2016-03-22 00:00:00+05:30,181.8,183.0,179.9,182.0,94880
2016-03-23 00:00:00+05:30,181.6,182.2,175.6,176.6,98210
2016-03-28 00:00:00+05:30,176.35,179.85,175.7,176.4,230550
2016-03-29 00:00:00+05:30,178.3,182.6,176.6,182.6,180805
2016-03-30 00:00:00+05:30,182.45,186.45,181.8,183.2,261015
2016-03-31 00:00:00+05:30,185.15,188.05,182.65,185.5,89845
2016-04-01 00:00:00+05:30,185.15,185.75,179.4,180.4,151765
2016-04-04 00:00:00+05:30,179.95,181.2,177.85,179.8,156245
2016-04-05 00:00:00+05:30,178.95,182.1,177.55,179.65,751135
2016-04-06 00:00:00+05:30,181.15,181.6,176.8,180.8,159090
2016-04-07 00:00:00+05:30,181.05,185.15,179.75,185.1,104200
2016-04-08 00:00:00+05:30,185.9,186.75,182.3,184.65,104905
2016-04-11 00:00:00+05:30,183.7,186.65,182.95,184.75,70685
2016-04-12 00:00:00+05:30,183.55,191.75,183.55,188.05,146015
2016-04-13 00:00:00+05:30,189.8,195.45,189.8,192.7,117280
2016-04-18 00:00:00+05:30,192.55,196.35,192.55,194.4,93375
2016-04-20 00:00:00+05:30,194.85,195.65,191.35,193.7,78635
2016-04-21 00:00:00+05:30,192.3,194.1,187.1,187.9,259235
2016-04-22 00:00:00+05:30,183.2,189.5,183.2,185.6,95340
2016-04-25 00:00:00+05:30,187.1,192.5,187.1,190.8,124275
2016-04-26 00:00:00+05:30,190.8,193.7,190.8,191.75,97480
2016-04-27 00:00:00+05:30,192.5,194.5,192.0,193.1,89400
2016-04-28 00:00:00+05:30,193.4,193.4,186.2,187.55,120370
2016-04-29 00:00:00+05:30,188.2,188.7,180.9,183.9,188910
