date_time,open,high,low,price,volume
2015-09-03 00:00:00+05:30,2194.4,2209.6,2159.4,2191.3,29643
2015-09-04 00:00:00+05:30,2177.8,2178.8,2132.15,2153.3,20395
2015-09-07 00:00:00+05:30,2160.35,2166.55,2123.85,2138.55,38009
2015-09-08 00:00:00+05:30,2167.1,2167.1,2121.3,2155.2,14892
2015-09-09 00:00:00+05:30,2165.15,2220.65,2165.15,2212.95,21057
2015-09-10 00:00:00+05:30,2194.4,2258.75,2165.15,2245.55,19564
2015-09-11 00:00:00+05:30,2256.5,2274.15,2220.7,2261.2,31764
2015-09-14 00:00:00+05:30,2281.35,2281.35,2242.4,2253.4,12167
2015-09-15 00:00:00+05:30,2258.75,2258.75,2225.65,2238.45,18406
2015-09-16 00:00:00+05:30,2245.3,2310.45,2242.25,2287.65,35318
2015-09-18 00:00:00+05:30,2292.05,2315.3,2210.95,2237.45,52332
2015-09-21 00:00:00+05:30,2236.0,2253.9,2211.55,2246.15,11548
2015-09-22 00:00:00+05:30,2254.55,2259.2,2185.6,2202.35,24201
2015-09-23 00:00:00+05:30,2202.35,2202.35,2158.35,2184.9,19961
2015-09-24 00:00:00+05:30,2189.5,2235.65,2180.55,2226.65,22834
2015-09-28 00:00:00+05:30,2233.4,2247.0,2208.45,2219.65,29111
2015-09-29 00:00:00+05:30,2217.8,2236.6,2152.05,2196.1,19301
2015-09-30 00:00:00+05:30,2204.15,2262.65,2196.85,2252.65,15042
2015-10-01 00:00:00+05:30,2272.1,2272.1,2229.45,2256.65,16821
2015-10-05 00:00:00+05:30,2258.05,2339.7,2254.6,2325.45,26369
2015-10-06 00:00:00+05:30,2330.95,2330.95,2287.75,2318.85,19548
2015-10-07 00:00:00+05:30,2318.25,2406.0,2303.6,2391.7,26515
2015-10-08 00:00:00+05:30,2404.05,2411.2,2348.15,2375.0,12806
2015-10-09 00:00:00+05:30,2374.8,2436.25,2372.75,2383.75,22670
2015-10-12 00:00:00+05:30,2383.75,2394.3,2348.5,2365.4,9827
2015-10-13 00:00:00+05:30,2376.0,2414.75,2371.4,2399.95,14870
2015-10-14 00:00:00+05:30,2400.05,2417.55,2371.95,2379.3,13075
2015-10-15 00:00:00+05:30,2397.6,2399.15,2381.45,2391.2,13997
2015-10-16 00:00:00+05:30,2389.25,2426.9,2377.75,2397.7,25191
2015-10-19 00:00:00+05:30,2397.7,2409.7,2373.15,2398.95,11944
2015-10-20 00:00:00+05:30,2402.1,2404.6,2344.35,2378.05,30894
2015-10-21 00:00:00+05:30,2398.9,2472.35,2374.8,2456.0,118573
2015-10-23 00:00:00+05:30,2472.35,2500.65,2443.1,2451.7,31344
2015-10-26 00:00:00+05:30,2457.7,2511.35,2457.7,2504.1,33522
2015-10-27 00:00:00+05:30,2487.05,2530.3,2487.05,2518.45,16477
2015-10-28 00:00:00+05:30,2506.5,2520.15,2496.75,2505.3,24199
2015-10-29 00:00:00+05:30,2511.05,2534.75,2501.7,2511.5,13042
2015-10-30 00:00:00+05:30,2533.5,2533.5,2475.6,2486.6,8266
2015-11-02 00:00:00+05:30,2467.75,2491.85,2334.85,2372.05,45674
2015-11-03 00:00:00+05:30,2372.3,2389.35,2352.55,2361.5,14004
2015-11-04 00:00:00+05:30,2389.4,2411.8,2374.8,2388.25,20432
2015-11-05 00:00:00+05:30,2388.5,2407.55,2346.1,2354.6,23352
2015-11-06 00:00:00+05:30,2355.3,2386.5,2355.3,2363.0,11713
2015-11-09 00:00:00+05:30,2345.25,2368.0,2325.15,2349.45,17630
2015-11-10 00:00:00+05:30,2349.45,2408.95,2327.05,2392.55,22442
2015-11-11 00:00:00+05:30,2423.3,2423.3,2375.6,2390.45,7594
2015-11-13 00:00:00+05:30,2390.4,2408.45,2303.95,2318.25,32815
2015-11-16 00:00:00+05:30,2318.25,2350.45,2288.1,2324.6,23842
2015-11-17 00:00:00+05:30,2335.8,2357.6,2296.9,2305.4,28890
2015-11-18 00:00:00+05:30,2309.55,2325.4,2283.15,2287.65,13868
2015-11-19 00:00:00+05:30,2313.25,2369.95,2305.2,2363.75,21960
2015-11-20 00:00:00+05:30,2368.25,2442.2,2367.05,2407.5,36127
2015-11-23 00:00:00+05:30,2415.8,2467.0,2415.8,2460.85,26764
2015-11-24 00:00:00+05:30,2457.7,2481.4,2411.0,2417.6,19464
2015-11-26 00:00:00+05:30,2426.5,2457.7,2390.4,2401.55,20951
2015-11-27 00:00:00+05:30,2382.3,2402.15,2367.1,2388.3,13425
2015-11-30 00:00:00+05:30,2399.2,2447.95,2399.2,2420.2,21215
2015-12-01 00:00:00+05:30,2420.2,2437.25,2394.95,2400.35,15063
2015-12-02 00:00:00+05:30,2436.25,2450.9,2367.5,2437.6,139796
2015-12-03 00:00:00+05:30,2406.0,2444.05,2406.0,2419.8,15888
2015-12-04 00:00:00+05:30,2418.7,2424.55,2394.3,2408.1,14258
2015-12-07 00:00:00+05:30,2418.7,2422.5,2382.6,2388.45,20700
2015-12-08 00:00:00+05:30,2388.45,2420.1,2379.7,2401.6,10800
2015-12-09 00:00:00+05:30,2398.3,2410.2,2324.3,2331.35,24789
2015-12-10 00:00:00+05:30,2344.65,2388.45,2340.95,2381.1,8119
2015-12-11 00:00:00+05:30,2383.1,2389.45,2340.7,2352.3,10726
2015-12-14 00:00:00+05:30,2352.3,2366.95,2316.35,2350.2,11995
2015-12-15 00:00:00+05:30,2350.45,2388.45,2331.95,2375.25,12388
2015-12-16 00:00:00+05:30,2377.05,2404.85,2370.45,2391.05,11230
2015-12-17 00:00:00+05:30,2392.05,2471.35,2392.05,2461.8,22132
2015-12-18 00:00:00+05:30,2421.75,2441.0,2405.05,2420.6,26113
2015-12-21 00:00:00+05:30,2422.55,2444.05,2414.15,2427.7,8525
2015-12-22 00:00:00+05:30,2423.65,2440.0,2405.8,2414.9,13788
2015-12-23 00:00:00+05:30,2418.7,2439.0,2410.9,2414.4,9501
2015-12-24 00:00:00+05:30,2435.3,2435.3,2407.95,2423.4,8169
2015-12-28 00:00:00+05:30,2426.5,2434.9,2422.6,2425.95,2854
2015-12-29 00:00:00+05:30,2438.2,2477.1,2435.2,2468.6,11072
2015-12-30 00:00:00+05:30,2477.2,2487.6,2449.9,2453.35,15978
2015-12-31 00:00:00+05:30,2453.8,2486.95,2443.1,2470.9,11285
2016-01-01 00:00:00+05:30,2467.45,2467.45,2450.05,2457.75,9055
2016-01-04 00:00:00+05:30,2445.9,2482.95,2419.35,2426.65,23077
2016-01-05 00:00:00+05:30,2455.75,2457.7,2418.7,2435.35,11967
2016-01-06 00:00:00+05:30,2433.35,2451.55,2413.85,2424.05,11975
2016-01-07 00:00:00+05:30,2408.95,2420.45,2347.75,2359.45,15962
2016-01-08 00:00:00+05:30,2369.95,2383.6,2302.65,2318.1,24876
2016-01-11 00:00:00+05:30,2302.65,2311.25,2273.45,2301.45,15545
2016-01-12 00:00:00+05:30,2301.45,2319.2,2279.25,2284.55,13023
2016-01-13 00:00:00+05:30,2305.55,2324.85,2273.45,2305.55,14344
2016-01-14 00:00:00+05:30,2291.9,2317.2,2264.05,2303.75,11131
2016-01-15 00:00:00+05:30,2297.75,2321.15,2258.25,2277.45,29591
2016-01-18 00:00:00+05:30,2277.3,2277.3,2185.6,2194.0,22277
2016-01-19 00:00:00+05:30,2190.5,2233.4,2179.75,2210.6,9362
2016-01-20 00:00:00+05:30,2198.3,2228.45,2175.0,2220.0,10413
2016-01-21 00:00:00+05:30,2222.05,2239.65,2202.4,2217.8,18314
2016-01-22 00:00:00+05:30,2233.4,2276.7,2219.95,2260.3,16473
2016-01-25 00:00:00+05:30,2262.75,2289.4,2254.35,2265.75,8197
2016-01-27 00:00:00+05:30,2289.0,2289.0,2230.45,2244.8,14642
2016-01-28 00:00:00+05:30,2246.1,2252.25,2194.4,2213.65,15103
2016-01-29 00:00:00+05:30,2213.9,2301.65,2208.65,2284.0,14005
2016-02-01 00:00:00+05:30,2321.15,2321.15,2255.35,2270.55,14234
