Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2015-08-26,1101.3267822265625,1127.9330079735707,1073.6306420251449,1093.3342501408283,3216158,,
2015-08-27,1100.428955078125,1117.6321738153888,1088.0982633870117,1117.6321738153888,5264798,,
2015-08-28,1098.804931640625,1115.1105501110046,1093.184438317424,1115.1105501110046,2744152,,
2015-08-31,1095.8988037109375,1106.9900538441448,1081.7942972333867,1106.9900538441448,3692044,,
2015-09-01,1084.5081787109375,1116.0510019251417,1081.3453920307431,1092.458032423154,2987602,,
2015-09-02,1107.7593994140625,1120.004633620279,1089.0388519682483,1094.039519704631,3765950,,
2015-09-03,1113.6578369140625,1117.6754430389472,1101.1133308333033,1109.597448115259,2265074,,
2015-09-04,1088.8035888671875,1117.6323196813378,1085.256071496855,1116.1363874219887,2426396,,
2015-09-07,1085.512451171875,1094.1460956290591,1082.4991956214076,1091.175622735229,1759184,,
2015-09-08,1085.7479248046875,1095.920287568412,1078.567427303942,1087.7567277545204,1787746,,
2015-09-09,1089.7872314453125,1100.1519104775898,1087.32962713869,1095.4290152448266,2045076,,
2015-09-10,1087.9273681640625,1102.0746548422696,1080.0630803903105,1086.4742185802015,2665818,,
2015-09-11,1090.748291015625,1097.757760237517,1085.8758678184502,1088.397540388436,1592672,,
2015-09-14,1090.598876953125,1096.3048327340289,1086.9018283207154,1096.3048327340289,1589318,,
2015-09-15,1084.4437255859375,1093.697090747521,1083.9094642175337,1090.5983748107792,1379900,,
2015-09-16,1090.043701171875,1096.3052076949457,1086.0687725316836,1092.031113317967,1756816,,
2015-09-18,1090.427734375,1105.2802042503674,1085.19197161318,1096.30461094439,2455294,,
2015-09-21,1090.3424072265625,1092.9282541040575,1082.713110240921,1089.89360663659,1108840,,
2015-09-22,1079.9779052734375,1099.4677079206317,1064.2492212148036,1093.0993507055662,2081246,,
2015-09-23,1082.478271484375,1093.2062881359789,1073.9087973136104,1083.183559535617,1228352,,
2015-09-24,1102.88671875,1106.9898890354136,1081.3025529599272,1083.6960863510776,2354254,,
2015-09-28,1108.5712890625,1119.384763354338,1102.5020989203952,1108.6995326999438,2366812,,
2015-09-29,1106.241943359375,1125.7959156992538,1098.3776552394588,1104.1476798643412,3325952,,
2015-09-30,1106.1566162109375,1129.941901080875,1098.847875729323,1129.941901080875,3368336,,
2015-10-01,1130.326171875,1132.6127480003536,1107.9298719452436,1110.8362747572487,2834408,,
2015-10-05,1158.9842529296875,1183.923624447394,1133.7884984703362,1133.7884984703362,4807306,,
2015-10-06,1154.0052490234375,1165.1178921621818,1147.1666993995948,1164.6904828106915,3979590,,
2015-10-07,1134.322509765625,1161.2706779464093,1131.330645670805,1151.418876021737,2065530,,
2015-10-08,1125.71044921875,1144.7515512573575,1119.8121809836723,1141.1826424528265,2357550,,
2015-10-09,1123.9366455078125,1132.890952399113,1114.6832773715755,1132.848169736718,2249724,,
2015-10-12,1108.1011962890625,1137.0581712257108,1105.7076628946004,1134.771490137288,2455912,,
2015-10-13,1110.6444091796875,1116.393043145587,1097.4161127884254,1112.460898625847,6179712,,
2015-10-14,1061.556640625,1089.0390842244378,1059.9752468118547,1089.0390842244378,8337128,,
2015-10-15,1054.7391357421875,1070.0190158365176,1053.563760350316,1064.2489911855118,3215710,,
2015-10-16,1056.5560302734375,1065.1042182206336,1055.7012114787178,1060.3599321707409,2333828,,
2015-10-19,1063.71484375,1066.3647604117975,1049.6531202016436,1064.2491053490708,3130642,,
2015-10-20,1079.9566650390625,1081.3457455422297,1066.6429044171375,1066.9206787785731,2695084,,
2015-10-21,1081.34521484375,1086.4741249536808,1078.0327937310865,1083.4822607228878,1929688,,
2015-10-23,1086.763671875,1091.411206479958,1082.5445821932344,1091.411206479958,2335398,,
2015-10-26,1086.50732421875,1091.8401435497374,1077.3194396496503,1091.8401435497374,1414630,,
2015-10-27,1084.1727294921875,1090.0837449942453,1079.5680689128476,1083.7229510321645,1530420,,
2015-10-28,1083.315673828125,1085.2217675634934,1075.1557688477633,1075.1557688477633,1255342,,
2015-10-29,1068.859375,1086.014326222019,1066.5891497184973,1085.2219591411797,3130316,,
2015-10-30,1068.7950439453125,1075.9483083713742,1064.4259923765735,1070.8510989703962,1516696,,
2015-11-02,1078.2830810546875,1080.6175160411751,1065.5185122742514,1070.851330987504,1319294,,
2015-11-03,1089.4620361328125,1091.3253581328272,1078.7749673376898,1082.8441998926662,1364906,,
2015-11-04,1085.328857421875,1091.0685765867845,1079.4177393626887,1090.126248681763,991434,,
2015-11-05,1063.419189453125,1085.8214119657146,1062.284129290248,1084.043841240767,1596098,,
2015-11-06,1073.3143310546875,1078.6685879191728,1063.7623158933802,1067.4246485037538,908024,,
2015-11-09,1058.578857421875,1072.028701204724,1057.4009215799758,1068.7090638320992,2021556,,
2015-11-10,1052.9248046875,1060.9990622314049,1049.433872614833,1059.2642628738624,1361920,,
2015-11-13,1026.903076171875,1044.315173515682,1022.255646287392,1044.315173515682,2743232,,
2015-11-16,1017.1372680664062,1023.7336691252084,1009.170093915896,1023.7336691252084,2043528,,
2015-11-17,1023.9692993164062,1027.3531470930145,1017.30858430202,1019.6644568130354,1985028,,
2015-11-18,1007.2212524414062,1023.2625833251052,1004.8868176207354,1023.2625833251052,1520352,,
2015-11-19,1011.976318359375,1020.136229421244,1007.4573031635304,1013.1756932067852,1866906,,
2015-11-20,1027.310302734375,1038.1044605566915,1011.7186484796514,1013.6676183334042,2012126,,
2015-11-23,1024.1829833984375,1033.756325312953,1020.4135682549702,1030.286832006952,1088082,,
2015-11-24,1014.2886962890624,1024.7830367825277,1013.239283154776,1019.4716573016692,998640,,
2015-11-26,1004.694091796875,1020.4783766511786,1001.3958908254772,1018.55084437987,2915292,,
2015-11-27,1008.0349731445312,1010.6477869714804,999.1040335227932,1005.743310058529,1737206,,
2015-11-30,1016.6874389648438,1024.2690435893685,1006.6642102520776,1013.0251074077812,4100048,,
2015-12-01,1011.6974487304688,1018.6152109856142,1009.6200599200432,1012.1257892574008,1721994,,
2015-12-02,1013.1110229492188,1018.6366786530862,1005.101075776908,1018.5938027690122,1640296,,
2015-12-03,1006.9210815429688,1016.4516543662512,1005.314805224438,1010.8832297953444,2283358,,
2015-12-04,997.3483276367188,1005.4440286669868,994.2215245519805,1002.3171210068944,1246092,,
2015-12-07,993.6638793945312,1003.9868181966376,991.7149100545774,998.9752574476648,1382604,,
2015-12-08,997.6051025390624,1006.1719132092134,992.5935392120896,993.49299158726,1139964,,
2015-12-09,1014.1602172851562,1016.3662333319012,993.7498368202416,1001.4170889897244,5282806,,
2015-12-10,1021.3995971679688,1024.2480203237128,1007.4570897430632,1014.7388799325328,1723988,,
2015-12-11,1022.0202026367188,1024.5688071222,1012.2754584581834,1020.7351814263624,1652378,,
2015-12-14,1018.7864990234376,1022.4488314209694,998.290467682543,1000.2607713489688,2718532,,
2015-12-15,1017.6728515625,1021.5921254337212,1012.1900720706848,1018.7864741532102,1135868,,
2015-12-16,1031.6146240234375,1034.2275413981786,1021.1631636749876,1021.1631636749876,1435934,,
2015-12-17,1045.0435791015625,1047.2923663913598,1025.1686246942356,1034.4421533068034,1618844,,
2015-12-18,1035.2132568359375,1042.6663390975978,1028.2954955802743,1036.58392540902,3024970,,
2015-12-21,1047.89208984375,1049.4341573745062,1030.9513078206671,1036.5625052638914,1610104,,
2015-12-22,1030.180419921875,1045.1509006368335,1028.017279314918,1045.1509006368335,1560858,,
2015-12-23,1039.0677490234375,1043.0084582174634,1032.5355605274144,1034.4416536325152,849834,,
2015-12-24,1042.6876220703125,1044.3795457407227,1029.7303249284305,1037.0121117519675,843160,,
2015-12-28,1054.8739013671875,1056.4587399609784,1036.6694340358051,1040.0105101316824,3704198,,
2015-12-29,1051.91845703125,1055.9876911476697,1047.613614761451,1053.0107460512438,1708524,,
2015-12-30,1035.855712890625,1053.289147983258,1033.285670235928,1050.7405432657442,1605762,,
2015-12-31,1043.8013916015625,1048.791515651509,1031.2295584770295,1034.7633669328702,1240318,,
2016-01-01,1035.04150390625,1044.7220369355157,1033.2639334143903,1044.7220369355157,712262,,
2016-01-04,1014.9954223632812,1034.0136937065586,1013.4747930751256,1032.3645413873085,1870184,,
2016-01-05,1006.150390625,1022.2774731000624,1002.74510458515,1021.5920864739782,2678020,,
2016-01-06,1020.1356811523438,1022.0845465846892,1006.6857279659778,1006.6857279659778,2653228,,
2016-01-07,1015.7024536132812,1020.6925788193548,1010.8836227843306,1015.1670279656202,3199580,,
2016-01-08,1026.989013671875,1031.1653326889991,1016.2376275002368,1021.591882650396,1907544,,
2016-01-11,1011.8900756835938,1021.163604337494,1006.1074797697698,1020.5210936804024,2930228,,
2016-01-12,996.7699584960938,1013.025462443492,985.8687117497713,1012.0402582034268,3482594,,
