date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,signed_dollar_imbalance
2015-09-01,1,1757.2225341797,1757.2225341797,1757.2225341797,1757.2225341797,367859.0,367859.0,1,646410124.2008103,646410124.2008103
2015-09-02,2,1723.9404296875,1723.9404296875,1723.9404296875,1723.9404296875,493940.0,0.0,1,851523135.8398438,-851523135.8398438
2015-09-03,3,1711.8881835938,1711.8881835938,1711.8881835938,1711.8881835938,260650.0,0.0,1,446203655.053724,-446203655.053724
2015-09-04,4,1688.6688232422,1688.6688232422,1688.6688232422,1688.6688232422,424019.0,0.0,1,716027665.7623343,-716027665.7623343
2015-09-07,5,1681.1130371094,1681.1130371094,1681.1130371094,1681.1130371094,257462.0,0.0,1,432822724.76026034,-432822724.76026034
2015-09-08,6,1705.1436767578,1705.1436767578,1705.1436767578,1705.1436767578,174954.0,174954.0,1,298321706.8234841,298321706.8234841
2015-09-09,7,1728.0687255859,1728.0687255859,1728.0687255859,1728.0687255859,208014.0,208014.0,1,359462487.8840254,359462487.8840254
2015-09-10,8,1731.2381591797,1731.2381591797,1731.2381591797,1731.2381591797,222191.0,222191.0,1,384665537.82629675,384665537.82629675
2015-09-11,9,1727.1472167969,1727.1472167969,1727.1472167969,1727.1472167969,193787.0,0.0,1,334698677.70142084,-334698677.70142084
2015-09-14,10,1731.9016113281,1731.9016113281,1731.9016113281,1731.9016113281,116680.0,116680.0,1,202078280.0097627,202078280.0097627
2015-09-15,11,1703.1904296875,1703.1904296875,1703.1904296875,1703.1904296875,330037.0,0.0,1,562115859.8427734,-562115859.8427734
2015-09-16,12,1745.7969970703,1745.7969970703,1745.7969970703,1745.7969970703,399414.0,399414.0,1,697295761.7878368,697295761.7878368
2015-09-18,13,1790.1357421875,1790.1357421875,1790.1357421875,1790.1357421875,753722.0,753722.0,1,1349264691.8730469,1349264691.8730469
2015-09-22,15,1786.5975341797,1786.5975341797,1760.9815673828,1760.9815673828,619894.0,0.0,2,1097751321.8823223,-1097751321.8823223
2015-09-23,16,1769.8273925781,1769.8273925781,1769.8273925781,1769.8273925781,362950.0,362950.0,1,642358852.1362214,642358852.1362214
2015-09-24,17,1755.6374511719,1755.6374511719,1755.6374511719,1755.6374511719,391877.0,0.0,1,687993937.4528906,-687993937.4528906
