date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,signed_dollar_imbalance
2015-08-28,1,29.2571964264,29.2571964264,29.2571964264,29.2571964264,16223328.0,16223328.0,1,474649093.98591506,474649093.98591506
2015-08-31,2,28.3627147675,28.3627147675,28.3627147675,28.3627147675,12774465.0,0.0,1,362318507.1024119,-362318507.1024119
2015-09-01,3,27.1188678741,27.1188678741,27.1188678741,27.1188678741,12255012.0,0.0,1,332342051.22351,-332342051.22351
2015-09-02,4,27.5705318451,27.5705318451,27.5705318451,27.5705318451,18747630.0,18747630.0,1,516882129.9351521,516882129.9351521
2015-09-07,7,27.7902584076,27.7902584076,26.5716609955,26.5716609955,40674546.0,7975539.0,3,1100128820.9812067,-656844241.4814234
2015-09-08,8,27.5339050293,27.5339050293,27.5339050293,27.5339050293,13866336.0,13866336.0,1,381794378.52836365,381794378.52836365
2015-09-09,9,28.2111854553,28.2111854553,28.2111854553,28.2111854553,23537052.0,23537052.0,1,664008139.0430398,664008139.0430398
2015-09-10,10,28.6396942139,28.6396942139,28.6396942139,28.6396942139,37580499.0,37580499.0,1,1076293999.7657747,1076293999.7657747
2015-09-11,11,28.1446781158,28.1446781158,28.1446781158,28.1446781158,54376938.0,0.0,1,1530421416.9328134,-1530421416.9328134
2015-09-16,14,27.6450328827,27.6450328827,27.1904239655,27.1904239655,35658381.0,0.0,3,979160171.2949119,-979160171.2949119
2015-09-18,15,27.4720249176,27.4720249176,27.4720249176,27.4720249176,13291344.0,13291344.0,1,365140133.55639327,365140133.55639327
2015-09-23,18,27.8331947327,28.8560466766,27.6374568939,28.8560466766,40851096.0,31770651.0,3,1158528888.2752423,656608073.7453827
2015-09-24,19,29.5947799683,29.5947799683,29.5947799683,29.5947799683,45326292.0,45326292.0,1,1341421638.5189166,1341421638.5189166
2015-10-07,26,29.8814373016,30.3991756439,28.6767272949,30.3991756439,74520633.0,57844512.0,7,2210444456.03413,1248220992.4492176
2015-10-26,38,30.3903427124,31.4851799011,29.8789100647,30.3335189819,76668999.0,29879487.0,12,2349437927.057157,-500809888.64799714
2015-10-27,39,30.718667984,30.718667984,30.718667984,30.718667984,7597887.0,7597887.0,1,233396968.1329498,233396968.1329498
2015-10-29,41,30.6100769043,30.7679214478,30.6100769043,30.7679214478,39983427.0,31515660.0,2,1228870350.3332663,710472352.1778789
2015-10-30,42,31.4132003784,31.4132003784,31.4132003784,31.4132003784,23721390.0,23721390.0,1,745164777.3241739,745164777.3241739
2015-11-20,55,31.0899238586,32.5926551819,31.0785579681,31.6417770386,80342196.0,52626354.0,13,2545653526.6250677,805379678.8598177
2015-11-26,58,31.5925197601,32.311050415,31.5925197601,32.311050415,26258298.0,22108878.0,3,841297667.9285598,579116401.2426515
2015-12-01,61,32.1986579895,32.1986579895,31.2654533386,31.2654533386,15613983.0,0.0,3,494760397.5142454,-494760397.5142454
2015-12-10,68,30.7729701996,30.9611225128,30.1036911011,30.1036911011,36882153.0,9622998.0,7,1128218848.6088834,-533060645.13686407
2015-12-11,69,29.5771045685,29.5771045685,29.5771045685,29.5771045685,6885648.0,0.0,1,203657530.9178829,-203657530.9178829
2015-12-17,73,29.9546756744,30.4244365692,29.7349491119,30.4244365692,25167384.0,20190687.0,4,759069058.1111773,463105394.0304865
2015-12-18,74,31.1556015015,31.1556015015,31.1556015015,31.1556015015,32125863.0,32125863.0,1,1000900585.5197834,1000900585.5197834
2015-12-24,78,31.7680530548,33.2657165527,31.7680530548,33.2657165527,52018758.0,52018758.0,4,1688988128.8334725,1688988128.8334725
2015-12-30,81,33.008102417,34.1572570801,33.008102417,34.1572570801,46313982.0,37293168.0,3,1566893745.5750701,971373840.7816551
2015-12-31,82,34.6282691956,34.6282691956,34.6282691956,34.6282691956,19482474.0,19482474.0,1,674644354.2682779,674644354.2682779
2016-01-06,86,34.7457084656,34.7457084656,34.1812362671,34.1812362671,36732861.0,7632504.0,4,1268770925.9739957,-738377408.2809439
2016-01-07,87,32.675994873,32.675994873,32.675994873,32.675994873,14032953.0,0.0,1,458540700.28104997,-458540700.28104997
2016-01-11,89,32.78332901,33.6054115295,32.78332901,33.6054115295,16645497.0,16645497.0,2,553955039.6948704,553955039.6948704
2016-01-12,90,33.8453407288,33.8453407288,33.8453407288,33.8453407288,16810035.0,16810035.0,1,568941362.2380534,568941362.2380534
2016-01-13,91,33.8364944458,33.8364944458,33.8364944458,33.8364944458,17194683.0,0.0,1,581807795.8267916,-581807795.8267916
2016-01-15,93,33.027053833,33.027053833,31.8109912872,31.8109912872,11657547.0,0.0,2,377592738.1613953,-377592738.1613953
2016-01-18,94,31.1959934235,31.1959934235,31.1959934235,31.1959934235,7673622.0,0.0,1,239386261.4464249,-239386261.4464249
2016-01-19,95,31.7743682861,31.7743682861,31.7743682861,31.7743682861,5920530.0,5920530.0,1,188121100.66890362,188121100.66890362
2016-01-20,96,30.6327934265,30.6327934265,30.6327934265,30.6327934265,8477106.0,0.0,1,259677436.9525437,-259677436.9525437
2016-01-21,97,29.6010913849,29.6010913849,29.6010913849,29.6010913849,16178118.0,0.0,1,478889949.3536956,-478889949.3536956
2016-01-22,98,30.1466293335,30.1466293335,30.1466293335,30.1466293335,11598576.0,11598576.0,1,349657971.4684291,349657971.4684291
2016-01-25,99,30.5444030762,30.5444030762,30.5444030762,30.5444030762,7404012.0,7404012.0,1,226151126.9090217,226151126.9090217
2016-01-27,100,30.4585342407,30.4585342407,30.4585342407,30.4585342407,37507305.0,0.0,1,1142417533.6188784,-1142417533.6188784
2016-02-01,103,31.009103775,31.1518001556,31.009103775,31.1518001556,24667665.0,24667665.0,3,766398685.3754793,766398685.3754793
2016-02-03,105,30.8941955566,30.8941955566,30.7110900879,30.7110900879,13367508.0,0.0,2,411539824.59176874,-411539824.59176874
2016-02-04,106,30.8983631134,30.8983631134,30.8983631134,30.8983631134,8496345.0,8496345.0,1,262523152.9467205,262523152.9467205
2016-02-10,110,31.2779846191,31.2779846191,30.0695381165,30.0695381165,19365291.0,3783747.0,4,594158035.6648555,-357462074.727724
2016-02-11,111,28.4473056793,28.4473056793,28.4473056793,28.4473056793,13682889.0,0.0,1,389241325.9589315,-389241325.9589315
2016-02-12,112,28.4827365875,28.4827365875,28.4827365875,28.4827365875,14815482.0,14815482.0,1,421985471.2228477,421985471.2228477
2016-02-18,116,29.3900184631,29.3900184631,28.2511672974,28.9711704254,29269251.0,23293875.0,4,838551965.1222812,500929271.0405437
2016-02-24,120,28.5915584564,29.2938423157,27.6108818054,27.6108818054,31690857.0,8107869.0,4,899791327.6477147,-424770055.6430102
2016-02-25,121,27.0009613037,27.0009613037,27.0009613037,27.0009613037,8384673.0,0.0,1,226394231.21717817,-226394231.21717817
2016-02-29,123,26.7187767029,26.7187767029,26.0658340454,26.0658340454,21573288.0,0.0,2,568078822.5768517,-568078822.5768517
2016-03-01,124,26.3024616241,26.3024616241,26.3024616241,26.3024616241,19493628.0,19493628.0,1,512730402.38448125,512730402.38448125
2016-03-03,126,26.5922298431,27.2097492218,26.5922298431,27.2097492218,29330004.0,29330004.0,2,790444582.701538,790444582.701538
2016-03-04,127,27.8525619507,27.8525619507,27.8525619507,27.8525619507,14022426.0,14022426.0,1,390560488.8641064,390560488.8641064
2016-03-15,133,27.486869812,27.7121124268,26.913646698,26.913646698,39756585.0,12309627.0,6,1087435370.8938484,-408132933.97624576
2016-03-16,134,26.955406189,26.955406189,26.955406189,26.955406189,9017316.0,9017316.0,1,243065415.51456875,243065415.51456875
2016-03-17,135,27.4311904907,27.4311904907,27.4311904907,27.4311904907,12100539.0,12100539.0,1,331932190.3491445,331932190.3491445
2016-03-18,136,27.9107780457,27.9107780457,27.9107780457,27.9107780457,13588113.0,13588113.0,1,379254806.00289077,379254806.00289077
2016-03-21,137,29.7886180878,29.7886180878,29.7886180878,29.7886180878,30386136.0,30386136.0,1,905161000.4679507,905161000.4679507
2016-03-22,138,30.1517925262,30.1517925262,30.1517925262,30.1517925262,21158181.0,21158181.0,1,637957083.7437868,637957083.7437868
2016-03-30,142,30.4124526978,30.6199836731,29.5507259369,30.6199836731,40679265.0,30675282.0,4,1226798557.9199386,635548638.0991251
2016-03-31,143,30.984413147,30.984413147,30.984413147,30.984413147,26654034.0,26654034.0,1,825859601.490185,825859601.490185
2016-04-07,148,30.346660614,30.5187492371,29.1635150909,29.1635150909,39734046.0,6463941.0,5,1185419270.44296,-790876481.5181412
2016-04-13,152,29.5507259369,30.2188606262,29.1204910278,30.2188606262,32292051.0,23571933.0,4,959968435.5502725,452100199.5895579
2016-04-18,153,30.5250778198,30.5250778198,30.5250778198,30.5250778198,7556703.0,7556703.0,1,230668947.13611612,230668947.13611612
2016-04-21,155,30.3226184845,30.3226184845,29.5924911499,29.5924911499,12918807.0,0.0,2,387097222.94852126,-387097222.94852126
2016-04-22,156,29.5950126648,29.5950126648,29.5950126648,29.5950126648,7199775.0,7199775.0,1,213077432.3087104,213077432.3087104
2016-04-26,158,29.6608200073,30.1505279541,29.6608200073,30.1505279541,12691734.0,12691734.0,2,380027355.9250673,380027355.9250673
2016-04-27,159,30.6883049011,30.6883049011,30.6883049011,30.6883049011,9726387.0,9726387.0,1,298486329.8420953,298486329.8420953
2016-04-28,160,29.9569206238,29.9569206238,29.9569206238,29.9569206238,16132512.0,0.0,1,483280381.44650096,-483280381.44650096
2016-05-04,164,29.9100971222,30.0454978943,29.0230579376,29.0230579376,18796470.0,3579312.0,4,557390123.8665158,-342305701.5484303
2016-05-05,165,29.0154705048,29.0154705048,29.0154705048,29.0154705048,7493508.0,0.0,1,217427660.35148284,-217427660.35148284
2016-05-10,168,28.9053707123,29.6013450623,28.9053707123,29.6013450623,18157128.0,13811259.0,3,531314447.59761894,280076538.573434
2016-05-16,172,29.2925891876,29.358379364,28.7180957794,28.7180957794,20770431.0,2950497.0,4,601444942.3078706,-428201321.8311828
2016-05-17,173,28.6624183655,28.6624183655,28.6624183655,28.6624183655,7111038.0,0.0,1,203819546.16896838,-203819546.16896838
2016-05-20,176,29.1002445221,29.1002445221,27.8411808014,27.8411808014,28649544.0,6377085.0,3,807974871.9548782,-436825406.2784461
2016-05-25,179,27.8044815063,28.0702190399,27.8044815063,28.0702190399,21868704.0,16531581.0,3,612397379.8662889,315605504.3655921
2016-05-26,180,28.4460411072,28.4460411072,28.4460411072,28.4460411072,12716385.0,12716385.0,1,361730810.44498146,361730810.44498146
2016-05-27,181,29.9404640198,29.9404640198,29.9404640198,29.9404640198,27444186.0,27444186.0,1,821691663.4856989,821691663.4856989
2016-06-07,188,30.1505279541,30.8085250854,28.9344768524,30.8085250854,63976176.0,46790733.0,7,1922954649.663683,915696344.7012994
2016-06-08,189,32.6269035339,32.6269035339,32.6269035339,32.6269035339,41726619.0,41726619.0,1,1361410372.908799,1361410372.908799
2016-08-11,234,31.9296703339,32.5142822266,30.650352478,30.650352478,420445146.0,180488649.0,45,13337296984.175722,-1822951270.6895385
2016-08-12,235,31.0970401764,31.0970401764,31.0970401764,31.0970401764,3440019.0,3440019.0,1,106974409.05057935,106974409.05057935
2016-08-17,237,31.2754478455,31.3931407928,31.2754478455,31.3931407928,8989365.0,8989365.0,2,281664298.84996605,281664298.84996605
2016-08-25,243,31.3931331635,31.4865970612,30.877155304,30.877155304,24085281.0,5948547.0,6,752261718.282533,-377929982.5114905
2016-08-31,247,31.2202968597,31.2522964478,31.1101760864,31.2522964478,14118951.0,11613360.0,4,440675282.0069268,284776527.5859286
2016-09-07,251,31.3636798859,31.3636798859,30.9834251404,30.9834251404,17601804.0,2819487.0,4,547609749.9644542,-370750774.5435412
2016-09-08,252,30.7964839935,30.7964839935,30.7964839935,30.7964839935,12228117.0,0.0,1,376583009.4611452,-376583009.4611452
2016-09-20,259,31.0154304504,31.7004261017,30.530172348,31.7004261017,65977230.0,43641279.0,7,2062049173.7031496,684389069.7362442
2016-09-21,260,31.8873558044,31.8873558044,31.8873558044,31.8873558044,12498651.0,12498651.0,1,398548931.5120199,398548931.5120199
2016-09-23,262,32.1715965271,32.2996368408,32.1715965271,32.2996368408,38788926.0,38788926.0,2,1251265327.2742743,1251265327.2742743
2016-09-26,263,32.3969345093,32.3969345093,32.3969345093,32.3969345093,26825238.0,26825238.0,1,869055478.6823858,869055478.6823858
2016-09-27,264,32.7695236206,32.7695236206,32.7695236206,32.7695236206,28611264.0,28611264.0,1,937577491.4632224,937577491.4632224
2016-09-29,266,32.8015365601,32.8015365601,31.5557384491,31.5557384491,70015374.0,13159707.0,2,2225781167.48183,-1362463946.9204223
2016-10-03,268,31.8745498657,32.5953941345,31.8745498657,32.5953941345,21055254.0,21055254.0,2,677241365.618994,677241365.618994
2016-10-07,272,32.5160140991,32.5966720581,32.4596786499,32.4596786499,34672407.0,11828124.0,4,1128772314.5999377,-357657356.41885376
2016-10-10,273,32.1114196777,32.1114196777,32.1114196777,32.1114196777,5917692.0,0.0,1,190025491.33536786,-190025491.33536786
2016-10-13,274,31.8579101562,31.8579101562,31.8579101562,31.8579101562,6919506.0,0.0,1,220441000.47328684,-220441000.47328684
2016-10-14,275,32.5083312988,32.5083312988,32.5083312988,32.5083312988,11869308.0,11869308.0,1,385851396.75149727,385851396.75149727
2016-10-17,276,32.3866920471,32.3866920471,32.3866920471,32.3866920471,9585906.0,0.0,1,310455785.61444813,-310455785.61444813
2016-10-18,277,32.822013855,32.822013855,32.822013855,32.822013855,13391037.0,13391037.0,1,439520801.94681764,439520801.94681764
2016-10-19,278,32.58644104,32.58644104,32.58644104,32.58644104,10091697.0,0.0,1,328852489.28404486,-328852489.28404486
2016-10-20,279,32.6722183228,32.6722183228,32.6722183228,32.6722183228,5921520.0,5921520.0,1,193469194.24282664,193469194.24282664
2016-10-21,280,32.370059967,32.370059967,32.370059967,32.370059967,3518658.0,0.0,1,113899170.4633643,-113899170.4633643
2016-10-24,281,32.4840126038,32.4840126038,32.4840126038,32.4840126038,3416358.0,3416358.0,1,110977016.33109295,110977016.33109295
2016-10-25,282,32.4763259888,32.4763259888,32.4763259888,32.4763259888,2114409.0,0.0,1,68668235.95765261,-68668235.95765261
2016-10-26,283,32.2509727478,32.2509727478,32.2509727478,32.2509727478,2585253.0,0.0,1,83376924.04916818,-83376924.04916818
2016-10-27,284,32.2496910095,32.2496910095,32.2496910095,32.2496910095,5722596.0,0.0,1,184551952.77220064,-184551952.77220064
2016-10-28,285,33.3200874329,33.3200874329,33.3200874329,33.3200874329,41732625.0,41732625.0,1,1390534713.8044286,1390534713.8044286
2016-11-28,304,34.0626907349,35.4685325623,32.7298355103,35.4685325623,183213327.0,110077737.0,19,6190352258.86661,1330783046.93335
2016-11-29,305,36.0370178223,36.0370178223,36.0370178223,36.0370178223,29433657.0,29433657.0,1,1060701221.8844652,1060701221.8844652
2017-01-04,331,36.8500289917,38.6297340393,34.7284736633,36.6746292114,317726607.0,195943176.0,26,11627294319.513195,2771401538.8201256
2017-01-05,332,36.6630973816,36.6630973816,36.6630973816,36.6630973816,7328706.0,0.0,1,268693061.7591162,-268693061.7591162
2017-01-10,335,36.1483840942,38.7103805542,36.1483840942,38.7103805542,93253446.0,76912737.0,3,3521811648.4841595,2340431197.877058
2017-01-12,337,39.1188354492,39.7141914368,39.1188354492,39.7141914368,51953748.0,51953748.0,2,2046298877.1531773,2046298877.1531773
2017-01-30,348,39.1444320679,40.5848388672,37.7680549622,40.5848388672,186549198.0,121618563.0,11,7354412632.740372,2349618046.7963
2017-01-31,349,39.4350814819,39.4350814819,39.4350814819,39.4350814819,47114397.0,0.0,1,1857960084.6655848,-1857960084.6655848
2017-03-10,376,40.1623382568,40.2200508118,38.3509864807,40.2200508118,530610168.0,318041328.0,27,20812503511.492985,4240276204.369423
2017-03-14,377,40.3290863037,40.3290863037,40.3290863037,40.3290863037,16393608.0,16393608.0,1,661139231.8610268,661139231.8610268
2017-03-30,389,40.2713623047,42.3713264465,39.4593429565,39.5945053101,189579945.0,68394263.0,12,7723702473.960784,-2039427960.1836205
2017-03-31,390,40.4460105896,40.4460105896,40.4460105896,40.4460105896,17963398.0,17963398.0,1,726547785.7331995,726547785.7331995
2017-04-06,393,41.2587890625,42.7037582397,41.2587890625,42.7037582397,63596134.0,63596134.0,3,2675861269.7234383,2675861269.7234383
2017-04-10,395,43.2585258484,44.3551445007,43.2585258484,44.3551445007,51117214.0,51117214.0,2,2240512802.803954,2240512802.803954
2017-04-19,401,45.5678749084,46.1097412109,43.8519821167,46.1097412109,120506384.0,92574710.0,6,5455446397.666929,2971966947.2034626
2017-04-20,402,45.954914093,45.954914093,45.954914093,45.954914093,25164770.0,0.0,1,1156444843.5201037,-1156444843.5201037
2017-06-12,438,46.5741882324,47.464389801,42.7295608521,42.7295608521,360458272.0,157758377.0,36,16353601847.662453,-1861731192.6708658
2017-06-13,439,42.5876426697,42.5876426697,42.5876426697,42.5876426697,13319423.0,0.0,1,567242827.2905836,-567242827.2905836
2017-06-15,441,42.8327713013,43.0778961182,42.8327713013,43.0778961182,36625023.0,36625023.0,2,1573445774.3511887,1573445774.3511887
2017-07-27,470,43.8003807068,45.7872047424,41.2200927734,45.7872047424,325264279.0,198013531.0,29,14275911153.143036,3216468778.0780363
2017-07-28,471,45.9033203125,45.9033203125,45.9033203125,45.9033203125,6569801.0,6569801.0,1,301575679.6923828,301575679.6923828
2017-07-31,472,46.1226272583,46.1226272583,46.1226272583,46.1226272583,16658911.0,16658911.0,1,768352742.5821937,768352742.5821937
2017-08-02,474,46.6902999878,46.9741325378,46.6902999878,46.9741325378,43462329.0,43462329.0,2,2033330510.4693222,2033330510.4693222
2017-09-12,501,46.5999946594,51.2882347107,44.0584106445,51.2882347107,315961379.0,183701697.0,27,15180070365.564785,2686006698.5282044
2017-09-13,502,50.5872497559,50.5872497559,50.5872497559,50.5872497559,19274115.0,0.0,1,975024469.3289385,-975024469.3289385
2017-10-18,526,49.3800239563,50.0680084229,45.9140739441,49.3060264587,248632687.0,152230570.0,24,11910109408.151577,2651582328.723434
2017-10-23,528,49.2060699463,49.7772331238,49.2060699463,49.7772331238,10007907.0,8494290.0,2,497301397.5250719,348343109.57725435
2017-10-26,531,49.977142334,49.977142334,48.5063819885,48.5063819885,23836134.0,4764408.0,3,1166924329.9260395,-690701336.419543
2017-10-30,533,49.2203483582,50.1199455261,49.2203483582,50.1199455261,13175277.0,13175277.0,2,655141429.8728623,655141429.8728623
2017-10-31,534,52.7187461853,52.7187461853,52.7187461853,52.7187461853,75144498.0,75144498.0,1,3961523717.2837834,3961523717.2837834
2018-02-05,601,53.0614471436,53.975315094,42.8375511169,42.8375511169,876113169.0,357864951.0,67,44114844222.53549,-6843022167.895105
2018-02-06,602,42.6090888977,42.6090888977,42.6090888977,42.6090888977,41933931.0,0.0,1,1786766593.8090177,-1786766593.8090177
2018-05-31,679,45.0793800354,46.334400177,33.005317688,33.005317688,1042230207.0,447438948.0,77,41830205220.5356,-4672148803.1909485
2018-06-01,680,32.1398010254,32.1398010254,32.1398010254,32.1398010254,20689938.0,0.0,1,664970490.5478624,-664970490.5478624
2018-06-06,683,32.3417510986,33.5246315002,32.3417510986,33.5246315002,62113404.0,62113404.0,3,2037069666.6506767,2037069666.6506767
2018-06-28,699,35.1114311218,35.1114311218,29.9327049255,29.9327049255,254450994.0,87676800.0,16,8256832013.514435,-2292670767.049404
2018-06-29,700,31.3464069366,31.3464069366,31.3464069366,31.3464069366,19270500.0,19270500.0,1,604060934.8717504,604060934.8717504
2018-07-19,714,30.4664554596,32.543712616,28.2449417114,28.2449417114,309449541.0,122992767.0,14,9463943487.439474,-1700614727.0192323
2018-07-20,715,29.9038543701,29.9038543701,29.9038543701,29.9038543701,27581040.0,27581040.0,1,824779403.5359029,824779403.5359029
2018-07-31,722,29.6586265564,33.5679168701,28.9085083008,33.5679168701,238502577.0,159045060.0,7,7420793153.430452,2788188507.435502
2018-08-01,723,33.7842979431,33.7842979431,33.7842979431,33.7842979431,80280801.0,80280801.0,1,2712230500.0947204,2712230500.0947204
2018-09-05,746,33.7121658325,34.9671859741,27.3426265717,27.3426265717,889395048.0,212423757.0,23,27307337090.367653,-12656458247.842068
2018-09-06,747,26.4162502289,26.4162502289,26.4162502289,26.4162502289,144894588.0,0.0,1,3827571693.4213715,-3827571693.4213715
2019-04-02,884,26.5899448395,29.5267333984,21.646774292,29.5267333984,4479455547.0,2395778418.0,137,113020513708.54895,9810116435.873966
2019-04-03,885,28.4727287292,28.4727287292,28.4727287292,28.4727287292,61986711.0,0.0,1,1764930807.1183176,-1764930807.1183176
