open,high,low,close,volume,ticks,imbalance,symbol
7791.85009765625,7791.85009765625,7791.85009765625,7791.85009765625,216600.0,1,216600.0,NIFTY
7948.9501953125,7948.9501953125,7948.9501953125,7948.9501953125,305000.0,1,305000.0,NIFTY
8001.9501953125,8001.9501953125,8001.9501953125,8001.9501953125,195600.0,1,195600.0,NIFTY
7971.2998046875,7971.2998046875,7971.2998046875,7971.2998046875,198200.0,1,198200.0,NIFTY
7785.85009765625,7785.85009765625,7785.85009765625,7785.85009765625,184900.0,1,184900.0,NIFTY
7717.0,7717.0,7717.0,7717.0,215300.0,1,215300.0,NIFTY
7823.0,7823.0,7823.0,7823.0,155800.0,1,155800.0,NIFTY
7655.0498046875,7655.0498046875,7655.0498046875,7655.0498046875,193600.0,1,193600.0,NIFTY
7558.7998046875,7558.7998046875,7558.7998046875,7558.7998046875,141400.0,1,141400.0,NIFTY
7688.25,7688.25,7688.25,7688.25,172200.0,1,172200.0,NIFTY
7818.60009765625,7818.60009765625,7818.60009765625,7818.60009765625,208400.0,1,208400.0,NIFTY
7788.10009765625,7788.10009765625,7788.10009765625,7788.10009765625,160300.0,1,160300.0,NIFTY
7789.2998046875,7789.2998046875,7789.2998046875,7789.2998046875,136400.0,1,136400.0,NIFTY
7872.25,7872.25,7872.25,7872.25,122800.0,1,122800.0,NIFTY
7829.10009765625,7829.10009765625,7829.10009765625,7829.10009765625,136500.0,1,136500.0,NIFTY
7899.14990234375,7899.14990234375,7899.14990234375,7899.14990234375,140000.0,1,140000.0,NIFTY
7981.89990234375,7981.89990234375,7981.89990234375,7981.89990234375,241800.0,1,241800.0,NIFTY
7977.10009765625,7977.10009765625,7977.10009765625,7977.10009765625,121800.0,1,121800.0,NIFTY
7812.0,7812.0,7812.0,7812.0,168400.0,1,168400.0,NIFTY
7845.9501953125,7845.9501953125,7845.9501953125,7845.9501953125,146700.0,1,146700.0,NIFTY
7868.5,7868.5,7868.5,7868.5,202500.0,1,202500.0,NIFTY
7795.7001953125,7795.7001953125,7795.7001953125,7795.7001953125,136300.0,1,136300.0,NIFTY
7843.2998046875,7843.2998046875,7843.2998046875,7843.2998046875,240700.0,1,240700.0,NIFTY
7948.89990234375,7948.89990234375,7948.89990234375,7948.89990234375,210700.0,1,210700.0,NIFTY
7950.89990234375,7950.89990234375,7950.89990234375,7950.89990234375,156900.0,1,156900.0,NIFTY
8119.2998046875,8119.2998046875,8119.2998046875,8119.2998046875,183100.0,1,183100.0,NIFTY
8152.89990234375,8152.89990234375,8152.89990234375,8152.89990234375,178500.0,1,178500.0,NIFTY
8177.39990234375,8177.39990234375,8177.39990234375,8177.39990234375,193900.0,1,193900.0,NIFTY
8129.35009765625,8129.35009765625,8129.35009765625,8129.35009765625,171700.0,1,171700.0,NIFTY
8189.7001953125,8189.7001953125,8189.7001953125,8189.7001953125,199700.0,1,199700.0,NIFTY
8143.60009765625,8143.60009765625,8143.60009765625,8143.60009765625,199100.0,1,199100.0,NIFTY
8131.7001953125,8131.7001953125,8131.7001953125,8131.7001953125,145900.0,1,145900.0,NIFTY
8107.89990234375,8107.89990234375,8107.89990234375,8107.89990234375,138900.0,1,138900.0,NIFTY
8179.5,8179.5,8179.5,8179.5,167200.0,1,167200.0,NIFTY
8238.150390625,8238.150390625,8238.150390625,8238.150390625,156400.0,1,156400.0,NIFTY
8275.0498046875,8275.0498046875,8275.0498046875,8275.0498046875,124500.0,1,124500.0,NIFTY
8261.650390625,8261.650390625,8261.650390625,8261.650390625,155100.0,1,155100.0,NIFTY
8251.7001953125,8251.7001953125,8251.7001953125,8251.7001953125,144800.0,1,144800.0,NIFTY
8295.4501953125,8295.4501953125,8295.4501953125,8295.4501953125,152000.0,1,152000.0,NIFTY
8260.5498046875,8260.5498046875,8260.5498046875,8260.5498046875,133900.0,1,133900.0,NIFTY
8232.900390625,8232.900390625,8232.900390625,8232.900390625,156700.0,1,156700.0,NIFTY
8171.2001953125,8171.2001953125,8171.2001953125,8171.2001953125,188900.0,1,188900.0,NIFTY
8111.75,8111.75,8111.75,8111.75,217500.0,1,217500.0,NIFTY
8065.7998046875,8065.7998046875,8065.7998046875,8065.7998046875,199500.0,1,199500.0,NIFTY
8050.7998046875,8050.7998046875,8050.7998046875,8050.7998046875,136100.0,1,136100.0,NIFTY
8060.7001953125,8060.7001953125,8060.7001953125,8060.7001953125,132500.0,1,132500.0,NIFTY
8040.2001953125,8040.2001953125,8040.2001953125,8040.2001953125,122100.0,1,122100.0,NIFTY
7955.4501953125,7955.4501953125,7955.4501953125,7955.4501953125,132100.0,1,132100.0,NIFTY
7954.2998046875,7954.2998046875,7954.2998046875,7954.2998046875,219500.0,1,219500.0,NIFTY
7915.2001953125,7915.2001953125,7915.2001953125,7915.2001953125,211800.0,1,211800.0,NIFTY
7783.35009765625,7783.35009765625,7783.35009765625,7783.35009765625,165200.0,1,165200.0,NIFTY
7762.25,7762.25,7762.25,7762.25,160900.0,1,160900.0,NIFTY
7806.60009765625,7806.60009765625,7806.60009765625,7806.60009765625,149500.0,1,149500.0,NIFTY
7837.5498046875,7837.5498046875,7837.5498046875,7837.5498046875,145000.0,1,145000.0,NIFTY
7731.7998046875,7731.7998046875,7731.7998046875,7731.7998046875,143600.0,1,143600.0,NIFTY
7842.75,7842.75,7842.75,7842.75,132600.0,1,132600.0,NIFTY
7856.5498046875,7856.5498046875,7856.5498046875,7856.5498046875,151900.0,1,151900.0,NIFTY
7849.25,7849.25,7849.25,7849.25,127000.0,1,127000.0,NIFTY
