open,high,low,close,volume,ticks,imbalance,symbol
16917.453125,41237.8203125,13555.54296875,39805.2890625,436599500.0,1466,100.0,BANKNIFTY
39666.0390625,40415.23046875,39455.44140625,40415.23046875,759900.0,4,2.0,BANKNIFTY
40573.52734375,44048.58984375,37647.3125,42262.55078125,1829981600.0,146,12.0,BANKNIFTY
42265.19921875,44436.3515625,42118.0,44164.55078125,6611700.0,35,13.0,BANKNIFTY
44275.30078125,53103.69921875,42280.1484375,52750.3984375,200887400.0,314,18.0,BANKNIFTY
