open,high,low,close,volume,ticks,imbalance,symbol
7791.85009765625,12874.2001953125,6970.60009765625,12874.2001953125,435080900.0,1282,100.0,NIFTY
12938.25,12938.25,12771.7001953125,12926.4501953125,2797200.0,4,2.0,NIFTY
13055.150390625,13760.5498046875,12858.400390625,13760.5498046875,11050800.0,18,12.0,NIFTY
13328.400390625,15811.849609375,13328.400390625,15811.849609375,64462000.0,118,22.0,NIFTY
15869.25,18856.849609375,15293.5,18856.849609375,142006800.0,502,22.0,NIFTY
18771.25,21182.69921875,18665.5,21182.69921875,30681800.0,119,25.0,NIFTY
21456.650390625,23721.30078125,21150.150390625,23721.30078125,42645800.0,127,25.0,NIFTY
