"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE PRICE 
","LTP 
","%CHNG 
","VOLUME 
(Contracts)","VALUE* 
(₹ Lakhs)","OPEN INTEREST 
(Contracts)","VALUE OF UNDERLYING 
"
"Index Options","NIFTY","28-Aug-2025","Put","24,600.00","54.90","124.08","1,23,29,640","3,90,972.88","1,80,983","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,500.00","10.60","-20.00","1,12,16,917","1,36,622.05","3,83,162","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,600.00","14.90","-90.52","1,11,07,502","3,53,551.79","4,07,702","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,550.00","25.80","46.59","1,01,58,831","2,06,935.39","2,31,661","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,700.00","3.30","-96.11","96,38,363","1,33,732.29","2,56,026","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,650.00","6.20","-94.72","92,97,297","2,00,403.24","2,48,285","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,800.00","1.55","-96.32","59,14,132","30,960.48","1,89,038","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,650.00","96.15","164.88","57,87,008","2,67,924.00","68,556","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,750.00","2.05","-96.55","56,49,574","46,185.27","1,16,534","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,450.00","4.00","-58.33","49,52,273","33,873.55","1,57,755","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,550.00","35.80","-82.08","47,44,423","2,29,974.04","1,55,522","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,400.00","1.90","-73.43","39,50,229","17,242.75","1,32,717","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,700.00","142.95","168.70","33,09,972","2,50,730.38","52,514","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,500.00","70.75","-71.12","30,35,902","2,35,957.89","99,634","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","24,850.00","1.25","-95.89","30,33,119","10,509.76","90,902","24,559.80"
"Index Options","BANKNIFTY","28-Aug-2025","Put","54,000.00","71.35","67.10","29,32,279","70,783.75","93,200","54,009.00"
"Index Options","NIFTY","28-Aug-2025","Call","24,900.00","1.10","-95.15","27,07,751","6,721.99","1,40,836","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Call","25,000.00","0.90","-93.05","26,13,668","4,194.94","2,56,154","24,559.80"
"Index Options","NIFTY","28-Aug-2025","Put","24,350.00","0.95","-83.04","21,15,673","5,617.11","65,644","24,559.80"
"Index Options","BANKNIFTY","28-Aug-2025","Call","54,300.00","15.70","-95.03","20,97,629","57,382.74","53,477","54,009.00"
