"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",13288,13254817,13268105,243946.946565,683560.5357075,927507.4822725,6646178,24402.2
"BANKNIFTY",6168,661575,667743,119374.39486700001,87593.0518575,206967.4467245,1070924,55125.6
"SBIN",22337,187141,209478,137340.555975,13801.766625,151142.3226,283464,820.8
"TATAMOTORS",13679,113475,127154,70181.48696,7954.71424,78136.2012,196999,648
"PGEL",16471,74799,91270,58530.66716,12322.93958,70853.60674,39591,511.6
"VOLTAS",10177,59639,69816,46770.0847125,5665.85115,52435.9358625,48640,1236.2
"HDFCBANK",3780,16917,20697,41379.66833,1849.913615,43229.581945,255023,1980.7
"RELIANCE",4755,50327,55082,32530.0795,3767.17765,36297.25715,451907,1370.9
"AMBER",3828,23291,27119,26769.69684,4116.00195,30885.69879,16952,7083.5
"INFY",5043,24675,29718,28724.0198,1768.77568,30492.79548,304180,1416.7
"MIDCPNIFTY",1151,51198,52349,20217.666882,10040.48619,30258.153071999997,104148,12505
"GRASIM",3955,28452,32407,27258.3014,2869.793275,30128.094675,69168,2754.9
"ICICIBANK",2577,24030,26607,25644.80576,2461.29982,28106.10558,197871,1426.2
"MANAPPURAM",3340,14650,17990,26004.4749,2090.6991,28095.174,18428,255.45
"BSE",2429,21907,24336,21881.1891,4860.0686625,26741.2577625,79038,2398.6
"SIEMENS",5177,39762,44939,19195.47555,2998.2639875,22193.7395375,34996,3017.1
"AXISBANK",3200,12339,15539,21227.20125,845.3501875,22072.5514375,226524,1056.5
"BHARTIARTL",2272,23049,25321,20120.2729175,1682.5030575,21802.775975,164782,1864.1
"DIXON",2322,22671,24993,18515.446695,3221.16356,21736.610255,63709,16010
"BIOCON",2369,10664,13033,19919.7005,1477.23575,21396.93625,32875,334.05
"ADANIENT",2888,14960,17848,19156.95834,2033.37741,21190.33575,124065,2205.6
"TRENT",2818,26415,29233,15211.95006,2541.41385,17753.36391,113391,5386.5
"HAVELLS",2302,7600,9902,16738.2722,819.239,17557.5112,26663,1468.1
"PNB",1875,12275,14150,15840.92,1593.2024,17434.1224,58621,105.34
"CDSL",1971,13674,15645,14679.196035,2020.589675,16699.78571,43998,1565.8
"KOTAKBANK",2005,7572,9577,15788.02244,650.59076,16438.6132,122180,1960.4
"TITAN",2393,28560,30953,14413.0396725,1903.29881,16316.3384825,87718,3417.2
"HINDPETRO",1774,7124,8898,14932.41075,1291.702545,16224.113295,39648,411.1
"KALYANKJIL",2213,18593,20806,13666.0874225,2507.45987,16173.5472925,44116,523.9
"COFORGE",2473,11494,13967,14841.3823875,1225.6546125,16067.037,62369,1595.1
"ETERNAL",2043,7355,9398,14981.976405,935.005795,15916.9822,129369,303.6
"BPCL",2206,10179,12385,14005.98742,1449.52992,15455.51734,32060,319.55
"PIIND",2043,4281,6324,13738.572435,763.33488,14501.907315,15926,3827
"CANBK",1821,5669,7490,13425.03315,849.2607,14274.29385,58513,109.08
"DLF",2083,11283,13366,12894.5365725,1096.792125,13991.3286975,85038,752.3
"INDUSINDBK",2373,9070,11443,13047.89906,753.64191,13801.54097,118114,784
"HEROMOTOCO",1720,21052,22772,11841.330375,1830.741945,13672.07232,80325,4560
"TCS",2361,23846,26207,12574.05016,969.97194,13544.0221,326499,3031.6
"AUBANK",1677,8525,10202,12278.9453,893.5489,13172.4942,43296,727.6
"M&M",1888,11325,13213,11922.7965,949.38588,12872.18238,157523,3155.1
"BANKBARODA",1684,6392,8076,11984.9385825,815.1685425,12800.107125,57423,243.08
"NAUKRI",2228,8831,11059,11070.44655,863.2948125,11933.7413625,40801,1336.4
"BEL",972,7089,8061,10648.43448,1225.051695,11873.486175,76058,383.25
"ASIANPAINT",1720,11701,13421,10631.552275,756.877825,11388.4301,84983,2483.2
"ADANIPORTS",1658,8114,9772,10453.67251,867.559665,11321.232175,81426,1322
"JIOFIN",1264,8288,9552,9622.8364,1166.30594,10789.14234,89037,322.3
"MCX",981,4478,5459,9532.8695625,770.7431375,10303.6127,38509,7744
"JINDALSTEL",1590,2288,3878,9812.506125,325.9149375,10138.4210625,28207,986.95
"BAJAJFINSV",964,4727,5691,9244.1473,704.54645,9948.69375,54484,1911.9
"INDIANB",1329,8078,9407,8822.8934,1124.2655,9947.1589,11804,666.3
"IOC",1305,4406,5711,9048.1672125,537.4965375,9585.66375,30668,140.73
"LAURUSLABS",649,1647,2296,9100.93504,370.18027,9471.11531,21569,824.2
"BLUESTARCO",1601,2510,4111,9131.2146575,334.900865,9466.1155225,6777,1757.9
"HAL",1265,8083,9348,8487.88128,943.539615,9431.420895,99709,4474.4
"PAYTM",1130,4346,5476,8682.32856,693.0974625,9375.4260225,59177,1063.1
"GODREJCP",1498,4179,5677,8773.21305,371.6809,9144.89395,24021,1173.8
"TATASTEEL",961,6522,7483,8388.8211,750.673,9139.4941,61973,158.23
"JSWSTEEL",1203,3566,4769,8570.47581,458.543295,9029.019105,74364,1052
"SOLARINDS",713,7533,8246,7841.7242025,1123.2283875,8964.95259,20810,14659
"NTPC",1613,12802,14415,8174.2602,675.86205,8850.12225,101583,336.9
"BAJFINANCE",1274,4304,5578,8448.4608,372.834375,8821.295175,168824,879.3
"POLYCAB",986,3117,4103,8306.99965,398.8645625,8705.8642125,25441,6725
"MARUTI",1200,22351,23551,7551.14347,1151.255735,8702.399205,107844,12514
"BAJAJ-AUTO",1296,9116,10412,8022.32712,493.81989,8516.14701,60512,8202.5
"CUMMINSIND",1023,5666,6689,7783.32942,703.83988,8487.1693,29366,3777
"JSWENERGY",1490,4782,6272,7870.1991,581.7638,8451.9629,52076,528.5
"HINDALCO",842,2607,3449,7974.3755,391.79,8366.1655,46465,674.85
"ADANIGREEN",1398,4669,6067,7716.23604,637.3956,8353.63164,50489,912.8
"TITAGARH",1301,3766,5067,7542.111635,743.9288075,8286.0404425,15764,798.3
"MOTHERSON",1369,2210,3579,7680.738075,354.180345,8034.91842,35952,90.41
"NMDC",773,1435,2208,7390.1403,295.28415,7685.42445,30854,71.4
"PFC",1309,6680,7989,6909.38326,669.35453,7578.73779,69836,407.25
"UPL",736,3324,4060,6833.947378,412.854408,7246.801786,38459,681.5
"POLICYBZR",1071,3501,4572,6727.28623,502.2612,7229.54743,27009,1785.5
"DIVISLAB",1097,9276,10373,6482.83656,573.85649,7056.69305,58436,5901
"ITC",962,6369,7331,6405.68784,385.71424,6791.40208,110199,415.95
"MUTHOOTFIN",894,2084,2978,6393.80511,283.2511275,6677.0562375,20966,2567.2
"INDIGO",720,2980,3700,6265.80324,349.510755,6615.313995,63928,5814
"APOLLOHOSP",687,4058,4745,6075.2170125,460.2514125,6535.468425,33616,7066
"PAGEIND",969,4951,5920,6289.732722000001,229.54374,6519.276462000001,28800,44020
"TVSMOTOR",581,2972,3553,6050.60274,462.112245,6512.714985,34390,2981.8
"LT",976,5372,6348,6201.8687325,275.0090175,6476.87775,122923,3622
"BRITANNIA",860,8944,9804,5770.2672,598.904125,6369.171325,45009,5330.5
"ASHOKLEY",1029,2416,3445,6030.9465,297.3545,6328.301,27391,117.63
"FORTIS",744,6438,7182,5238.09077,1077.29309,6315.38386,20874,908
"RECLTD",1202,5198,6400,5855.73585,398.47371,6254.20956,104402,382.4
"IDEA",1249,1242,2491,5878.6972425,320.536785,6199.2340275,97254,6.57
"HDFCAMC",685,3627,4312,5714.554365,433.76934,6148.323705,27054,5530.5
"ABCAPITAL",679,2347,3026,5721.43533,328.64402,6050.07935,27565,270.65
"LICI",846,6094,6940,5368.93861,519.30382,5888.24243,18729,900
"MAZDOCK",1127,6758,7885,5270.9142675,585.655035,5856.5693025,38001,2662.1
"KAYNES",890,6191,7081,5176.76836,603.2175,5779.98586,25355,5837.5
"MARICO",628,3361,3989,5290.79232,303.07704,5593.86936,28985,698.7
"TATAPOWER",921,5695,6616,5097.978875,426.320155,5524.29903,91779,381.55
"BHEL",845,5153,5998,4949.66115,520.6789875,5470.3401375,45217,220.89
"HUDCO",879,2294,3173,5097.444675,288.4526475,5385.8973225,20074,209.2
"SHRIRAMFIN",985,2594,3579,5005.102245,267.7097775,5272.8120225,61949,613.65
"BDL",1017,2442,3459,4977.497915,294.817835,5272.31575,24271,1509
"BHARATFORG",869,1992,2861,5000.59335,208.10865,5208.702,34693,1146
"NATIONALUM",672,2411,3083,4759.16325,376.56375,5135.727,27350,188.34
"COALINDIA",942,5954,6896,4763.35242,353.16648,5116.5189,97245,377.75
"HINDUNILVR",628,6645,7273,4706.98845,392.94762,5099.93607,91173,2489
"FEDERALBNK",487,2182,2669,4792.032,302.9435,5094.9755,34974,197.16
"GODREJPROP",870,3676,4546,4753.08097,330.7119475,5083.7929175,45053,1982.6
"ASTRAL",778,4327,5105,4566.3669825,452.886205,5019.2531875,22255,1380
"ANGELONE",673,4460,5133,4286.600725,646.4615,4933.062225,20676,2546.4
"CONCOR",664,2868,3532,4571.79075,293.692125,4865.482875,28796,548
"VEDL",930,3068,3998,4638.200585,213.72198,4851.922565,97613,433.15
"TECHM",519,1875,2394,4606.74756,226.2894,4833.03696,42878,1473.1
"SRF",802,2833,3635,4566.1046,226.29138,4792.39598,33630,2844
"EICHERMOT",424,4396,4820,4228.409185,525.2246825,4753.6338675,32330,5685
"NBCC",664,851,1515,4614.3565,114.11465,4728.47115,10745,107.16
"VBL",876,3410,4286,4467.29932,244.1192275,4711.4185475,51268,500.2
"AUROPHARMA",778,2755,3533,4471.87268,230.613075,4702.485755,47578,1038.8
"INDUSTOWER",767,2830,3597,4350.80456,278.48907,4629.29363,64102,333.3
"DRREDDY",536,4394,4930,4079.528875,440.07275,4519.601625,35980,1222.2
"SUZLON",792,3411,4203,4074.1984,393.2352,4467.4336,16093,64.07
"ABB",652,3528,4180,4109.4169375,306.9003375,4416.317275,45831,5033
"HINDZINC",816,1608,2424,4200.1779575,161.494935,4361.6728925,35016,418.25
"PERSISTENT",798,3776,4574,4078.30328,268.04714,4346.35042,50571,5122
"HDFCLIFE",486,2210,2696,4078.18004,237.64092,4315.82096,38076,756.3
"CIPLA",729,3472,4201,4072.1889,229.1753625,4301.3642625,47531,1486.9
"LTF",450,1224,1674,3960.8687642,182.5198948,4143.388659,22807,196.45
"HCLTECH",751,3391,4142,3878.5943,255.133375,4133.727675,82948,1472.4
"TATAELXSI",698,1371,2069,3965.07318,131.78385,4096.85703,27594,5695
"WIPRO",534,3143,3677,3833.5821,245.8632,4079.4453,69162,239.84
"LUPIN",452,2039,2491,3700.9119425,243.684205,3944.5961475,42043,1919.9
"DABUR",584,4054,4638,3682.4645,211.15,3893.6145,24810,501.8
"SYNGENE",557,1374,1931,3618.1231,162.924,3781.0471,12652,646.55
"NESTLEIND",660,3074,3734,3621.195,150.33815,3771.53315,55765,1091
"IRFC",625,3406,4031,3375.233125,358.7187,3733.951825,20417,126.2
"PATANJALI",668,698,1366,3603.67992,66.25404,3669.93396,40570,1793.3
"NCC",572,1559,2131,3441.1068,213.32376,3654.43056,9835,224
"PIDILITIND",451,1621,2072,3473.4595,152.5925,3626.052,23358,3079
"CHOLAFIN",381,1002,1383,3484.0639375,127.7158125,3611.77975,27344,1457.6
"BANKINDIA",600,815,1415,3512.58544,93.86052,3606.44596,17933,112.26
"UNITDSPR",676,1740,2416,3494.85684,107.95996,3602.8168,55213,1294.9
"INDHOTEL",461,1670,2131,3409.137,173.0405,3582.1775,38050,738.25
"CAMS",604,1539,2143,3413.30148,156.045885,3569.347365,27130,3731.4
"ULTRACEMCO",539,3458,3997,3304.81021,183.69349,3488.5037,65747,12230
"ADANIENSOL",600,2042,2642,3221.079615,231.7305375,3452.8101525,37704,790.3
"GMRAIRPORT",527,1481,2008,3277.8810225,162.9520425,3440.833065,39748,88.95
"POWERGRID",603,1634,2237,3262.70109,117.75972,3380.46081,54764,284.2
"BOSCHLTD",318,3967,4285,3066.59239,279.20843,3345.80082,34459,38545
"IEX",578,3630,4208,2975.01375,356.539875,3331.553625,31468,136.35
"GAIL",564,2402,2966,3052.77462,205.88652,3258.66114,53774,171.14
"RVNL",680,1525,2205,3126.853125,112.4464,3239.299525,14889,337.4
"SUPREMEIND",395,2197,2592,2917.6715225,300.6928575,3218.36438,10310,4234.9
"GLENMARK",409,529,938,3104.6289375,83.4819375,3188.110875,26854,2019.7
"ONGC",552,4312,4864,2895.0669,286.752375,3181.819275,68903,232.5
"MFSL",245,648,893,3041.84176,114.86,3156.70176,9018,1537.1
"SAIL",531,1134,1665,3025.4793,114.22692,3139.70622,48536,121.2
"UNIONBANK",502,1321,1823,2956.2624075,168.5832075,3124.845615,30472,132.76
"DMART",449,2423,2872,2816.522235,164.32116,2980.843395,50320,4176
"CGPOWER",508,1125,1633,2867.14741,105.06952,2972.21693,25925,657.95
"CROMPTON",489,1097,1586,2789.36136,110.7639,2900.12526,27122,316.1
"SBILIFE",393,1874,2267,2726.966025,136.158825,2863.12485,30831,1843.3
"LICHSGFIN",483,1551,2034,2722.931,99.1754,2822.1064,51741,571.2
"SUNPHARMA",473,3573,4046,2642.49797,164.1976,2806.69557,83422,1593.2
"COLPAL",543,1621,2164,2707.973235,83.02446,2790.997695,36770,2205.6
"SBICARD",412,1429,1841,2612.17456,104.60504,2716.7796,31747,795.1
"NYKAA",401,830,1231,2531.9490625,127.364375,2659.3134375,18477,201.14
"IDFCFIRSTB",389,1161,1550,2513.15771,127.841035,2640.998745,60997,69.35
"TATACONSUM",432,1716,2148,2486.60247,102.45521,2589.05768,37744,1044.5
"DELHIVERY",245,1382,1627,2362.825325,217.83184,2580.657165,15961,466.3
"MANKIND",389,816,1205,2155.7990925,67.6788975,2223.47799,9858,2447.9
"UNOMINDA",359,1074,1433,2134.74514,88.39567,2223.14081,9012,1077.9
"MPHASIS",293,296,589,2171.56907,48.24963,2219.8187,17676,2678
"ALKEM",336,1113,1449,2020.279725,159.734475,2180.0142,11787,4787.5
"BANDHANBNK",347,1009,1356,2048.88312,117.55296,2166.43608,33662,164.88
"INOXWIND",450,590,1040,2073.9218624,88.1807272,2162.1025896,15444,139.75
"YESBANK",359,540,899,2083.60048,74.37876,2157.97924,49062,18.58
"APLAPOLLO",381,421,802,2113.09497,28.525665,2141.620635,28132,1590.7
"IRCTC",319,1348,1667,2013.674425,114.8924,2128.566825,29824,721.3
"ICICIPRULI",355,741,1096,2000.85418,47.7826325,2048.6368125,17909,604.1
"SONACOMS",423,520,943,1984.445505,43.838865,2028.28437,28285,444.9
"360ONE",388,177,565,2014.24055,11.6479,2025.88845,13025,1039.1
"TATACHEM",312,879,1191,1928.12412,67.538705,1995.662825,22715,949.7
