"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"FEDERALBNK",595,1646,2241,5854.081,220.057,6074.138,36435,197.15
"RECLTD",1159,4474,5633,5704.2142125,362.392995,6066.6072075,103871,387.6
"GAIL",1019,3046,4065,5592.119715,221.007465,5813.12718,54157,172.73
"TITAN",859,8619,9478,5249.45512,538.8952975,5788.3504175,81875,3491.8
"NTPC",1048,8580,9628,5373.25935,394.3614,5767.62075,104506,342.3
"MOTHERSON",970,2113,3083,5460.45831,253.838175,5714.296485,37101,91.54
"CAMS",919,3794,4713,5296.65081,358.216965,5654.867775,27237,3833.4
"HCLTECH",985,6358,7343,5179.84579,451.582915,5631.428705,81695,1498.4
"MAZDOCK",1062,5087,6149,5099.325,476.125965,5575.450965,36704,2731.3
"INDUSTOWER",918,2309,3227,5341.00832,213.30308,5554.3114,64984,342.4
"ADANIGREEN",916,4086,5002,5128.19952,401.2449,5529.44442,50619,932.95
"HUDCO",883,2389,3272,5207.96682,305.0721225,5513.0389425,19850,213.18
"ADANIPORTS",764,5277,6041,4857.428945,460.6992225,5318.1281675,82434,1335.3
"NHPC",918,1957,2875,4991.6192,226.62144,5218.24064,11849,85.22
"HDFCLIFE",582,2766,3348,4949.40446,245.31947,5194.72393,38583,773
"HINDZINC",928,3583,4511,4903.3514775,286.45694,5189.8084175,34808,431.5
"BIOCON",534,2124,2658,4768.8975,318.04475,5086.94225,32721,355.9
"GLENMARK",633,1057,1690,4868.245875,140.882475,5009.12835,27134,2056
"VBL",888,3399,4287,4712.8744575,282.3211825,4995.19564,51358,517.4
"CIPLA",769,5788,6557,4422.6628125,403.7874375,4826.45025,49195,1531.6
"GRASIM",625,4432,5057,4316.19805,422.494375,4738.692425,67316,2749.7
"JSWENERGY",844,1214,2058,4540.3302,118.2573,4658.5875,49481,536.35
"HINDPETRO",527,1525,2052,4378.05567,218.862,4596.91767,40619,411.2
"AMBER",603,3945,4548,4161.52234,412.71193,4574.23427,20579,6866
"IRFC",802,2447,3249,4316.608975,225.198575,4541.80755,22240,125.94
"FINNIFTY",124,22953,23077,2121.799836,2412.9006265000003,4534.7004625,35861,26189.8
"PATANJALI",802,1236,2038,4380.65421,141.231,4521.88521,43540,1825.5
"POWERGRID",784,2855,3639,4275.27626,202.57648,4477.85274,56563,287.45
