Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (? Lakhs) - Futures,Value (? Lakhs) - Options (Premium),Value (? Lakhs) - Total,Open Interest (Contracts),Underlying
PETRONET,1551,3511,5062,7496.75025,226.14855,7722.8988,36522,320.6
TVSMOTOR,736,4983,5719,7236.37901,450.379615,7686.758625,40734,2802.8
DIVISLAB,1060,8472,9532,6936.07262,521.82428,7457.8969,73269,6539
CYIENT,1706,10305,12011,6780.5268,661.68762,7442.21442,21706,1320
ACC,1187,7379,8566,6988.56006,450.19284,7438.7529,42085,1963
TATATECH,1309,3511,4820,7034.45887,327.82771,7362.28658,37853,768.9
BIOCON,861,1635,2496,7170.709,164.49975,7335.20875,25219,331.65
GODREJPROP,1430,3678,5108,7022.362675,256.8982275,7279.260903,58158,2170.9
LAURUSLABS,700,1661,2361,7048.01521,215.1792,7263.19441,28371,590.15
ALKEM,1337,2183,3520,7074.072735,159.25142,7233.324155,18175,5279.5
HAVELLS,890,2888,3778,6972.6467,157.622,7130.2687,40086,1564.1
UNIONBANK,1081,2740,3821,6753.858473,347.5567575,7101.41523,28307,140.6
AUBANK,966,3657,4623,6687.5126,282.8412,6970.3538,41004,697.5
SAIL,1288,4028,5316,6494.8344,384.7032,6879.5376,63038,125.55
CHOLAFIN,657,2222,2879,6643.990063,216.771,6860.761063,28644,1613.9
OFSS,1434,13233,14667,6085.03338,770.041235,6855.074615,34925,8520
CANBK,891,4091,4982,6446.29185,406.389825,6852.681675,77859,106.7
UPL,740,3507,4247,6353.067634,220.172866,6573.2405,54145,630.35
AMBUJACEM,1190,6307,7497,6157.80873,385.2036,6543.01233,53348,572.75
GLENMARK,1322,5547,6869,6137.793213,401.171875,6538.965088,31284,1426.5
TATAELXSI,962,5944,6906,5989.43608,446.13907,6435.57515,37771,6283
TITAN,959,8518,9477,5983.941705,430.4148625,6414.356568,102145,3572.3
INDUSTOWER,924,3398,4322,6091.20574,248.48203,6339.68777,64140,385.1
DALBHARAT,1008,3412,4420,5939.98993,293.5969575,6233.586888,19436,2136.1
CHAMBLFERT,1018,5775,6793,5708.465355,392.630155,6101.09551,30797,585.5
INDHOTEL,736,4467,5203,5697.7476,391.7576,6089.5052,60603,770.95
NTPC,1094,8519,9613,5624.43375,428.83425,6053.268,129798,341.9
EICHERMOT,589,6516,7105,5599.82318,437.6158325,6037.439013,49651,5410.5
IRFC,1164,5454,6618,5582.891163,388.190625,5971.081788,58105,135.15
PEL,691,1970,2661,5666.689125,210.502425,5877.19155,20214,1091.7
MOTHERSON,1081,2150,3231,5692.54617,166.034565,5858.580735,51265,147.67
KPITTECH,1019,4391,5410,5490.56852,330.7242,5821.29272,18939,1341.4
YESBANK,1000,2082,3082,5533.09776,259.54189,5792.63965,54779,21.02
JSWENERGY,1453,3153,4606,5484.38615,183.828075,5668.214225,56949,500.2
DABUR,897,3157,4054,5417.15175,181.987625,5599.139375,34035,483.6
AUROPHARMA,774,2667,3441,5083.733765,244.16953,5327.903295,44549,1192.7
CUMMINSIND,1115,2999,4114,5021.14689,278.58603,5299.73292,45188,2999.7
OIL,1079,4345,5424,4930.63046,291.0154,5221.64586,18454,424.3
ABCAPITAL,788,3430,4218,4734.69652,331.48737,5066.18389,35171,221.7
SIEMENS,1724,22719,24443,4304.3256,754.604145,5058.929745,76386,3295.1
MUTHOOTFIN,796,5956,6752,4612.520083,300.5759075,4913.09599,58115,2090.1
BHARATFORG,737,3267,4004,4579.1163,285.6416,4864.7579,46411,1240.1
TATACONSUM,854,8176,9030,4421.844714,358.9692192,4780.813934,61167,1146
TORNTPHARM,557,2999,3556,4468.704975,157.7378,4626.442775,18869,3202.1
IRCTC,644,2285,2929,4408.95735,165.251625,4574.208975,33170,778.5
LICHSGFIN,714,2726,3440,4247.1654,200.2718,4447.4372,51269,593.55
PRESTIGE,853,5138,5991,4028.61413,353.5549225,4382.169053,24207,1437.8
PATANJALI,829,2865,3694,4259.48184,100.37283,4359.85467,37191,1707.5
BSOFT,927,5603,6530,3986.234,326.3614,4312.5954,22478,428.5
HDFCAMC,570,3118,3688,4111.864365,188.575155,4300.43952,27725,4795.9
DMART,638,5983,6621,3950.22714,313.19115,4263.41829,42537,4135
JINDALSTEL,666,2835,3501,4011.159375,209.335,4220.494375,40193,956.5
ICICIPRULI,829,4070,4899,3906.68845,268.258425,4174.946875,27750,629.6
IEX,540,1958,2498,3953.559375,189.557625,4143.117,24335,194.97
INOXWIND,681,481,1162,4005.420975,82.587735,4088.00871,12879,182.63
JUBLFOOD,462,1835,2297,3887.829,156.07625,4043.90525,24918,671.5
CROMPTON,617,1660,2277,3872.52396,126.95166,3999.47562,30159,347.55
POLYCAB,498,4450,4948,3719.55685,270.096925,3989.653775,37034,5948
BOSCHLTD,495,147,642,3952.28692,15.1071525,3967.394073,14478,31865
ADANIENSOL,664,2622,3286,3656.081925,155.3228125,3811.404738,34562,875.35
NHPC,657,2042,2699,3651.1296,141.18656,3792.31616,24100,86.23
LICI,731,2202,2933,3609.85397,163.31219,3773.16616,19264,853.35
ABFRL,1467,4334,5801,3472.59302,267.6193,3740.21232,11895,90.1
EXIDEIND,516,1725,2241,3568.7007,162.82566,3731.52636,27561,382
NAUKRI,589,3229,3818,3270.625613,345.312675,3615.938288,33020,1483.5
BANKINDIA,610,1297,1907,3454.658745,119.3883525,3574.047098,22108,116.42
HUDCO,594,3190,3784,3280.398208,261.1581925,3541.5564,26922,225.22
IREDA,673,2258,2931,3315.72277,217.63137,3533.35414,34915,170.04
TATACOMM,744,6196,6940,3141.70084,326.668075,3468.368915,29887,1679.2
MARICO,387,2249,2636,3272.35152,144.75744,3417.10896,25874,705.65
TATACHEM,677,3313,3990,3218.682045,170.71582,3389.397865,39359,864.8
OBEROIRLTY,517,2247,2764,3147.390645,168.52129,3315.911935,24917,1735.6
HINDCOPPER,504,1063,1567,3042.22332,152.702275,3194.925595,22062,227.76
NBCC,473,937,1410,3083.4299,107.18922,3190.61912,14779,111.71
BRITANNIA,544,4944,5488,2989.331315,183.49754,3172.828855,50723,5484
LTF,387,869,1256,2937.929831,89.7022632,3027.632094,31021,172.77
BALKRISIND,365,736,1101,2929.77195,93.96594,3023.73789,13331,2679
CAMS,589,2425,3014,2870.622973,147.927475,3018.550448,31016,3866
M&MFIN,548,1349,1897,2901.697358,90.6874872,2992.384846,28010,256.7
ICICIGI,614,1359,1973,2892.62976,57.1029,2949.73266,33198,1873.5
APOLLOTYRE,309,2824,3133,2599.13187,259.68197,2858.81384,11817,494.35
SHREECEM,351,900,1251,2767.262315,48.8029875,2816.065303,20563,31710
INDIANB,470,795,1265,2665.11746,56.5402,2721.65766,13491,595.45
SYNGENE,400,1807,2207,2549.6465,100.3936,2650.0401,29430,636.9
PIDILITIND,338,1634,1972,2549.542475,97.7702,2647.312675,25936,3005.5
DEEPAKNTR,354,3947,4301,2213.3673,382.03854,2595.40584,9767,2085.5
AARTIIND,514,2999,3513,2422.760763,144.6728,2567.433563,31798,468.2
SJVN,516,905,1421,2440.68946,73.8144225,2514.503883,15305,99.57
LODHA,357,1784,2141,2281.008285,181.727055,2462.73534,22667,1415.5
CGPOWER,441,1225,1666,2232.23317,86.67549,2318.90866,26157,694.7
IGL,367,1827,2194,2079.3663,179.58105,2258.94735,19388,205.28
NYKAA,356,1231,1587,2132.222638,113.71483,2245.937468,18422,203.9
NCC,505,3059,3564,2098.164133,137.329975,2235.494108,23538,231.31
IIFL,303,1715,2018,1957.528945,209.675165,2167.20411,16384,415.95
MRF,288,2337,2625,2064.71736,98.150727,2162.868087,20366,143300
GODREJCP,324,1210,1534,2067.67015,64.9384,2132.60855,29500,1278.9
KALYANKJIL,412,2389,2801,1761.14379,137.99557,1899.13936,29548,550.05
SUPREMEIND,378,1314,1692,1809.448775,80.9612,1890.409975,18028,3821.8
PNBHOUSING,273,354,627,1861.84518,23.910705,1885.755885,17039,1050.1
MGL,328,1594,1922,1781.13192,82.16888,1863.3008,15676,1350.5
CESC,345,739,1084,1706.119155,45.30708,1751.426235,12909,168.78
ATGL,319,1690,2009,1636.490853,81.9299,1718.420753,14061,660.4
IRB,307,817,1124,1613.454375,50.5928875,1664.047263,15114,50.74
HINDZINC,296,832,1128,1605.278465,47.0114575,1652.289923,13244,440
ESCORTS,285,1943,2228,1515.8295,118.709745,1634.539245,15583,3539
APLAPOLLO,230,1599,1829,1475.761385,146.48214,1622.243525,26743,1828.4
KEI,265,1081,1346,1371.577845,64.543365,1436.12121,16926,3432.1
SONACOMS,335,891,1226,1365.52207,52.0997625,1417.621833,34191,531.2
PHOENIXLTD,232,1253,1485,1312.106845,75.54134,1387.648185,12548,1610.6
TIINDIA,282,1686,1968,1289.13233,84.246615,1373.378945,25439,3021.1
PIIND,269,2674,2943,1234.040213,104.4385625,1338.478775,27118,3664.8
NIFTYNXT50,74,244,318,1242.423373,27.784835,1270.208208,1646,66859.5
GRANULES,226,612,838,1169.488988,84.8348,1254.323788,22147,513.45
PAGEIND,162,206,368,1162.401576,9.0256815,1171.427258,17826,47885
JSL,215,227,442,1071.743405,16.5595025,1088.302908,11901,637.75
POONAWALLA,147,424,571,841.75265,29.26216,871.01481,17605,393.15
TORNTPOWER,148,592,740,776.66985,30.48015,807.15,13891,1395.3
TITAGARH,77,556,633,430.0578125,37.25425,467.3120625,27773,891.55
RBLBANK,46,107,153,239.74,5.729,245.469,45484,208.6
MANAPPURAM,2,37,39,13.8606,0.6888,14.5494,30683,231.04
