"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"BHARATFORG",3796,5071,8867,23757.0752,715.1568,24472.232,29064,1239.2
"BOSCHLTD",2979,5705,8684,23478.770035,703.4179175,24182.1879525,13434,31385
"TATACONSUM",4462,8790,13252,22889.200721999998,714.4128114,23603.613533400003,45489,1109
"CHOLAFIN",2218,6130,8348,22326.6693125,1127.627875,23454.2971875,22572,1597.5
"SAIL",4184,11767,15951,21918.75204,1493.26219,23412.01423,48682,128.96
"ONGC",4595,16116,20711,21764.29673,1446.25718,23210.55391,82827,239.2
"TITAGARH",3661,11770,15431,20403.4725525,2019.7360625,22423.208615,14612,891.45
"ADANIGREEN",5270,15903,21173,20382.88908,2010.5530875,22393.4421675,60041,1016
"COLPAL",4954,7088,12042,21695.0021925,467.1016,22162.1037925,34612,2455
"LTIM",2621,7694,10315,20073.34362,1218.612405,21291.956025,21372,5056
"NAUKRI",3718,7573,11291,19993.986375,864.057525,20858.0439,28685,1418
"MGL",3609,8353,11962,19447.42976,1107.13364,20554.5634,11282,1325
"DELHIVERY",3351,9902,13253,18896.7628175,1637.665075,20534.4278925,11729,358.55
"SJVN",4030,11636,15666,18730.4291875,1635.16335,20365.5925375,13172,96.49
"LODHA",3019,4526,7545,19548.740475,767.068785,20315.80926,16673,1422
"BPCL",3229,13303,16532,18833.5372975,1449.96811,20283.5054075,35190,317.5
"NESTLEIND",3927,11747,15674,19208.355645,768.46474,19976.820385,58215,2393.8
"DABUR",3154,8038,11192,19083.84375,681.566125,19765.409875,23515,483.4
"CAMS",3527,12622,16149,17851.40792,1764.7502125,19616.1581325,19483,3962
"IRFC",3541,12789,16330,17695.02663,1746.97939,19442.00602,30126,138.9
"HAVELLS",2397,5002,7399,18504.94465,542.0495,19046.99415,21739,1525.6
"NHPC",3318,3067,6385,18540.27008,419.91424,18960.18432,16715,87.2
"SUPREMEIND",3514,4187,7701,18371.31235,462.2396375,18833.5519875,13810,4145
"APLAPOLLO",2712,10270,12982,17247.77432,1410.242435,18658.016755,13025,1800
"IREDA",3479,5907,9386,17792.438085,785.01086,18577.448945,20937,175.04
"UNITDSPR",3365,4612,7977,18047.193465,413.113185,18460.30665,35612,1530
"OIL",3696,7488,11184,17311.562125,1066.4738775,18378.0360025,13943,427
"SBILIFE",2551,8889,11440,17482.3545375,886.22145,18368.5759875,29985,1809
"FINNIFTY",544,45297,45841,9423.6259975,8780.054705499999,18203.680702999998,11139,26499.25
"JUBLFOOD",2110,4409,6519,17488.345625,707.382,18195.727625,18113,656
"JSWENERGY",4480,10809,15289,16746.378,1115.553975,17861.931975,53726,488.45
"IIFL",2439,6308,8747,16523.476085,1318.46379,17841.939875,9573,432.5
"ACC",2993,8359,11352,17053.26444,747.3327,17800.59714,26297,1877.4
"SIEMENS",6549,24670,31219,16471.334815,1254.945685,17726.2805,46761,3267
"TATACOMM",3956,3738,7694,17170.42655,275.71465,17446.1412,21502,1681.9
"VBL",3819,11984,15803,16293.43749,1099.303345,17392.740835,61443,475.9
"POLYCAB",2171,5956,8127,16261.214375,1008.6145375,17269.8289125,22741,5982
"HINDZINC",2845,6878,9723,16105.218325,1059.37069,17164.589015,10620,457.2
"ADANIENSOL",2965,5375,8340,16269.267915,871.5737,17140.841615,24164,867.8
"BIOCON",1918,4076,5994,16115.18725,788.911,16904.09825,15925,334.45
"ABCAPITAL",2497,7415,9912,15090.6117,1230.86078,16321.47248,27063,222
"POLICYBZR",2694,3891,6585,15540.0850225,675.1910625,16215.276085,20181,1752.3
"MAXHEALTH",2580,5382,7962,15434.837355,599.41224,16034.249595,24647,1125
"TORNTPHARM",1966,1932,3898,15638.0426,195.5692,15833.6118,12647,3158.9
"MPHASIS",2167,3146,5313,15295.95793,463.0879,15759.04583,20145,2549.7
"IGL",2533,7455,9988,14585.10955,1037.07505,15622.1846,10453,206.9
"EXIDEIND",2117,5192,7309,14793.03396,758.63268,15551.66664,17605,386
"SHREECEM",2026,3865,5891,15095.528745,296.660095,15392.18884,12498,29690
"ZYDUSLIFE",1741,3442,5183,14587.4772,463.76604,15051.24324,13677,926.05
"LAURUSLABS",1340,4331,5671,13990.40194,953.37904,14943.78098,16263,610.5
"CGPOWER",2780,5050,7830,14032.3311,564.8505125,14597.1816125,17229,683
"PEL",1688,3398,5086,13904.5617,659.38575,14563.94745,12928,1105.5
"LTF",1786,4571,6357,13660.4718984,712.8866008,14373.358499200001,19289,171.4
"MARICO",1595,3256,4851,13834.7766,393.62544,14228.40204,17380,718
"HINDCOPPER",1976,4647,6623,13073.64886,888.50843,13962.15729,18368,247
"AMBUJACEM",2650,5406,8056,13356.39726,437.223915,13793.621175,43251,551.6
"TATACHEM",2646,9890,12536,12871.62092,801.09521,13672.71613,30467,886.75
"BRITANNIA",2332,6138,8470,12975.30842,520.5657,13495.87412,36451,5496
