"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",99622,55796231,55895853,1863041.33928,3070489.6233825,4933530.9626625,5826328,24837
"BANKNIFTY",49307,8247312,8296619,980497.5209014999,626168.396609,1606665.9175105,1532000,56528.9
"BAJFINANCE",62601,402419,465020,429056.478675,28954.85025,458011.328925,192222,912.85
"AXISBANK",55985,108523,164508,383111.340375,4907.8593125,388019.1996875,248173,1086
"HDFCBANK",27462,135597,163059,303722.228205,7892.92999,311615.158195,287301,2005
"RELIANCE",35844,464525,500369,250479.0498,27868.1533,278347.2031,558446,1392.4
"INFY",41375,253692,295067,253348.23532,12346.70948,265694.9448,314184,1518.5
"SHRIRAMFIN",43038,180107,223145,218680.7504475,16474.431105,235155.1815525,84209,610.5
"BAJAJFINSV",20567,199231,219798,202009.5118,20538.6323,222548.1441,64315,1985.4
"RECLTD",39052,80383,119435,199605.818835,5898.5820975,205504.4009325,113158,400.3
"MIDCPNIFTY",5892,1125960,1131852,107350.660956,96468.94394200001,203819.604898,247056,12930.1
"ICICIBANK",15857,114521,130378,164279.04948,6823.07787,171102.12735,215127,1477.9
"SBIN",25586,197980,223566,155913.768525,8822.0604,164735.828925,330572,805.9
"CIPLA",25466,291048,316514,145682.1522,17065.7673375,162747.9195375,62670,1535
"JSWSTEEL",22625,12633,35258,157076.6530725,664.91307,157741.5661425,78469,1026.9
"LAURUSLABS",9753,49714,59467,138837.21806,11755.47858,150592.69664,36262,839.9
"ETERNAL",17208,174444,191652,129706.605985,16598.8090225,146305.4150075,151938,310.5
"VEDL",28084,27513,55597,144144.656425,1704.30943,145848.965855,126302,443.5
"KOTAKBANK",16187,73165,89352,138289.37788,6456.2764,144745.65428,125864,2121.2
"ADANIENT",17006,37222,54228,130975.47021,2719.40676,133694.87697,108935,2549.5
"COFORGE",19181,144752,163933,122051.1897375,11256.494475,133307.6842125,96936,1694.5
"TCS",21986,206772,228758,121084.81126,7564.3103725,128649.1216325,399151,3140
"CANBK",15617,83979,99596,118959.71715,8993.8593,127953.57645,72500,110.65
"INDUSINDBK",20078,52936,73014,116643.8875,4413.69852,121057.58602,109569,825.5
"DIXON",12212,131989,144201,102791.1484,12792.551675,115583.700075,84401,16700
"BHARTIARTL",12039,78439,90478,111141.63449,4424.195695,115565.830185,162204,1928
