"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"PAGEIND",17826,12700,30526,123578.3001315,248.7134325,123827.013564,30280,47215
"CIPLA",20429,54444,74873,120836.2387875,2283.6441375,123119.882925,74347,1570.3
"HDFCLIFE",14536,14266,28802,122127.84001,837.57476,122965.41477,58043,756.5
"SRF",19334,24657,43991,119717.43198,1270.5557,120987.98768,43700,3109
"JSWENERGY",22805,13058,35863,119633.4643,963.1249,120596.5892,66941,525.35
"MPHASIS",15831,19117,34948,119072.2756575,1372.72718,120445.0028375,34712,2782
"MAZDOCK",23345,172435,195780,110520.919775,9174.5500875,119695.4698625,53205,2718
"FEDERALBNK",11456,12981,24437,117725.8425,1461.7615,119187.604,34307,205.08
"POWERGRID",21159,16159,37318,117633.90998,1224.29901,118858.20899,75084,293.6
"TATACONSUM",20102,16216,36318,117929.86106,698.56413,118628.42519,62581,1061.6
"HAVELLS",15538,10957,26495,117323.8537,676.77135,118000.62505,31363,1516
"UNITDSPR",22059,19176,41235,116170.12652,1531.86236,117701.98888,72262,1317
"IDFCFIRSTB",17735,12174,29909,116383.16746,1134.0459025,117517.2133625,74494,70.32
"PATANJALI",20533,25834,46367,115707.20205,1299.08817,117006.29022,56706,1879.5
"CROMPTON",19535,4567,24102,115477.81776,401.7564,115879.57416,39750,327.9
"COLPAL",22922,13484,36406,114596.19072,643.354965,115239.545685,53853,2216.9
"CDSL",15213,57256,72469,110336.665005,4692.0960275,115028.7610325,56193,1542.2
"POLYCAB",12819,41552,54371,110954.692625,2741.9892125,113696.6818375,41091,6940
"CUMMINSIND",15885,6698,22583,112988.8462,378.93222,113367.77842,33000,3527.4
"GODREJPROP",18815,23101,41916,111496.8575875,1509.5954225,113006.45301,50449,2153
"SBILIFE",16049,23098,39147,110725.8331125,669.2512875,111395.0844,46261,1833.2
"ADANIENSOL",19958,14974,34932,110095.09929,1102.3143525,111197.4136425,48545,828.3
"POLICYBZR",17677,6110,23787,110526.67339,438.97021,110965.6436,38529,1794
