"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"SOLARINDS",3106,18306,21412,39380.3014125,3378.8533575,42759.15477,22764,16821
"NTPC",7846,35434,43280,39703.6791,2661.4104,42365.0895,122228,337
"SBILIFE",5832,38460,44292,39189.52905,2780.2757625,41969.8048125,43725,1787.1
"SBICARD",4725,26151,30876,38133.49216,3268.90776,41402.39992,30697,1016.3
"TATASTEEL",4374,23379,27753,38040.84845,3236.20055,41277.049,69053,157.3
"GODREJPROP",6528,27922,34450,36764.88356,3270.77809,40035.66165,49707,2467.9
"OBEROIRLTY",5723,15328,21051,37551.733905,2181.124365,39732.85827,23972,1902.9
"COALINDIA",8457,37366,45823,37111.895145,2495.60964,39607.504785,109741,401
"VOLTAS",9189,42902,52091,36325.288425,3133.2593175,39458.5477425,67927,1286.8
"ADANIENSOL",6479,18389,24868,36688.1368125,2635.257875,39323.3946875,30844,901
"JSWSTEEL",5378,20509,25887,36788.27814,2426.2512525,39214.5293925,73667,1006.45
"GRASIM",5624,19159,24783,36677.834625,1944.1534,38621.988025,65884,2607.5
"EXIDEIND",4694,25464,30158,33726.276,4018.52844,37744.80444,23943,401.95
"RVNL",5594,22225,27819,33551.1185625,3883.931975,37435.0505375,15513,433.4
"TATATECH",6376,22408,28784,34504.1365,2203.22367,36707.36017,34988,776.9
"ASIANPAINT",7473,41352,48825,34184.64011,2145.915585,36330.555695,131637,2251
"MPHASIS",4566,18204,22770,32842.33392,3123.680395,35966.014315,27924,2602
"POLICYBZR",5335,14118,19453,33473.006525,2344.6055,35817.612025,25456,1901
"M&MFIN",5797,17245,23042,34008.468087199995,1755.5121047999999,35763.980191999995,22142,284.3
"BAJAJ-AUTO",4970,43294,48264,32311.530255,3273.97173,35585.501985,90847,8645
"BANKINDIA",5217,14687,19904,32801.26948,2599.42671,35400.69619,22158,129.21
"COFORGE",4737,22571,27308,31928.182425,3353.9813625,35282.1637875,48726,1795
"PNBHOUSING",4309,17787,22096,31726.720805,3351.01,35077.730805,18170,1127.4
"POWERGRID",5941,23928,29869,32263.3079,1972.85725,34236.16515,72354,300.45
"LICI",5553,23691,29244,31445.358165,2137.3705175,33582.7286825,35597,963
"MOTHERSON",5297,21594,26891,30523.917915,2531.94054,33055.858455,45049,160.8
"PERSISTENT",5099,22159,27258,29554.30718,3021.81416,32576.12134,35912,5785
"ANGELONE",4382,20794,25176,28738.64416,3703.642285,32442.286445,30214,3201
"JINDALSTEL",4992,14113,19105,30455.14575,1765.161125,32220.306875,35829,974.55
"SUNPHARMA",5014,28279,33293,29722.843465,2203.77661,31926.620075,85026,1693.4
"POLYCAB",3596,29343,32939,27824.8518125,4039.643925,31864.4957375,29610,6140
"NYKAA",4934,17628,22562,29462.120515,2119.7371,31581.857615,33221,202.22
"HUDCO",4792,12503,17295,29243.1810825,2062.6494775,31305.83056,31889,247.1
"POONAWALLA",4369,20608,24977,27557.794345,3278.3803,30836.174645,16900,430.75
"ABB",3477,22758,26235,26911.77175,3804.3936,30716.16535,30008,6224
"HINDALCO",3126,11136,14262,28594.30378,1770.76732,30365.0711,59412,650
"FINNIFTY",1223,48868,50091,21524.150524499997,8620.944176,30145.0947005,25101,26992.85
"ONGC",5731,28862,34593,27396.85845,2312.974645,29709.833095,93114,243.2
"INDIANB",4362,12847,17209,26984.90886,2100.6458,29085.55466,16323,653.2
"TITAN",4345,22013,26358,26989.2752325,2029.94225,29019.2174825,85910,3533.9
"NAUKRI",4619,16664,21283,26568.1355625,2277.2336625,28845.369225,32384,1522
"SRF",2374,8561,10935,27054.5505,1687.3972525,28741.9477525,25017,3122
"IRFC",4751,24494,29245,25488.790625,3180.93773,28669.728355,37300,146.85
"UNIONBANK",3852,10125,13977,26727.100005,1778.0185425,28505.1185475,25235,155.26
"CAMS",4594,25523,30117,25109.6742825,3301.269595,28410.9438775,37384,4274
"GLENMARK",4998,17719,22717,26251.7235625,2050.8411075,28302.56467,41774,1599.9
"MAZDOCK",4213,21040,25253,25071.5569825,2898.10332,27969.6603025,33189,3367
"HINDUNILVR",3535,29488,33023,25214.84448,2378.37006,27593.21454,92561,2390
"LUPIN",3084,8578,11662,26250.80466,1254.0834975,27504.8881575,34667,1995.2
"IOC",3705,14070,17775,25887.0236625,1551.4083,27438.4319625,37483,143.15
"TVSMOTOR",2707,8397,11104,26078.074295,1300.39728,27378.471575,33677,2742
