"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",72054,67488369,67560423,1363937.5032675,3023659.5317175,4387597.034985,6666732,25181.8
"BANKNIFTY",21860,2409233,2431093,431346.52303050004,310922.8383135,742269.361344,1094992,56192.05
"TCS",41266,449554,490820,220093.514095,32707.437735,252800.95183,390168,3060.2
"MCX",18291,172371,190662,196273.5312875,38113.54285,234387.0741375,47219,8710
"INFY",32901,162037,194938,197452.24468,16695.71808,214147.96276,241045,1509.7
"HDFCBANK",16666,51124,67790,179518.67406,7349.93105,186868.60511,233481,975
"BSE",16856,147682,164538,146444.0998125,31907.519775,178351.6195875,80187,2332
"TATAMOTORS",28783,540300,569083,155712.02624,19848.5112,175560.53744,279219,684.4
"RELIANCE",22563,128352,150915,155935.5874,12149.33405,168084.92145,446914,1376.5
"TATASTEEL",14750,135700,150450,143673.0306,20192.6967,163865.7273,71852,176.21
"AXISBANK",20635,83738,104373,151837.7208125,9704.669625,161542.3904375,200749,1168.1
"ICICIBANK",14573,49671,64244,140633.96186,6506.69061,147140.65247,215971,1374
"VEDL",19878,106234,126112,110173.140995,12224.74725,122397.888245,130738,484.8
"HINDZINC",16241,96878,113119,101180.10735,15425.941125,116606.048475,47715,512.9
"ETERNAL",11843,62287,74130,99553.1551875,14120.36857,113673.5237575,137787,345.5
"HCLTECH",19272,91674,110946,99515.944535,8686.124475,108202.06901,89270,1484.5
"SBIN",14138,88687,102825,91896.87615,6592.009275,98488.885425,231656,861.4
"KOTAKBANK",10737,56236,66973,91953.31924,6509.29404,98462.61328,127978,2140.9
"MIDCPNIFTY",3635,193292,196927,66465.213626,30974.21887,97439.43249600001,113862,13035.75
"HAL",12255,62616,74871,88962.07095,7776.779595,96738.850545,102923,4857
"SAIL",13514,42188,55702,86374.59592,7089.0006,93463.59652,56676,136.5
"LT",12555,87632,100187,83108.8225625,7580.276095,90689.0986575,142108,3764.1
"PAYTM",9323,26241,35564,84333.8918875,5686.3635725,90020.25546,54549,1249.1
"NATIONALUM",9111,53794,62905,78518.4975,11206.526625,89725.024125,35944,229.49
"BEL",7023,38197,45220,81956.43426,6690.74493,88647.17919,74302,409.9
"FEDERALBNK",7610,40651,48261,78687.999,8148.231,86836.23,33821,207.2
"BHARTIARTL",8661,57749,66410,80090.76137,4910.199735,85000.961105,139462,1941
"AUROPHARMA",12420,65386,77806,76434.05484,8482.012055,84916.066895,47679,1118.9
"M&M",11001,47797,58798,76086.23228,5016.42898,81102.66126,146272,3436
"LAURUSLABS",5150,15470,20620,76024.15096,4786.42344,80810.5744,23270,864.45
"LUPIN",8140,64306,72446,68333.813615,9928.6571775,78262.4707925,39949,1955
"MARUTI",8693,99718,108411,69406.628875,6983.630065,76390.25894,140640,15948
"HINDALCO",6302,27194,33496,68806.46906,4351.79444,73158.2635,68521,774.5
"INDIGO",7773,33116,40889,66909.34833,3982.12947,70891.4778,75374,5720.5
"IDEA",9576,23455,33031,62420.9115225,8278.334565,70699.2460875,135776,9.05
"WIPRO",8556,24937,33493,62917.4922,3547.0221,66464.5143,70578,246.4
"PGEL",13835,92427,106262,53054.49646,10182.76476,63237.26122,27221,556.55
"NMDC",5021,26961,31982,53300.3814,5839.34265,59139.72405,34865,78.82
"HEROMOTOCO",6672,30480,37152,55365.29226,3234.362115,58599.654375,57059,5509
"PRESTIGE",7071,41184,48255,50524.487235,6495.06033,57019.547565,16615,1584.4
"KAYNES",6823,53343,60166,48965.14342,8013.42781,56978.57123,36449,7100
"ITC",8160,30434,38594,52525.03232,2160.3808,54685.41312,127031,399.3
"INDUSINDBK",9632,25471,35103,50780.22607,3116.34015,53896.56622,109246,749.55
"TECHM",5601,16404,22005,49102.12482,3075.2838,52177.40862,42366,1463.1
"JSWSTEEL",5903,32125,38028,46724.277735,4609.982025,51334.25976,81652,1172
"TATAELXSI",7850,63400,71250,43342.27277,7268.24371,50610.51648,50216,5580
"TRENT",9577,79727,89304,44686.72343,5828.71572,50515.43915,193484,4663.1
"EICHERMOT",3885,24134,28019,46974.38123,3390.78362,50365.16485,38541,6880
"BANKBARODA",5761,21446,27207,44557.99452,3068.69355,47626.68807,69142,264.5
"COFORGE",6284,29853,36137,40666.9162125,5461.500225,46128.4164375,54100,1723.1
"POLICYBZR",7172,17029,24201,44024.9796,1984.34733,46009.32693,26249,1734
"CANBK",4775,20151,24926,40876.427925,3907.23885,44783.666775,67771,126.24
"DRREDDY",5137,27991,33128,40491.1838125,3712.8059375,44203.98975,33782,1246
"PNB",4474,19341,23815,41048.18,3140.5232,44188.7032,57546,114.23
"BAJFINANCE",5269,25788,31057,40591.218675,3259.23765,43850.456325,161901,1022.5
"IDFCFIRSTB",5814,25625,31439,39637.9488575,3716.0844,43354.0332575,66779,73.28
"IOC",4997,27845,32842,38135.4523875,3872.260275,42007.7126625,33524,155.1
"HDFCLIFE",4799,14058,18857,39749.49539,1741.73362,41491.22901,39921,753.7
"HINDPETRO",3961,19704,23665,37043.7642225,3907.5495525,40951.313775,41634,457.1
"ANGELONE",6104,28756,34860,34589.14465,5172.01565,39761.1603,30980,2265
"JIOFIN",5003,25979,30982,36254.446635,2833.99331,39088.439945,96084,307.15
"TITAN",5627,51728,57355,35078.5621375,3726.25288,38804.8150175,109344,3544
"NAUKRI",7189,21922,29111,36565.5695625,2007.799575,38573.3691375,35358,1344.8
"ADANIENT",4210,37098,41308,32305.66893,6190.76052,38496.42945,90216,2547
"GMRAIRPORT",5540,19739,25279,34857.778725,2330.0203725,37187.7990975,47063,90.64
"LTIM",4256,16299,20555,34490.5377,2443.636575,36934.174275,27071,5445.5
"AMBER",3977,21967,25944,32219.64816,3630.93855,35850.58671,15200,8250
"JINDALSTEL",5156,19934,25090,33453.376125,2257.9718125,35711.3479375,38711,1036
"DIXON",3616,31673,35289,30986.392505,4428.262,35414.654505,64617,17083
"DLF",5525,17644,23169,33373.15476,2003.72634,35376.8811,84413,729
"CDSL",3951,24057,28008,29268.1078225,3794.5207325,33062.628555,37207,1558
"VOLTAS",5757,24016,29773,29767.485075,2561.52465,32329.009725,46077,1378
"BAJAJ-AUTO",4450,29893,34343,29417.3134725,2798.1987375,32215.51221,75719,8812
"CHOLAFIN",3025,7999,11024,30433.301625,1363.387625,31796.68925,31904,1620.2
"OFSS",4087,17830,21917,28694.8762125,2764.53657,31459.4127825,24307,9299.5
"ZYDUSLIFE",3215,13644,16859,29094.75252,2167.10649,31261.85901,15060,991.9
"CONCOR",4336,17049,21385,29188.037875,2053.08775,31241.125625,34415,537.75
"UNOMINDA",4138,16678,20816,29015.37826,2101.224565,31116.602825,14616,1263.9
"NYKAA",3305,22554,25859,26974.43,3983.641875,30958.071875,29112,263.98
"IIFL",3481,10842,14323,28595.072055,2209.772895,30804.84495,13832,494.65
"GODREJPROP",5107,15473,20580,28662.3245425,2022.897745,30685.2222875,52861,2034
"TATAPOWER",5009,26365,31374,28169.415205,2079.394975,30248.81018,75842,388
"HINDUNILVR",3770,15592,19362,28498.45776,1444.0326,29942.49036,71097,2522.4
"SUNPHARMA",4631,42536,47167,26841.15889,3060.041005,29901.199895,69114,1654.6
"CGPOWER",4263,16069,20332,27566.251145,2292.717835,29858.96898,31837,761.8
"PERSISTENT",5179,15348,20527,27703.94456,1906.04755,29609.99211,46680,5333
"INDUSTOWER",4639,12005,16644,28110.02275,1447.06057,29557.08332,70276,356.2
"NTPC",5450,35156,40606,27376.10475,2010.35805,29386.4628,101782,335.8
"HAVELLS",3702,9044,12746,27670.98175,1106.5206,28777.50235,29761,1486
"LTF",2335,6893,9228,27090.526563000003,1564.0621828,28654.5887458,22157,260.19
"ONGC",4838,26004,30842,26591.3235,1490.535,28081.8585,77001,243.36
"MOTHERSON",4183,12179,16362,26496.08313,1455.31755,27951.40068,40842,103.31
