"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"DIVISLAB",3969,32383,36352,24305.40331,2524.60411,26830.00742,44988,6084.5
"BOSCHLTD",2503,16492,18995,25025.46207,1488.6360775,26514.0981475,23079,39950
"ITC",3768,26540,30308,25012.68112,1392.38528,26405.0664,106394,413.65
"COFORGE",3594,16546,20140,23959.131,2042.9242125,26002.0552125,44863,1783.4
"KEI",3094,21085,24179,22448.83018,2973.3110925,25422.1412725,11164,4194
"POWERGRID",4364,19339,23703,24026.88244,1230.99613,25257.87857,52326,288.2
"LODHA",4325,14166,18491,23422.99959,1639.06758,25062.06717,31614,1200
"TATAELXSI",4250,14370,18620,24068.64736,957.04313,25025.69049,40868,5717
"CYIENT",3929,38083,42012,21060.5231425,3866.3874775,24926.91062,15494,1280
"CUMMINSIND",2815,12819,15634,22946.98876,1466.02346,24413.01222,25751,4111.6
"DMART",3243,16466,19709,22793.41815,1530.10353,24323.52168,60469,4688.1
"CGPOWER",3212,22736,25948,21651.433495,2495.365655,24146.79915,39840,790.95
"ASHOKLEY",3305,17477,20782,22203.5935,1847.306,24050.8995,51961,134.6
"DRREDDY",2796,12613,15409,22760.17425,1103.931125,23864.105375,47949,1311.1
"VOLTAS",3942,29850,33792,20977.3066875,2713.39665,23690.7033375,45866,1417
"APOLLOHOSP",2168,16940,19108,21290.042275,1785.1050125,23075.1472875,35380,7861.5
"AUROPHARMA",3598,13054,16652,21765.9222,1272.896515,23038.818715,51008,1090
"DELHIVERY",2112,12687,14799,20979.65602,2034.1841275,23013.8401475,13021,477
"HDFCAMC",2456,12316,14772,21432.38646,1493.1771,22925.56356,24217,5780
"SOLARINDS",1876,18075,19951,20593.8029025,2304.07275,22897.8756525,20264,14619
"VBL",4447,19656,24103,21342.3625275,1221.021205,22563.3837325,59713,464.35
"ASTRAL",3321,13261,16582,20827.82013,1492.5117275,22320.3318575,30407,1474.7
"RECLTD",4304,16358,20662,20913.73371,1132.4505375,22046.1842475,97776,380.75
"TITAGARH",2871,19568,22439,19561.046505,2410.258875,21971.30538,18323,940
"FEDERALBNK",2126,8224,10350,20949.897,989.8935,21939.7905,32509,196.83
"PFC",3888,18412,22300,20444.68764,1472.71696,21917.4046,70901,403
"LTIM",2542,12223,14765,20448.124335,1361.26191,21809.386245,25823,5370
"HDFCLIFE",2416,13530,15946,20598.64224,1089.54989,21688.19213,44267,773.05
"HINDZINC",3488,15460,18948,19823.40227,1575.454125,21398.856395,44176,461.5
"TATACONSUM",3390,11169,14559,20469.803805,702.968255,21172.77206,40911,1095.8
"ZYDUSLIFE",2203,4449,6652,20645.15418,493.78959,21138.94377,20031,1033.1
"POLICYBZR",3106,9012,12118,19928.426105,1074.763865,21003.18997,29920,1824.3
"UNITDSPR",3734,14804,18538,19861.32464,1085.01104,20946.33568,49272,1330.8
"MANAPPURAM",2066,14518,16584,18333.9648,2064.753,20398.7178,18296,297.05
"TIINDIA",2518,24465,26983,17124.50998,3181.31264,20305.82262,17735,3382.5
"NHPC",3097,22251,25348,17512,2712.0192,20224.0192,17848,88.48
"PAGEIND",2761,19383,22144,18705.622095,1144.376391,19849.998486,21192,45460
"ABB",2618,23686,26304,17564.8091375,2271.80625,19836.6153875,38135,5354.1
"GODREJCP",3094,10342,13436,19128.32455,622.0771,19750.40165,32138,1231.8
"NMDC",1735,9512,11247,17754.91515,1451.28915,19206.2043,38379,75.53
"PRESTIGE",2372,12644,15016,17345.79027,1763.43192,19109.22219,16469,1624.9
"LUPIN",2007,10840,12847,17514.94632,1190.98158,18705.9279,36890,2053
"JINDALSTEL",2601,13815,16416,17105.207125,1176.946875,18282.154,33637,1050.85
"JUBLFOOD",2221,6779,9000,17627.335875,639.2325,18266.568375,27749,634.8
"MFSL",1411,2738,4149,17782.59856,285.95792,18068.55648,10742,1566
"NAUKRI",3426,7229,10655,17506.94775,542.6234625,18049.5712125,45885,1356
"NYKAA",2262,6584,8846,17157.03625,876.7853125,18033.8215625,29671,243.17
"IIFL",2232,9134,11366,16584.056115,1373.889495,17957.94561,12957,447.05
"NBCC",2368,6134,8502,16881.01155,965.82915,17846.8407,14925,109.65
"SUNPHARMA",2876,24140,27016,16238.749975,1308.046075,17546.79605,75686,1611
"SUPREMEIND",1984,11827,13811,15881.0764,1434.29692,17315.37332,12632,4591
"SHREECEM",2040,20303,22343,15194.46407,1801.9016575,16996.3657275,15699,29595
