Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying
NIFTY,139218,34894707,35033925,2603074.758,2796471.138,5399545.896,6702532,24972.7
BANKNIFTY,65006,6738206,6803212,1088539.144,597379.2888,1685918.432,2193346,55611.45
HDFCBANK,57389,121907,179296,611464.6008,10158.22775,621622.8286,320059,1940.3
ICICIBANK,41669,100419,142088,423920.3566,7435.0668,431355.4234,226403,1453.6
INDIGO,51866,148479,200345,413644.8246,12301.28753,425946.1121,130575,5312
RELIANCE,54257,258031,312288,387376.155,12553.16105,399929.3161,476550,1430.6
HAL,29766,309269,339035,227697.3677,33713.77433,261411.1421,186391,5043.9
BAJFINANCE,21444,70841,92285,246080.7064,6646.313045,252727.0195,162454,9254.5
INFY,39327,74062,113389,245684.222,4907.17068,250591.3927,257112,1574.3
M&M,39982,69397,109379,213923.3348,3786.491923,217709.8267,209768,3066
BHARTIARTL,24271,61617,85888,213281.5604,3204.914633,216486.475,190304,1853.7
SBIN,32708,126915,159623,195840.4019,6896.885325,202737.2872,294943,799.25
LT,33974,61295,95269,184634.3059,2875.734405,187510.0403,238531,3652.8
BEL,16038,57893,73931,177473.7257,9214.54932,186688.275,122675,386.15
ETERNAL,39331,75145,114476,176550.1549,5122.373263,181672.5282,215640,225.28
DIXON,22450,128553,151003,170276.4193,10137.92028,180414.3396,133291,15142
AXISBANK,23009,74335,97344,173704.5606,4675.180438,178379.741,174679,1208.6
KOTAKBANK,19709,36343,56052,164380.9604,2364.27164,166745.2321,127641,2090.3
ITC,22821,85202,108023,158251.6443,4431.75744,162683.4018,138311,442.55
TATAMOTORS,38267,137908,176175,152738.7046,5501.903795,158240.6084,330977,723.75
TCS,24461,97747,122208,150001.183,4636.62717,154637.8102,208900,3529.7
BSE,15641,90103,105744,141875.4416,10378.19385,152253.6354,122570,2422
ADANIENT,17739,33848,51587,135713.1557,2881.73388,138594.8896,122638,2563.2
MIDCPNIFTY,6709,401886,408595,101919.2156,36311.608,138230.8236,181901,12643.6
INDUSINDBK,30678,149378,180056,125318.5563,7887.96455,133206.5208,188375,821.75
JIOFIN,26340,26220,52560,122793.462,1371.949565,124165.4116,121940,283.35
MARUTI,19203,115597,134800,118896.497,3524.23036,122420.7274,175668,12440
ULTRACEMCO,19422,111314,130736,111710.1263,4309.09988,116019.2262,130455,11470
ASIANPAINT,24338,53416,77754,113618.6637,2265.11365,115883.7774,140176,2344.2
