"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"IRFC",2097,6865,8962,11269.61705,784.093975,12053.711025,20142,126.48
"JSWENERGY",1979,7647,9626,10839.4725,837.8464,11677.3189,50061,546
"KALYANKJIL",1809,8847,10656,10383.803295,1104.9348675,11488.7381625,45604,484.75
"ICICIPRULI",1861,4742,6603,10401.685865,441.39705,10843.082915,18242,600
"KPITTECH",2162,11009,13171,10048.28076,742.51264,10790.7934,26148,1152.1
"BRITANNIA",1347,5507,6854,9946.3272,440.996525,10387.323725,41642,5870
"NUVAMA",1522,10610,12132,8307.8626125,1221.7360275,9529.59864,11292,7243
"TATATECH",1511,3734,5245,8711.68456,399.40136,9111.08592,19968,714.4
"IGL",1405,6421,7826,8397.831475,683.33925,9081.170725,16928,216
"PAGEIND",1366,4933,6299,8517.042495,271.0543965,8788.0968915,22679,41550
"MANKIND",1489,4865,6354,8318.9978325,405.307305,8724.3051375,12124,2464
"IEX",1495,5163,6658,7903.62225,544.153125,8447.775375,27946,139.8
"ALKEM",1123,2958,4081,7706.115625,256.621225,7962.73685,14950,5460
"PHOENIXLTD",1257,4894,6151,7102.88334,628.58901,7731.47235,15573,1592.2
"TITAGARH",1067,4600,5667,7036.43704,579.4035425,7615.8405825,17363,901
"DALBHARAT",972,1434,2406,7096.10863,210.2074,7306.31603,10133,2228
"PETRONET",1237,3471,4708,6314.61402,249.93054,6564.54456,40835,280.65
"NIFTYNXT50",325,343,668,5611.4661475,85.170325,5696.6364725,1294,68687.25
"APLAPOLLO",892,1804,2696,5460.97706,193.976405,5654.953465,32155,1735
"NCC",903,2489,3392,5182.22961,328.93398,5511.16359,10462,211.2
"OIL",854,1929,2783,5012.6832,184.34598,5197.02918,13741,418.05
"CYIENT",909,4616,5525,4563.8151975,465.24546,5029.0606575,16905,1176
"TIINDIA",723,1621,2344,4602.49306,154.16028,4756.65334,13399,3169.4
"360ONE",826,2151,2977,4521.9244,233.8053,4755.7297,8118,1093.2
"NHPC",810,2140,2950,4533.03296,186.19456,4719.22752,11544,86.92
"TORNTPOWER",940,2048,2988,4395.64335,192.6426375,4588.2859875,17522,1235
"SHREECEM",590,698,1288,4372.919305,67.23151,4440.150815,10920,29445
"RBLBANK",403,311,714,3732.13503,149.842855,3881.977885,34738,292.55
"POWERINDIA",342,534,876,3051.552,89.917095,3141.469095,2313,17635
