"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",82807,358968453,359051260,1539643.3712025,6489714.2050125,8029357.576215,8772433,24579.6
"BANKNIFTY",29431,2115405,2144836,559187.981408,327331.051635,886519.033043,940520,53661
"RELIANCE",46657,370607,417264,322338.3015,39072.8503,361411.1518,474477,1367.5
"HDFCBANK",17516,79260,96776,184018.78264,10594.29932,194613.08196,277113,944.7
"ETERNAL",18505,52764,71269,146067.6849825,9710.95809,155778.6430725,137788,322.85
"M&M",20799,105269,126068,136422.15276,12468.85,148891.00276,122001,3238
"ICICIBANK",14546,42066,56612,143459.77009,4562.92039,148022.69048,192418,1391
"MIDCPNIFTY",4858,211802,216660,86919.76636,47119.14697,134038.91333,84672,12702.65
"BSE",13546,82758,96304,112947.3139125,20405.90655,133353.2204625,75770,2191
"HEROMOTOCO",11735,97997,109732,92886.164595,14992.540545,107878.70514,59575,5320
"SAMMAANCAP",16087,49542,65629,94130.09987,9919.36814,104049.46801,20986,138.5
"TATAMOTORS",14579,106037,120616,80742.68096,10837.56808,91580.24904,164957,684.3
"BEL",7410,34137,41547,79864.57302,6179.322405,86043.895425,64640,377.25
"PAYTM",8266,32832,41098,75205.60662,8849.62492,84055.23154,58532,1259
"INFY",12894,62792,75686,77669.10728,5487.30052,83156.4078,220403,1494
"DABUR",10804,72023,82827,73520.69125,9414.129125,82934.820375,31386,545.6
"BAJAJ-AUTO",10438,94743,105181,71031.049335,11047.71489,82078.764225,58309,9015
"MCX",7393,49235,56628,71455.2042125,10454.9812875,81910.1855,36988,7649.5
"MARUTI",9652,100093,109745,71774.86074,8947.11391,80721.97465,149140,14848
"TCS",13548,80713,94261,74473.639765,5563.48296,80037.122725,247715,3112
"NATIONALUM",9381,38728,48109,69444.4365,6493.29525,75937.73175,27765,201.16
"RBLBANK",8364,16082,24446,71349.174675,3946.269095,75295.44377,33986,270.15
"DIXON",7277,59791,67068,64351.755185,10837.318915,75189.0741,59094,17546
"CGPOWER",9905,54025,63930,62054.63947,9524.197215,71578.836685,34778,740
"HAL",9533,54083,63616,64019.812965,6915.079605,70934.89257,107401,4449
"EICHERMOT",5664,39901,45565,63079.871365,7305.3876525,70385.2590175,40072,6350
"SBIN",10632,62614,73246,64658.7543,4966.16655,69624.92085,212708,803.75
"NMDC",6498,35039,41537,63569.97855,6005.60325,69575.5818,32707,72.9
"AXISBANK",9986,28924,38910,66210.9555625,2925.8426875,69136.79825,199825,1055.3
"KOTAKBANK",8203,32902,41105,64474.7832,3287.7428,67762.526,121070,1944.9
"CDSL",8014,50268,58282,57591.4317625,8134.070715,65725.5024775,36445,1509
"BHARTIARTL",6706,40434,47140,60615.1272925,4433.5645475,65048.69184,120548,1888.7
"ITC",9082,42686,51768,59428.57728,3364.0776,62792.65488,103811,407
"TATASTEEL",6554,36350,42904,57138.169,5254.03175,62392.20075,51204,158.45
"JIOFIN",7641,27976,35617,56554.871815,4085.92996,60640.801775,80196,311.7
"HINDALCO",5325,21622,26947,53921.63546,3996.7151,57918.35056,48477,720.8
