"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",15958,6383631,6399589,298961.274255,295102.65624,594063.930495,5928342,24872.9
"M&M",18947,65057,84004,133169.03192,11254.94356,144423.97548,135735,3521.3
"BANKNIFTY",5758,236382,242140,109970.977949,34154.486491999996,144125.46444100002,968803,54236.9
"BAJFINANCE",10392,36000,46392,72898.5657,5316.567525,78215.133225,154473,940.3
"BRITANNIA",5471,21782,27253,43126.453925,3654.5498625,46781.0037875,45449,6257.5
"ITC",5926,27581,33507,40060.36672,2391.58224,42451.94896,104644,420.45
"HINDUNILVR",4571,28245,32816,37436.72304,3204.60345,40641.32649,90174,2727.1
"MARUTI",4675,28819,33494,35089.238225,2572.016855,37661.25508,159060,14970
"TATAMOTORS",6031,23473,29504,34044.9872,2584.4448,36629.432,170747,702.35
"DABUR",4657,13293,17950,33131.58025,1944.782375,35076.362625,35164,563.1
"EICHERMOT",2781,12374,15155,32038.851775,2357.9546375,34396.8064125,43342,6573.5
"HDFCLIFE",2833,11197,14030,24470.27473,1510.11982,25980.39455,36712,777.15
"RELIANCE",3425,20632,24057,23521.11995,2009.36265,25530.4826,485187,1364.8
"MIDCPNIFTY",1109,24505,25614,20072.054842,4983.040538,25055.09538,90149,12839
"BAJAJFINSV",2054,9392,11446,20727.1153,1592.6315,22319.7468,46532,2014.5
"COLPAL",3644,8718,12362,20280.26169,1072.930815,21353.192505,35510,2465.2
"ICICIBANK",2054,5601,7655,20281.1805,658.83223,20940.01273,198727,1407.6
"HEROMOTOCO",2277,13502,15779,18352.821075,1952.521245,20305.34232,63756,5395
"HDFCBANK",1822,6877,8699,19265.54982,856.37387,20121.92369,279005,957.65
"ULTRACEMCO",2805,13693,16498,18275.695295,1276.386785,19552.08208,54685,12894
"TRENT",3028,9270,12298,16877.24514,1124.11457,18001.35971,87111,5522
"JUBLFOOD",2086,3831,5917,17217.452875,669.87175,17887.324625,23941,655.65
"ASHOKLEY",2579,6552,9131,16606.238,836.234,17442.472,39833,129.05
"BAJAJ-AUTO",2288,13506,15794,15752.361495,1500.1395975,17252.5010925,60189,9155
"AMBUJACEM",2492,4824,7316,15466.084515,577.13019,16043.214705,40327,584.25
"NESTLEIND",2135,6365,8500,13143.51445,732.33455,13875.849,51281,1223.4
"DIXON",1390,7004,8394,12483.57937,1281.39891,13764.97828,61099,17863
"ETERNAL",1550,3396,4946,12252.41338,565.8138525,12818.2272325,142011,324.2
"LICI",1911,5104,7015,11906.77614,542.97166,12449.7478,20864,886.95
"TVSMOTOR",876,3855,4731,10625.631765,842.122015,11467.75378,37516,3454.7
"VBL",2049,5701,7750,10410.335215,648.0996075,11058.4348225,36322,494.95
"MFSL",832,871,1703,10650.208,192.71432,10842.92232,8131,1590.8
"TATASTEEL",1044,8207,9251,9652.14195,1180.38195,10832.5239,69644,166.9
"DMART",1386,5072,6458,10003.52115,724.861365,10728.382515,45178,4839.6
"POLICYBZR",1516,1487,3003,10124.79636,242.590635,10367.386995,25781,1895.5
"AXISBANK",1429,4047,5476,9481.936125,401.3760625,9883.3121875,208335,1055.4
"INFY",1515,4530,6045,8980.36716,353.72712,9334.09428,232950,1476.2
"PAYTM",913,2829,3742,8493.0446175,698.2881,9191.3327175,60965,1272.9
"KOTAKBANK",1080,3888,4968,8531.40616,409.39896,8940.80512,123682,1964.5
"GODREJCP",1343,2706,4049,8581.53795,341.7094,8923.24735,18817,1265.2
"CHOLAFIN",917,1687,2604,8448.1135625,346.67375,8794.7873125,25037,1465
"SBIN",1304,7587,8891,8008.7508,710.66955,8719.42035,216881,813.7
"INDUSTOWER",1458,2941,4399,8149.02684,400.74882,8549.77566,84479,326.35
"TATACONSUM",1324,4168,5492,8095.26729,430.340185,8525.607475,36352,1106.5
"VOLTAS",1450,6026,7476,7681.77405,622.291875,8304.065925,38158,1415.9
"HINDALCO",713,2893,3606,7414.55694,525.8414,7940.39834,51446,741.35
"ICICIGI",1232,2692,3924,7555.91317,323.443965,7879.357135,21493,1854.6
"AMBER",946,1738,2684,7412.68736,410.76731,7823.45467,12960,7742.5
"BSE",790,3940,4730,6669.621975,920.2789875,7589.9009625,75870,2237.2
"INDIGO",809,1776,2585,6996.199725,225.951135,7222.15086,90425,5762.5
"SHRIRAMFIN",1412,1846,3258,6913.80756,205.3508325,7119.1583925,76663,589.55
"MARICO",745,2508,3253,6658.11204,320.86464,6978.97668,26850,745.5
"DLF",1029,2759,3788,6562.6026675,300.856545,6863.4592125,62933,765.25
"BEL",558,2952,3510,6056.57034,457.0716,6513.64194,65905,379.55
"GRASIM",865,2102,2967,6163.258825,266.324425,6429.58325,59350,2839.3
"SBILIFE",841,5593,6434,5789.000925,592.141125,6381.14205,26068,1820
"LT",917,4804,5721,5795.06928,364.05866,6159.12794,111896,3607
"SAMMAANCAP",976,2300,3276,5785.71708,343.12882,6128.8459,22492,136.94
"VEDL",1148,3683,4831,5799.54177,327.89076,6127.43253,96952,437.3
"KAYNES",795,3349,4144,5455.35472,649.26151,6104.61623,20997,6792
"ANGELONE",977,2691,3668,5670.38985,428.5437,6098.93355,33004,2294
"PGEL",1370,3859,5229,5488.36841,526.9327,6015.30111,25131,574.4
"JIOFIN",736,1900,2636,5471.834,269.783525,5741.617525,83362,313.8
"NYKAA",678,3652,4330,5042.03625,615.4440625,5657.4803125,31220,239.8
"LICHSGFIN",953,643,1596,5396.4348,61.613,5458.0478,41512,562.05
"MCX",492,2321,2813,4771.540275,450.2676375,5221.8079125,37851,7709
"MUTHOOTFIN",627,2110,2737,4844.61494,349.7094425,5194.3243825,25530,2808.8
"TATAPOWER",860,3217,4077,4869.928675,309.56601,5179.494685,70189,387.35
"TCS",881,5077,5958,4815.2699525,355.072165,5170.3421175,258052,3106.2
"IDEA",1015,911,1926,4878.71196,232.3008975,5111.0128575,108482,6.73
"KALYANKJIL",791,2083,2874,4735.0162925,321.891485,5056.9077775,32302,506.15
"BHARTIARTL",523,2867,3390,4718.455535,325.1631975,5043.6187325,122924,1893.3
"BHEL",833,1879,2712,4784.0401875,249.4807875,5033.520975,37048,217.58
"ICICIPRULI",821,2519,3340,4707.01716,277.3039925,4984.3211525,15564,615.9
"HAL",674,4133,4807,4531.7901,448.61091,4980.40101,108736,4449
"WIPRO",617,1594,2211,4592.8812,208.4142,4801.2954,60148,248.69
"HINDZINC",851,2037,2888,4588.630235,187.176325,4775.80656,34613,437.05
"SHREECEM",604,791,1395,4602.59233,89.6318325,4692.2241625,12007,30150
"NATIONALUM",575,1543,2118,4408.85775,245.925,4654.78275,29613,204.91
