,ret,bin
2025-04-11,0.023158374079073285,1
2025-04-15,0.04216357177763497,1
2025-04-17,0.02534540139250585,1
2025-04-21,0.0002134041655044161,1
2025-04-22,0.007453591036347351,1
2025-04-23,0.0027586874609011325,1
2025-04-24,-0.03879345959674807,-1
2025-04-25,0.02394998376806745,1
2025-04-29,0.03803380755001595,1
2025-05-02,0.023944687230194273,1
2025-05-05,-0.053188807134380456,-1
2025-05-06,0.029487623058799928,1
2025-05-07,0.010975121023582224,1
2025-05-08,0.008006598309243884,1
2025-05-09,0.05441578164839034,1
2025-05-12,-0.032776643438413355,-1
2025-05-13,0.04722643095034118,1
2025-05-14,-0.042472336117009624,-1
2025-05-15,-0.058988407496687656,-1
2025-05-16,-0.0771484044547186,-1
2025-05-19,-0.040583135367978085,-1
2025-05-20,0.050245318389847915,1
2025-05-21,0.04883243756964073,1
2025-05-23,0.01536516038521829,1
2025-05-26,0.04805993716812473,1
2025-05-28,0.16807919487396572,1
2025-05-29,0.04983143638007159,1
2025-05-30,0.024734067469447396,1
2025-06-03,0.04787549444260164,1
2025-06-04,0.013839178022878817,1
2025-06-05,-0.0291549571198898,-1
2025-06-06,-0.037080852357271654,-1
2025-06-09,-0.028889574345103974,-1
2025-06-12,0.012243607333803253,1
2025-06-13,0.017062790945705508,1
2025-06-16,-0.010826872074883198,-1
2025-06-17,0.029888774073205227,1
2025-06-19,0.01567638397444071,1
2025-06-20,0.046776894797484925,1
2025-06-24,0.02481666362385937,1
2025-06-25,0.024414771234788413,1
2025-06-26,-0.025001904615427062,-1
2025-06-27,-0.0032841419067725086,-1
2025-06-30,-0.0124928558366465,-1
2025-07-01,0.009003854802682065,1
2025-07-04,0.007459878548321974,1
2025-07-07,0.018565146150163248,1
2025-07-08,-0.023908872079696497,-1
2025-07-10,0.029484496176684027,1
2025-07-14,0.1572431146831732,1
2025-07-15,0.019703508198458453,1
2025-07-16,0.1427481639726953,1
2025-07-17,-0.0094357086350505,-1
2025-07-18,0.05637635813302411,1
2025-07-21,0.131026772125713,1
2025-07-22,0.03585723961877685,1
2025-07-23,0.01059431331344074,1
2025-07-24,-0.025227507745413047,-1
2025-07-25,-0.01867650304615709,-1
2025-07-28,-0.008298040658295425,-1
2025-07-30,0.005931744012493745,1
2025-07-31,-0.018356056272164967,-1
2025-08-01,0.015258388503691656,1
2025-08-05,0.04219758483386715,1
2025-08-06,0.05370583056786504,1
2025-08-07,0.043579101562551736,1
2025-08-11,0.040077550553048846,1
2025-08-12,0.02942138012282891,1
2025-08-13,0.008163879440280963,1
2025-08-14,0.0021985308430236827,1
2025-08-18,0.00952683410018107,1
2025-08-19,-0.011043764740048978,-1
2025-08-20,-0.02281421518295257,-1
2025-08-21,-0.012119310268615346,-1
2025-08-22,-0.0037606148042841347,-1
