,ret,bin
2015-06-03,-0.04179216802200003,-1
2015-06-11,0.02139832084765425,1
2015-06-19,0.02239951477914892,1
2015-06-23,0.03976975312501696,1
2015-07-02,-0.003727236692560254,-1
2015-07-16,-0.035413020141163876,-1
2015-07-27,-0.027412670376493087,-1
2015-07-31,0.017112563240145873,1
2015-08-14,-0.0282150540649736,-1
2015-08-21,-0.058720915246738614,-1
2015-08-24,0.004323751096642958,1
2015-08-27,-0.05635010030264043,-1
2015-09-01,-0.012138487797314301,-1
2015-09-07,0.032881092569762016,1
2015-09-09,0.035765121303763525,1
2015-09-18,-0.02479477310327416,-1
2015-09-28,-0.000390031689686432,-1
2015-10-23,0.009395679454242245,1
2015-10-30,-0.006616793758265849,-1
2015-11-05,-0.005764009488593902,-1
2015-11-16,-0.009277006144690625,-1
2015-11-27,-0.03427548742551878,-1
2015-12-03,-0.009188172997368071,-1
2015-12-16,0.019438390729009658,1
2015-12-31,-0.020484554092563667,-1
2016-01-06,-0.016983942414793063,-1
2016-01-15,-0.012137300366334647,-1
2016-02-01,-0.015340983109196626,-1
2016-02-05,-0.09111260377527286,-1
2016-02-10,-0.05754096762874217,-1
2016-02-11,-0.011050292959825625,-1
2016-02-25,0.13256989289066845,1
2016-02-29,0.012769754866361227,1
2016-03-02,0.005485256013713746,1
2016-03-11,0.025130503023470308,1
2016-03-21,0.02553878325023362,1
2016-03-30,-0.02317732740333689,-1
2016-04-07,0.022415068566370433,1
2016-04-13,-0.017188035785633993,-1
2016-04-26,0.0029964270339284393,1
2016-05-11,-0.038821702622674814,-1
2016-05-13,-0.007200966886843574,-1
2016-05-26,0.022048902546542237,1
2016-06-03,-0.01741835723336227,-1
2016-06-21,0.02222952638224185,1
2016-06-30,-0.02285969220620243,-1
2016-07-05,0.027215082868214502,1
2016-07-12,-0.004071742310910342,-1
2016-07-26,0.030131659591541293,1
2016-08-05,-0.014786542739894437,-1
2016-08-18,-0.009433955626448332,-1
2016-08-31,0.007931531924268098,1
2016-09-20,0.0030274718822753677,1
2016-09-29,0.019997501393718142,1
2016-10-26,-0.007332140390460373,-1
2016-11-15,-0.03400677600462931,-1
2016-11-21,0.004523628467342,1
2016-11-24,-0.016574676486261986,-1
2016-12-02,0.014926410395598166,1
2016-12-08,-0.025112000148136304,-1
2016-12-15,-0.017937221628035238,-1
2017-01-04,0.030549141378952482,1
2017-01-11,0.00597218005826905,1
2017-01-25,-0.037600642402519924,-1
2017-02-02,-0.004802776373743378,-1
2017-02-13,-0.0008195364500186431,-1
2017-02-23,0.009865014771901937,1
2017-03-01,-0.01777588685798659,-1
2017-03-14,0.0516653215115932,1
2017-03-21,-0.00011621647949155989,-1
2017-04-05,-0.002528348040329864,-1
2017-04-25,0.011469915040716483,1
2017-05-10,0.049210334072236295,1
2017-05-12,-0.014036626435696586,-1
2017-05-18,0.027257794865673368,1
2017-05-26,0.002020668515990698,1
2017-06-09,0.002487125511968946,1
2017-06-19,-0.012961459567145783,-1
2017-06-27,-0.027083874496365956,-1
2017-06-29,0.020720226027313604,1
2017-07-14,0.01739671899457096,1
2017-07-28,-0.014614440204634205,-1
2017-08-03,-0.004014508594348931,-1
2017-08-21,0.006652507535936714,1
2017-09-01,-0.014558513475626644,-1
2017-09-08,-0.0010421078985323184,-1
2017-09-19,-0.03369262894755487,-1
2017-09-25,-0.019909979294667424,-1
2017-09-28,0.024073372087593636,1
2017-10-04,0.025450667951882,1
2017-10-10,0.025292605396112444,1
2017-10-13,-0.01921764620750943,-1
2017-10-23,-0.04804287761245152,-1
2017-10-25,0.013655945043903328,1
2017-11-09,0.017754967946235656,1
2017-11-16,0.01867420684582788,1
2017-11-20,-0.038681690228440924,-1
2017-11-30,-0.0006495976207249177,-1
2017-12-14,-0.008197912109384808,-1
2017-12-28,0.0013435782291781884,1
2018-01-12,0.009674083346129736,1
2018-01-18,0.013425756262315014,1
2018-01-22,0.012987765829401532,1
2018-01-29,-0.02614128001693483,-1
2018-01-30,-0.0019303514420185852,-1
2018-02-01,-0.031223457065549853,-1
2018-02-02,-0.021824143645962746,-1
2018-02-05,-0.02442918491384638,-1
2018-02-06,-0.001741413803217795,-1
2018-02-19,0.03488919127871437,1
2018-02-22,0.030442832049764945,1
2018-02-26,-0.01321088878547294,-1
2018-03-08,0.016908287511554487,1
2018-03-16,-0.02069304830227403,-1
2018-04-02,-0.016643068949845463,-1
2018-04-04,0.03709550001762918,1
2018-04-05,0.014575609377536436,1
2018-04-13,0.0015205162685125728,1
2018-04-26,0.002572401445579686,1
2018-04-30,0.01853695443807668,1
2018-05-02,0.008314434011104543,1
2018-05-03,0.01426774684777854,1
2018-05-11,0.01305931228451529,1
2018-05-18,0.001120191108599622,1
2018-05-22,-0.005820871269908712,-1
2018-05-25,0.0010031659410318916,1
2018-05-31,-0.02296568757328532,-1
2018-06-04,0.019441162113866373,1
2018-06-12,-0.005943050719943388,-1
2018-06-18,0.007070681185633365,1
2018-06-25,0.008358505235678049,1
2018-07-03,0.00875731633239818,1
2018-07-09,-0.02672153998306026,-1
2018-07-13,-0.0026702778646685577,-1
2018-07-19,-0.010464668446976133,-1
2018-07-24,-0.0008764169074908512,-1
2018-08-02,0.005428904820100389,1
2018-08-03,-0.020389363317528497,-1
2018-08-06,-0.004326451508532836,-1
2018-08-16,0.023566643904786355,1
2018-08-20,0.00011772408682841906,1
2018-08-23,0.021800158666572367,1
2018-08-27,-0.004549380258034086,-1
2018-09-04,-0.040712497441740436,-1
2018-09-10,-0.013855342299375129,-1
2018-09-12,-0.0664011857827621,-1
2018-09-18,-0.028881796209659805,-1
2018-09-21,-0.026690382962921477,-1
2018-09-24,0.030164609272956833,1
2018-09-25,-0.03456283264849669,-1
2018-09-27,-0.0007441774282417324,-1
2018-10-03,-0.021625154909139743,-1
2018-10-04,-0.020753929227795953,-1
2018-10-08,0.06470151870629581,1
2018-10-10,-0.019512204050932347,-1
2018-10-12,-0.002698859998588876,-1
2018-10-19,-0.02043458540705867,-1
2018-10-22,-0.004639197662972716,-1
2018-10-26,-0.017693775870125883,-1
2018-10-30,0.008364534643410915,1
2018-11-02,0.018090262669341994,1
2018-11-12,0.012915123273861795,1
2018-11-14,0.03602088929902081,1
2018-11-15,0.007141504214481786,1
2018-11-29,-0.0269590064576003,-1
2018-12-06,0.04820998244710717,1
2018-12-07,-0.06353302823129214,-1
2018-12-10,0.032377809984185824,1
2018-12-12,-0.009295497665049779,-1
2018-12-13,-0.030647014819283003,-1
2018-12-17,0.013129480451738784,1
2018-12-26,-0.001241883784439679,-1
2019-01-08,-0.0072829192525638575,-1
2019-01-14,0.04609023393295275,1
2019-01-18,0.016327991324925684,1
2019-01-21,0.007021237671054559,1
2019-01-22,-0.02423074037853179,-1
2019-01-24,-0.012896883011692784,-1
2019-01-30,0.02740959583428304,1
2019-01-31,0.03647233608287559,1
2019-02-05,0.00027361696543137803,1
2019-02-18,-0.028268509204638526,-1
2019-02-22,0.002059994163218004,1
2019-02-27,-0.00250802329733979,-1
2019-03-05,0.007336086130993458,1
2019-03-12,-0.0016621367839672052,-1
2019-03-15,0.017054666602874358,1
2019-03-20,-0.00902636887416286,-1
2019-03-25,0.02621009433174959,1
2019-03-26,-0.0016381452306516442,-1
2019-04-10,0.017742052435914424,1
2019-04-15,-0.013465888718793062,-1
2019-04-22,0.03659632365373966,1
2019-04-26,0.02258473260526528,1
2019-05-02,-0.0029508895874965635,-1
2019-05-09,0.0844821229154209,1
2019-05-16,0.033152886462192166,1
2019-05-17,0.029143716884258763,1
2019-05-20,-0.0018634021459170702,-1
2019-05-24,0.012932529144756622,1
2019-05-30,-0.021330582822368216,-1
2019-06-07,-0.018719426898446967,-1
2019-06-12,-0.015605096014738806,-1
2019-06-14,-0.0022051504768431096,-1
2019-06-19,-0.011083122560449188,-1
2019-06-21,-0.0057726576731275125,-1
2019-07-04,0.012952270278709044,1
2019-07-08,0.040756019321491754,1
2019-07-15,0.017571853728043596,1
2019-07-17,0.0023784911823803156,1
2019-07-19,-0.029755182199783015,-1
2019-07-22,0.033143092300708776,1
2019-07-23,0.0012048862225992885,1
2019-07-26,-0.008698088804682702,-1
2019-08-01,-0.023866869274853597,-1
2019-08-05,0.029210296592651508,1
2019-08-06,-0.006059389035906526,-1
2019-08-08,0.01953086362217249,1
2019-08-09,-0.013510739136430638,-1
2019-08-14,0.0030500621551974305,1
2019-08-22,0.023372226442287758,1
2019-08-26,-0.06511109844919583,-1
2019-08-28,-0.0283760173653268,-1
2019-08-29,-0.025192072516415975,-1
2019-09-03,0.019267519149347656,1
2019-09-06,0.023169452077773434,1
2019-09-09,0.008801669426203418,1
2019-09-13,-0.02422079877254013,-1
2019-09-17,0.06252138330578427,1
2019-09-20,0.06612079005839644,1
2019-09-23,-0.023771744681521656,-1
2019-09-25,0.029095881547203106,1
2019-09-26,0.01081853629972418,1
2019-10-03,-0.037196334684565735,-1
2019-10-04,0.03147488100340645,1
2019-10-09,-0.017086727016359493,-1
2019-10-10,0.01246216656045429,1
2019-10-15,-0.006839418306522127,-1
2019-10-22,-0.024710702458675238,-1
2019-10-25,-0.011047422620025005,-1
2019-11-05,0.011036698248864774,1
2019-11-07,0.013762574164952524,1
2019-11-11,-0.0068648910000913554,-1
2019-11-15,-0.01177015171438589,-1
2019-11-20,-0.01897532814636338,-1
2019-11-22,0.0220190682312551,1
2019-11-25,0.028466361861088973,1
2019-12-02,0.05058175454594105,1
2019-12-06,0.01101952086032676,1
2019-12-11,0.010880023974588315,1
2019-12-12,-0.00623693026929828,-1
2019-12-13,0.007177597955275505,1
2019-12-18,-0.019688532360077837,-1
2019-12-20,0.0009158160292244144,1
2019-12-27,-0.0169079456935618,-1
2020-01-03,-0.002745662946081584,-1
2020-01-10,-0.03965096090043352,-1
2020-01-16,-0.04916115299073309,-1
2020-01-20,0.0002781916303224996,1
