SOM_cluster,symbol
"(np.int64(0), np.int64(0))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, BHARTIARTL, ETERNAL, HDFCBANK, HINDALCO, ICICIBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TATASTEEL, TCS, TECHM, WIPRO"
"(np.int64(0), np.int64(1))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, BHARTIARTL, ETERNAL, HDFCBANK, HINDALCO, ICICIBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TATASTEEL, TCS, TECHM, WIPRO"
"(np.int64(0), np.int64(2))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, HDFCBANK, INFY, LT, NIFTY, RELIANCE, TCS, TECHM"
"(np.int64(0), np.int64(3))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, NIFTY"
"(np.int64(1), np.int64(0))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, BHARTIARTL, ETERNAL, HDFCBANK, HINDALCO, ICICIBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TATASTEEL, TCS, TECHM, WIPRO"
"(np.int64(1), np.int64(1))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, BHARTIARTL, ETERNAL, HDFCBANK, HINDALCO, ICICIBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TATASTEEL, TCS, TECHM, WIPRO"
"(np.int64(1), np.int64(2))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, BHARTIARTL, ETERNAL, HDFCBANK, HINDALCO, ICICIBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TATASTEEL, TCS, TECHM, WIPRO"
"(np.int64(1), np.int64(3))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, LT, NIFTY, TCS"
"(np.int64(2), np.int64(0))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, HDFCBANK, LT, NIFTY, TCS"
"(np.int64(2), np.int64(1))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, BHARTIARTL, ETERNAL, HDFCBANK, HINDALCO, ICICIBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TATASTEEL, TCS, TECHM, WIPRO"
"(np.int64(2), np.int64(2))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, HDFCBANK, INFY, LT, NIFTY, RELIANCE, SBIN, TCS, TECHM"
"(np.int64(2), np.int64(3))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, NIFTY"
"(np.int64(3), np.int64(0))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, NIFTY"
"(np.int64(3), np.int64(1))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, LT, NIFTY, TCS"
"(np.int64(3), np.int64(2))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, LT, NIFTY, TCS"
"(np.int64(3), np.int64(3))","APOLLOHOSP, BAJFINANCE, BANKNIFTY, LT, NIFTY"
