strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
560,,,,,,HINDALCO25SEP560PE,23729154,0.15,,
580,,,,,,HINDALCO25SEP580PE,23729922,0.3,,
600,HINDALCO25OCT600CE,23316482.0,0.0,,,HINDALCO25OCT600PE,23316738,0.0,,
610,,,,,,HINDALCO25SEP610PE,23257858,0.55,,
620,HINDALCO25OCT620CE,23316994.0,0.0,,,HINDALCO25OCT620PE,23317250,0.0,,
630,HINDALCO25SEP630CE,23258114.0,78.8,,,HINDALCO25SEP630PE,23258370,0.8,,
640,HINDALCO25NOV640CE,22370050.0,0.0,,,HINDALCO25NOV640PE,22370306,0.0,,
650,HINDALCO25OCT650CE,22318850.0,0.0,,,HINDALCO25OCT650PE,22319106,0.0,,
660,HINDALCO25NOV660CE,22370562.0,0.0,,,HINDALCO25NOV660PE,22370818,0.0,,
670,HINDALCO25OCT670CE,22319362.0,0.0,,,HINDALCO25OCT670PE,22319618,0.0,,
680,HINDALCO25NOV680CE,22371074.0,51.0,,,HINDALCO25NOV680PE,22371330,0.0,,
690,HINDALCO25OCT690CE,22319874.0,0.0,,,HINDALCO25OCT690PE,22320130,0.0,,
700,HINDALCO25NOV700CE,22371586.0,0.0,,,HINDALCO25NOV700PE,22371842,0.0,,
710,HINDALCO25OCT710CE,22320386.0,0.0,,,HINDALCO25OCT710PE,22320898,0.0,,
720,HINDALCO25NOV720CE,22372098.0,0.0,,,HINDALCO25NOV720PE,22372354,0.0,,
730,HINDALCO25OCT730CE,22321154.0,0.0,,,HINDALCO25OCT730PE,22321410,0.0,,
740,HINDALCO25NOV740CE,22372610.0,0.0,,,HINDALCO25NOV740PE,22372866,0.0,,
750,HINDALCO25OCT750CE,22325506.0,16.0,,,HINDALCO25OCT750PE,22325762,0.0,,
760,HINDALCO25NOV760CE,22373122.0,0.0,,,HINDALCO25NOV760PE,22373378,0.0,,
770,HINDALCO25SEP770CE,23261698.0,3.9,,,HINDALCO25SEP770PE,23261954,50.15,,
780,HINDALCO25OCT780CE,23325954.0,5.75,,,HINDALCO25OCT780PE,23327746,0.0,,
790,HINDALCO25SEP790CE,23262210.0,1.85,,,HINDALCO25SEP790PE,23262466,79.2,,
800,HINDALCO25NOV800CE,22374146.0,0.0,,,HINDALCO25NOV800PE,22374402,0.0,,
820,HINDALCO25SEP820CE,23765506.0,0.8,,,HINDALCO25SEP820PE,23765762,100.5,,
