strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1600,BHARTIARTL25OCT1600CE,17895938,0.0,,,BHARTIARTL25OCT1600PE,17896194,0.0,,
1640,BHARTIARTL25OCT1640CE,17897986,0.0,,,BHARTIARTL25OCT1640PE,17898242,0.0,,
1680,BHARTIARTL25NOV1680CE,16791554,0.0,,,BHARTIARTL25NOV1680PE,16791810,0.0,,
1700,BHARTIARTL25OCT1700CE,16744194,0.0,,,BHARTIARTL25OCT1700PE,16744450,0.0,,
1720,BHARTIARTL25NOV1720CE,16792066,0.0,,,BHARTIARTL25NOV1720PE,16792322,0.0,,
1740,BHARTIARTL25OCT1740CE,16744706,0.0,,,BHARTIARTL25OCT1740PE,16744962,0.0,,
1760,BHARTIARTL25NOV1760CE,16792578,0.0,,,BHARTIARTL25NOV1760PE,16792834,0.0,,
1780,BHARTIARTL25OCT1780CE,16745218,0.0,,,BHARTIARTL25OCT1780PE,16745474,0.0,,
1800,BHARTIARTL25NOV1800CE,16793090,0.0,,,BHARTIARTL25NOV1800PE,16793858,0.0,,
1820,BHARTIARTL25OCT1820CE,16745730,0.0,,,BHARTIARTL25OCT1820PE,16745986,0.0,,
1840,BHARTIARTL25NOV1840CE,16794114,0.0,,,BHARTIARTL25NOV1840PE,16794370,0.0,,
1860,BHARTIARTL25OCT1860CE,16746242,0.0,,,BHARTIARTL25OCT1860PE,16746498,0.0,,
1880,BHARTIARTL25NOV1880CE,16794626,0.0,,,BHARTIARTL25NOV1880PE,16794882,0.0,,
1900,BHARTIARTL25OCT1900CE,16746754,0.0,,,BHARTIARTL25OCT1900PE,16747010,0.0,,
1920,BHARTIARTL25NOV1920CE,16795138,0.0,,,BHARTIARTL25NOV1920PE,16795394,0.0,,
1940,BHARTIARTL25OCT1940CE,16747266,0.0,,,BHARTIARTL25OCT1940PE,16747522,0.0,,
1960,BHARTIARTL25NOV1960CE,16795650,0.0,,,BHARTIARTL25NOV1960PE,16795906,0.0,,
1980,BHARTIARTL25OCT1980CE,16748802,0.0,,,BHARTIARTL25OCT1980PE,16749058,0.0,,
2000,BHARTIARTL25NOV2000CE,16796162,0.0,,,BHARTIARTL25NOV2000PE,16796418,0.0,,
2020,BHARTIARTL25OCT2020CE,16750338,0.0,,,BHARTIARTL25OCT2020PE,16750594,0.0,,
2040,BHARTIARTL25NOV2040CE,16796674,0.0,,,BHARTIARTL25NOV2040PE,16796930,0.0,,
2060,BHARTIARTL25OCT2060CE,16751618,0.0,,,BHARTIARTL25OCT2060PE,16751874,0.0,,
2080,BHARTIARTL25NOV2080CE,16797186,0.0,,,BHARTIARTL25NOV2080PE,16797442,0.0,,
2100,BHARTIARTL25SEP2100CE,17836802,1.15,,,BHARTIARTL25SEP2100PE,17837058,206.0,,
2120,BHARTIARTL25OCT2120CE,17928962,0.0,,,BHARTIARTL25OCT2120PE,17929218,0.0,,
2160,BHARTIARTL25NOV2160CE,16798210,0.0,,,BHARTIARTL25NOV2160PE,16798466,0.0,,
2200,BHARTIARTL25SEP2200CE,18790402,0.65,,,BHARTIARTL25SEP2200PE,18790658,303.9,,
