date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2015-09-07,74,480.1665344238,519.7040405273,458.7514953613,458.7514953613,222388700.0,102350238.0,74,108629642602.16284
2015-11-26,125,467.8850402832,517.9565429688,467.8850402832,495.7983093262,132225034.0,70637700.0,51,65788617338.8035
2015-12-04,131,502.9979858398,504.6756591797,493.4449768066,493.4449768066,13149002.0,4410202.0,6,6582198370.529142
2015-12-09,134,494.8662719727,494.8662719727,488.109375,488.109375,7304042.0,2907404.0,3,3586872595.5650835
2016-01-01,150,494.2372436523,507.3551025391,487.5967102051,507.3551025391,36074320.0,29627072.0,16,18004271421.374607
2016-01-15,160,498.8506774902,498.8506774902,485.6396179199,485.6396179199,22908484.0,6084520.0,10,11282328293.499302
2016-02-12,179,478.0438232422,493.8411254883,452.6703186035,452.6703186035,64865222.0,25127874.0,19,30999736164.003937
2016-02-24,187,453.6954650879,461.0815734863,442.5114746094,442.5114746094,26112840.0,12608370.0,8,11859545748.383396
2016-03-04,194,439.2727966309,475.5740661621,439.2727966309,475.5740661621,22240948.0,18009350.0,7,10175961995.87373
2016-04-27,226,472.5916137695,523.8746337891,472.5916137695,523.8746337891,94926958.0,60427458.0,32,46982166589.15513
2016-05-27,248,519.0982666016,553.0462036133,519.0982666016,553.0462036133,57070088.0,36242320.0,22,30474420242.674538
2016-08-24,309,549.7608642578,592.8221435547,536.7595214844,592.8221435547,162713586.0,88989174.0,61,91924491637.27333
2016-09-23,329,591.2951660156,616.7360229492,581.6873779297,616.7360229492,52036736.0,31564414.0,20,31399119083.653988
2016-10-14,342,608.9605102539,609.8531494141,592.8221435547,592.8221435547,32536858.0,7726092.0,13,19595371926.94384
2016-11-23,368,581.4993286133,600.6916503906,556.622253418,556.622253418,82703920.0,28997598.0,26,48402769683.94259
2016-12-12,381,547.5782470703,563.5990600586,547.5782470703,556.481262207,34653644.0,10637216.0,13,19303242419.97256
2017-01-16,406,557.326965332,586.1740722656,551.1488037109,586.1740722656,58592524.0,40844162.0,25,32951620951.92616
2017-02-01,417,581.8752441406,613.447265625,580.8416748047,613.447265625,42751622.0,36555796.0,11,25525275022.88508
2017-02-22,432,610.1585083008,665.0573120117,609.665222168,657.3521728516,237598962.0,225555628.0,15,153087054420.90176
2017-03-20,448,655.0735473633,674.712097168,646.9456176758,674.712097168,50282436.0,25682848.0,16,33077778377.439598
2017-03-23,451,676.9907226562,676.9907226562,672.2689819336,672.2689819336,8058148.0,2778640.0,3,5430362969.87172
2017-03-27,453,669.1916503906,669.1916503906,662.3793334961,662.3793334961,4837224.0,0.0,2,3217055912.617036
2017-03-29,455,667.2419433594,671.1884765625,667.2419433594,671.1884765625,8318586.0,8318586.0,2,5567431773.112406
2017-03-30,456,688.8538208008,688.8538208008,688.8538208008,688.8538208008,17160546.0,17160546.0,1,11821107679.127886
2017-04-03,458,677.7424926758,677.7424926758,673.349609375,673.349609375,6900222.0,0.0,2,4667460507.673919
2017-04-12,464,672.9503173828,678.2827148438,672.9503173828,678.2827148438,13916042.0,9347064.0,6,9399007639.62487
2017-04-25,472,676.6854248047,722.1407470703,675.0410766602,722.1407470703,36111216.0,30140570.0,8,25348966697.95197
2017-04-26,473,728.5303344727,728.5303344727,728.5303344727,728.5303344727,3897926.0,3897926.0,1,2839757332.529834
2017-05-02,476,736.9636230469,736.9636230469,723.8086547852,723.8086547852,12812594.0,8090210.0,3,9387829333.946932
2017-05-05,479,725.546875,725.546875,719.8620605469,719.8620605469,5198444.0,1253982.0,3,3752425187.6439295
2017-05-11,483,721.0836181641,729.0707397461,721.0836181641,726.5336303711,6655538.0,4717666.0,4,4819861448.838193
2017-05-15,485,729.0001831055,729.8223266602,729.0001831055,729.8223266602,4476192.0,4476192.0,2,3264297753.5150504
2017-05-18,488,732.7587280273,732.7587280273,731.5606689453,731.5606689453,5085064.0,1795188.0,3,3722224361.7597218
2017-05-19,489,733.5104980469,733.5104980469,733.5104980469,733.5104980469,1427068.0,1427068.0,1,1046769359.4267935
2017-05-24,492,740.4403686523,740.4403686523,736.0943603516,736.0943603516,4703806.0,1430026.0,3,3470360610.611639
2017-05-26,494,759.7735595703,763.9313964844,759.7735595703,763.9313964844,12766980.0,12766980.0,2,9711329717.035831
2017-06-02,499,766.7033691406,768.7236938477,765.1529541016,767.8074951172,11121260.0,7224398.0,5,8528281551.414893
2017-06-07,502,768.4182739258,770.8848266602,768.4182739258,770.8848266602,5228404.0,5228404.0,3,4024746785.092368
2017-06-16,509,772.7406616211,787.7514038086,772.7406616211,784.2513427734,14858614.0,11166088.0,7,11631462918.41802
2017-06-29,517,795.362487793,798.0875244141,782.9357299805,786.5301513672,21213416.0,8212086.0,8,16758266298.55851
2017-07-04,520,781.3278198242,784.4254760742,781.3278198242,781.942565918,5800422.0,1752166.0,3,4538616274.765733
2017-07-05,521,779.7670898438,779.7670898438,779.7670898438,779.7670898438,2007100.0,0.0,1,1565070526.025491
2017-07-10,524,784.2127075195,792.8203735352,784.2127075195,792.8203735352,5699162.0,5699162.0,3,4486797541.224426
2017-07-17,529,794.7357177734,796.2254638672,794.5228271484,795.6578979492,9736384.0,8514758.0,5,7743189773.007814
2017-07-26,536,796.2254638672,826.4940185547,796.2254638672,826.4940185547,24307702.0,22370948.0,7,19851332218.96318
2017-08-10,547,846.4049682617,849.9755859375,832.594909668,832.594909668,37657704.0,18696390.0,11,31764578981.06909
2017-08-11,548,827.2034301758,827.2034301758,827.2034301758,827.2034301758,3179918.0,0.0,1,2630439077.2777696
2017-08-21,553,831.0578613281,842.4321899414,824.4366455078,824.4366455078,10587986.0,4001958.0,5,8817280402.791304
2017-08-23,555,826.2338256836,838.2702026367,826.2338256836,838.2702026367,4985040.0,4985040.0,2,4139032937.197743
2017-08-29,558,833.5645141602,833.5645141602,825.8318481445,825.8318481445,7152328.0,0.0,3,5942820709.398012
2017-08-31,560,836.42578125,840.1619873047,836.42578125,840.1619873047,4998878.0,4998878.0,2,4194834007.4250946
2017-09-01,561,835.9764404297,835.9764404297,835.9764404297,835.9764404297,1147586.0,0.0,1,959354859.3669577
2017-09-06,564,828.0783081055,832.3348999023,828.0783081055,832.3348999023,6538296.0,4717034.0,3,5430337318.022182
2017-09-07,565,835.4799804688,835.4799804688,835.4799804688,835.4799804688,3473210.0,3473210.0,1,2901797422.9640408
2017-09-08,566,845.4590454102,845.4590454102,845.4590454102,845.4590454102,4155832.0,4155832.0,1,3513585755.605162
2017-09-12,568,862.3430786133,867.9475097656,862.3430786133,867.9475097656,9082678.0,9082678.0,2,7851124829.637598
2017-09-22,576,871.092590332,879.8893432617,862.6978149414,862.6978149414,22322634.0,6423818.0,8,19438610542.069435
2017-09-25,577,851.181640625,851.181640625,851.181640625,851.181640625,5074614.0,0.0,1,4319418270.058594
2017-09-27,579,847.658203125,847.658203125,840.1857299805,840.1857299805,9387976.0,0.0,2,7930381277.437981
2017-09-28,580,849.0770874023,849.0770874023,849.0770874023,849.0770874023,13823232.0,13823232.0,1,11736989565.04627
2017-10-03,582,853.9956054688,855.4854736328,853.9956054688,855.4854736328,5304028.0,5304028.0,2,4532890159.491827
2017-10-06,585,849.8811035156,851.3471069336,849.8811035156,851.3471069336,6495980.0,3183428.0,3,5524294402.663114
2017-10-11,588,849.1715698242,852.5768432617,846.641418457,846.641418457,6064056.0,1899090.0,3,5149227163.495459
2017-10-13,590,860.1912841797,875.3255004883,860.1912841797,875.3255004883,5907512.0,5907512.0,2,5130273051.481784
2017-10-23,595,878.3286743164,883.6965942383,874.1903686523,881.2372436523,7273726.0,5682078.0,5,6400489804.212976
2017-10-24,596,883.0344238281,883.0344238281,883.0344238281,883.0344238281,5664436.0,5664436.0,1,5001891979.571147
2017-10-25,597,848.9824829102,848.9824829102,848.9824829102,848.9824829102,10683604.0,0.0,1,9070192650.349344
2017-11-03,604,849.1005859375,865.8192138672,847.0671386719,865.8192138672,29443704.0,23366430.0,7,25120266491.07271
2017-11-07,606,864.8261108398,864.8261108398,862.508605957,862.508605957,6797310.0,0.0,2,5869862665.102899
2017-11-09,608,863.5727539062,864.4713745117,863.5727539062,864.4713745117,3198226.0,3198226.0,2,2763299675.7944446
2017-11-17,614,861.7045898438,863.383605957,851.4180908203,863.383605957,16156406.0,5185872.0,6,13853632285.353054
2017-11-22,617,869.3427124023,877.4301757812,869.3427124023,877.4301757812,5164376.0,5164376.0,3,4516861945.870756
2017-11-27,620,871.5654907227,878.5177612305,871.5654907227,878.5177612305,6153368.0,4537078.0,3,5387038715.0339775
2017-11-29,622,882.2067871094,885.9667358398,882.2067871094,885.9667358398,4182562.0,4182562.0,2,3696040717.8825607
2017-12-12,631,876.6968994141,876.6968994141,852.8605957031,860.7114868164,21190698.0,8192968.0,9,18352060001.108448
2017-12-13,632,861.397277832,861.397277832,861.397277832,861.397277832,1453730.0,1453730.0,1,1252239064.7027133
2017-12-14,633,869.2954101562,869.2954101562,869.2954101562,869.2954101562,1841546.0,1841546.0,1,1600847485.3915095
2017-12-15,634,886.0375976562,886.0375976562,886.0375976562,886.0375976562,6225062.0,6225062.0,1,5515638979.740899
2017-12-19,636,888.6387939453,891.2636108398,888.6387939453,891.2636108398,8625050.0,8625050.0,2,7671053223.338438
2017-12-20,637,883.5310668945,883.5310668945,883.5310668945,883.5310668945,4671752.0,0.0,1,4127638028.8265142
2018-01-09,650,883.6019897461,888.2131958008,876.2004394531,881.4263916016,33827760.0,17676228.0,13,29860198162.044044
2018-01-10,651,881.6629638672,881.6629638672,881.6629638672,881.6629638672,2307944.0,2307944.0,1,2034828747.479521
2018-01-11,652,885.6119995117,885.6119995117,885.6119995117,885.6119995117,2029548.0,2029548.0,1,1797392062.3849716
2018-01-18,657,882.1832275391,914.8162841797,882.1832275391,914.8162841797,21456786.0,17835684.0,5,19367415236.41112
2018-01-24,661,923.282043457,928.5553588867,922.8563842773,925.8595581055,15072060.0,12548162.0,4,13944195724.223333
2018-02-14,674,934.0415039062,948.5845336914,874.7106323242,890.6251831055,45374132.0,18516324.0,13,41489350418.70926
2018-02-15,675,890.0340576172,890.0340576172,890.0340576172,890.0340576172,2457612.0,0.0,1,2187358380.408722
2018-02-19,677,888.4733276367,888.4733276367,888.283996582,888.283996582,3619036.0,0.0,2,3215070997.6647043
2018-03-05,686,881.1899414062,904.0568847656,876.4605102539,884.3823242188,22750682.0,4432816.0,9,20165119873.04155
2018-07-11,775,873.1735229492,1022.4920654297,866.7178344727,1022.4920654297,387753856.0,201216024.0,89,371747983312.79675
2018-07-20,782,1030.9167480469,1041.9114990234,1030.9167480469,1041.9114990234,31666564.0,18427760.0,7,32816684709.812126
2018-07-27,787,1026.3947753906,1048.1466064453,1026.3947753906,1048.1466064453,30481614.0,22041548.0,5,31611420882.641514
2018-08-06,793,1032.7967529297,1037.3660888672,1006.3330078125,1006.3330078125,25177984.0,4430472.0,6,25691438761.669407
2018-09-18,821,1014.2340087891,1016.8282470703,946.789855957,946.789855957,138062312.0,50181310.0,28,135635628870.40706
