date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2015-09-02,70,18538.634765625,19167.828125,16252.51171875,16252.51171875,43900.0,43900.0,70,784960209.1796875
2015-09-07,73,16555.20703125,16555.20703125,15789.916015625,15789.916015625,85700.0,0.0,3,1382247767.7734375
2015-10-28,103,16350.759765625,17933.841796875,16350.759765625,17372.94921875,0.0,0.0,30,0.0
2015-10-29,104,17212.0,17212.0,17212.0,17212.0,0.0,0.0,1,0.0
2015-11-03,107,17354.298828125,17354.298828125,17325.3984375,17325.3984375,0.0,0.0,3,0.0
2015-11-04,108,17220.8515625,17220.8515625,17220.8515625,17220.8515625,0.0,0.0,1,0.0
2016-01-14,111,16994.90234375,16994.90234375,15609.6181640625,15609.6181640625,134000.0,0.0,3,2134838426.8554688
2016-07-28,120,15560.9697265625,19076.328125,13555.54296875,19076.328125,64971200.0,470800.0,9,1011696216844.2383
2016-11-10,121,20200.015625,20200.015625,20200.015625,20200.015625,0.0,0.0,1,0.0
2016-12-12,122,18392.736328125,18392.736328125,18392.736328125,18392.736328125,0.0,0.0,1,0.0
2016-12-19,127,18465.8359375,18465.8359375,18256.837890625,18256.837890625,0.0,0.0,5,0.0
2016-12-20,128,18069.189453125,18069.189453125,18069.189453125,18069.189453125,0.0,0.0,1,0.0
2016-12-21,129,18084.2890625,18084.2890625,18084.2890625,18084.2890625,0.0,0.0,1,0.0
2016-12-22,130,17891.2421875,17891.2421875,17891.2421875,17891.2421875,0.0,0.0,1,0.0
2016-12-23,131,17883.79296875,17883.79296875,17883.79296875,17883.79296875,0.0,0.0,1,0.0
2017-01-03,136,17879.34375,18176.98828125,17876.4921875,18035.390625,0.0,0.0,5,0.0
2017-01-06,139,17890.79296875,18263.787109375,17890.79296875,18263.787109375,0.0,0.0,3,0.0
2017-01-10,141,18286.4375,18409.384765625,18286.4375,18409.384765625,0.0,0.0,2,0.0
2017-02-03,158,18829.78125,20196.56640625,18820.58203125,20196.56640625,0.0,0.0,17,0.0
2017-04-10,201,20371.36328125,21652.447265625,20150.916015625,21519.900390625,0.0,0.0,43,0.0
2017-04-27,213,21735.8984375,22326.041015625,21491.150390625,22326.041015625,0.0,0.0,12,0.0
2017-06-19,249,22357.990234375,23741.875,22307.041015625,23741.875,0.0,0.0,36,0.0
2017-07-14,267,23697.673828125,23937.421875,23210.9296875,23937.421875,0.0,0.0,18,0.0
2017-07-17,268,24014.771484375,24014.771484375,24014.771484375,24014.771484375,0.0,0.0,1,0.0
2017-07-18,269,24021.771484375,24021.771484375,24021.771484375,24021.771484375,0.0,0.0,1,0.0
2017-07-20,271,24152.369140625,24213.068359375,24152.369140625,24213.068359375,0.0,0.0,2,0.0
2017-07-26,275,24256.76953125,24670.412109375,24256.76953125,24670.412109375,0.0,0.0,4,0.0
2017-08-11,287,24922.111328125,25122.5078125,23985.470703125,23985.470703125,0.0,0.0,12,0.0
2017-08-16,289,24115.46875,24437.416015625,24115.46875,24437.416015625,0.0,0.0,2,0.0
2017-08-18,291,24236.96875,24236.96875,24074.169921875,24074.169921875,0.0,0.0,2,0.0
2017-08-21,292,23936.22265625,23936.22265625,23936.22265625,23936.22265625,0.0,0.0,1,0.0
2017-08-22,293,23974.169921875,23974.169921875,23974.169921875,23974.169921875,0.0,0.0,1,0.0
2017-08-28,296,24316.517578125,24376.81640625,24273.91796875,24376.81640625,0.0,0.0,3,0.0
2017-08-29,297,24128.66796875,24128.66796875,24128.66796875,24128.66796875,0.0,0.0,1,0.0
2017-08-30,298,24308.416015625,24308.416015625,24308.416015625,24308.416015625,0.0,0.0,1,0.0
2017-09-01,300,24318.1171875,24433.716796875,24318.1171875,24433.716796875,0.0,0.0,2,0.0
2017-09-05,301,24328.017578125,24328.017578125,24328.017578125,24328.017578125,0.0,0.0,1,0.0
2017-09-06,302,24278.869140625,24278.869140625,24278.869140625,24278.869140625,0.0,0.0,1,0.0
