date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2015-07-10,30,1064.4040527344,1080.6804199219,1015.4487304688,1015.4487304688,65021320.0,21618766.0,30,68129622995.04044
2015-07-23,39,1029.8947753906,1060.7330322266,1023.4922485352,1023.4922485352,13460070.0,6208280.0,9,13987334243.303438
2015-08-28,65,1030.2991943359,1127.255859375,1020.2224121094,1057.3192138672,61449380.0,25581934.0,26,65405114156.698746
2015-08-31,66,1054.5225830078,1054.5225830078,1054.5225830078,1054.5225830078,3692044.0,0.0,1,3893343775.45845
2015-09-07,71,1043.5625,1071.6112060547,1043.5625,1044.5286865234,13204206.0,6031024.0,5,13938931282.447088
2015-10-12,93,1044.7552490234,1115.2263183594,1039.203125,1066.2646484375,51856452.0,23228736.0,22,55478968457.37735
2015-10-15,96,1068.7116699219,1068.7116699219,1014.9168701172,1014.9168701172,17732550.0,6179712.0,3,18384194089.844627
2015-11-10,113,1016.6650390625,1048.3294677734,1013.1716918945,1013.1716918945,30835276.0,16016864.0,17,31836616923.625183
2015-11-13,114,988.1320800781,988.1320800781,988.1320800781,988.1320800781,2743232.0,0.0,1,2710675542.2968063
2015-11-16,115,978.7347412109,978.7347412109,978.7347412109,978.7347412109,2043528.0,0.0,1,2000071848.237228
2015-11-17,116,985.3089599609,985.3089599609,985.3089599609,985.3089599609,1985028.0,1985028.0,1,1955865874.1732655
2015-11-18,117,969.1928100586,969.1928100586,969.1928100586,969.1928100586,1520352.0,0.0,1,1473514227.1582127
2015-11-19,118,973.7682495117,973.7682495117,973.7682495117,973.7682495117,1866906.0,1866906.0,1,1817933787.6228898
2015-11-24,121,988.5236816406,988.5236816406,975.9938354492,975.9938354492,4098848.0,2012126.0,3,4036021833.4464235
2015-11-26,122,966.7614746094,966.7614746094,966.7614746094,966.7614746094,2915292.0,0.0,1,2818391992.836987
2015-11-27,123,969.9762573242,969.9762573242,969.9762573242,969.9762573242,1737206.0,1737206.0,1,1685048574.081144
2015-12-04,128,978.3020629883,978.3020629883,959.6926269531,959.6926269531,10991788.0,5740344.0,5,10694727848.752823
2015-12-07,129,956.1481933594,956.1481933594,956.1481933594,956.1481933594,1382604.0,0.0,1,1321974316.73148
2015-12-08,130,959.9400024414,959.9400024414,959.9400024414,959.9400024414,1139964.0,1139964.0,1,1094297044.943108
2016-01-14,156,975.8708496094,1015.0469360352,939.2493286133,939.2493286133,58637862.0,24522336.0,26,57493434083.44439
