Symbol,Target_Period,Target_Return,Opportunity_Prob,NaiveBayes_CV_Accuracy
AXISBANK,5,0.01,,0.9102981029810298
TATASTEEL,5,0.01,,0.9102981029810298
SBIN,5,0.01,,0.9102981029810298
EICHERMOT,5,0.01,,0.9102981029810298
NIFTY,5,0.015,,0.8755420054200542
BANKNIFTY,5,0.015,,0.8755420054200542
MARUTI,5,0.015,,0.8755420054200542
HEROMOTOCO,5,0.015,,0.8755420054200542
BAJFINANCE,5,0.015,,0.8755420054200542
M&M,5,0.015,,0.8755420054200542
HDFCBANK,5,0.015,,0.8755420054200542
RELIANCE,5,0.015,,0.8755420054200542
TATAMOTORS,5,0.015,,0.8755420054200542
BAJAJ-AUTO,5,0.015,,0.8755420054200542
ICICIBANK,5,0.015,,0.8755420054200542
TRENT,5,0.015,,0.8755420054200542
BAJAJFINSV,5,0.015,,0.8755420054200542
AXISBANK,5,0.015,,0.8755420054200542
TATASTEEL,5,0.015,,0.8755420054200542
SBIN,5,0.015,,0.8755420054200542
EICHERMOT,5,0.015,,0.8755420054200542
NIFTY,5,0.02,,0.7293360433604337
BANKNIFTY,5,0.02,,0.7293360433604337
MARUTI,5,0.02,,0.7293360433604337
HEROMOTOCO,5,0.02,,0.7293360433604337
BAJFINANCE,5,0.02,,0.7293360433604337
M&M,5,0.02,,0.7293360433604337
HDFCBANK,5,0.02,,0.7293360433604337
RELIANCE,5,0.02,,0.7293360433604337
TATAMOTORS,5,0.02,,0.7293360433604337
BAJAJ-AUTO,5,0.02,,0.7293360433604337
ICICIBANK,5,0.02,,0.7293360433604337
TRENT,5,0.02,,0.7293360433604337
BAJAJFINSV,5,0.02,,0.7293360433604337
AXISBANK,5,0.02,,0.7293360433604337
TATASTEEL,5,0.02,,0.7293360433604337
SBIN,5,0.02,,0.7293360433604337
EICHERMOT,5,0.02,,0.7293360433604337
NIFTY,7,0.01,,0.8604336043360433
BANKNIFTY,7,0.01,,0.8604336043360433
MARUTI,7,0.01,,0.8604336043360433
HEROMOTOCO,7,0.01,,0.8604336043360433
BAJFINANCE,7,0.01,,0.8604336043360433
M&M,7,0.01,,0.8604336043360433
HDFCBANK,7,0.01,,0.8604336043360433
RELIANCE,7,0.01,,0.8604336043360433
TATAMOTORS,7,0.01,,0.8604336043360433
BAJAJ-AUTO,7,0.01,,0.8604336043360433
ICICIBANK,7,0.01,,0.8604336043360433
TRENT,7,0.01,,0.8604336043360433
BAJAJFINSV,7,0.01,,0.8604336043360433
AXISBANK,7,0.01,,0.8604336043360433
TATASTEEL,7,0.01,,0.8604336043360433
SBIN,7,0.01,,0.8604336043360433
EICHERMOT,7,0.01,,0.8604336043360433
NIFTY,7,0.015,,0.7254065040650406
BANKNIFTY,7,0.015,,0.7254065040650406
MARUTI,7,0.015,,0.7254065040650406
HEROMOTOCO,7,0.015,,0.7254065040650406
BAJFINANCE,7,0.015,,0.7254065040650406
M&M,7,0.015,,0.7254065040650406
HDFCBANK,7,0.015,,0.7254065040650406
RELIANCE,7,0.015,,0.7254065040650406
TATAMOTORS,7,0.015,,0.7254065040650406
BAJAJ-AUTO,7,0.015,,0.7254065040650406
ICICIBANK,7,0.015,,0.7254065040650406
TRENT,7,0.015,,0.7254065040650406
BAJAJFINSV,7,0.015,,0.7254065040650406
AXISBANK,7,0.015,,0.7254065040650406
TATASTEEL,7,0.015,,0.7254065040650406
SBIN,7,0.015,,0.7254065040650406
EICHERMOT,7,0.015,,0.7254065040650406
NIFTY,7,0.02,,0.45494579945799457
BANKNIFTY,7,0.02,,0.45494579945799457
MARUTI,7,0.02,,0.45494579945799457
HEROMOTOCO,7,0.02,0.8725692618593552,0.45494579945799457
BAJFINANCE,7,0.02,,0.45494579945799457
M&M,7,0.02,,0.45494579945799457
HDFCBANK,7,0.02,,0.45494579945799457
RELIANCE,7,0.02,,0.45494579945799457
TATAMOTORS,7,0.02,0.8933749934613561,0.45494579945799457
BAJAJ-AUTO,7,0.02,,0.45494579945799457
ICICIBANK,7,0.02,,0.45494579945799457
TRENT,7,0.02,,0.45494579945799457
BAJAJFINSV,7,0.02,,0.45494579945799457
AXISBANK,7,0.02,,0.45494579945799457
TATASTEEL,7,0.02,0.8680534824958818,0.45494579945799457
SBIN,7,0.02,,0.45494579945799457
EICHERMOT,7,0.02,,0.45494579945799457
