tradingsymbol,exchange,instrument_token,product,segment,quantity,overnight_quantity,multiplier,average_price,close_price,last_price,value,pnl,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value
BANKNIFTY25SEP53800CE,NFO,13984514,NRML,,-35,0,1,981.75,1012.5,794.2,34361.25,6564.25,6564.25,6564.25,0,0,0.0,0.0,0.0,35,981.75,34361.25,34361.25,0,0.0,0.0,35,981.75,34361.25
BANKNIFTY25SEP53900CE,NFO,13985026,NRML,,-70,0,1,916.25,948.3,736.3,64137.5,12596.5,12596.5,12596.5,0,0,0.0,0.0,0.0,70,916.25,64137.5,64137.5,0,0.0,0.0,70,916.25,64137.5
BANKNIFTY25SEP54300CE,NFO,13986562,NRML,,105,0,1,682.5666666666667,712.6,538.35,-71669.5,-15142.75,-15142.75,-15142.75,0,105,682.5666666666667,71669.5,71669.5,0,0.0,0.0,0.0,105,682.5666666666667,71669.5,0,0.0,0.0
MARUTI25SEP14000PE,NFO,28658434,NRML,,50,0,1,65.65,0.0,73.0,-3282.5000000000005,367.49999999999955,367.49999999999955,367.49999999999955,0,50,65.65,3282.5000000000005,3282.5000000000005,0,0.0,0.0,0.0,50,65.65,3282.5000000000005,0,0.0,0.0
MARUTI25SEP14500PE,NFO,27645954,NRML,,-100,0,1,156.65,0.0,173.0,15665.0,-1635.0,-1635.0,-1635.0,0,0,0.0,0.0,0.0,100,156.65,15665.0,15665.0,0,0.0,0.0,100,156.65,15665.0
MARUTI25SEP15000PE,NFO,28662018,NRML,,50,0,1,341.95,0.0,373.85,-17097.5,1595.0,1595.0,1595.0,0,50,341.95,17097.5,17097.5,0,0.0,0.0,0.0,50,341.95,17097.5,0,0.0,0.0
MARUTI25SEP14900CE,NFO,27646978,NRML,,0,0,1,0.0,0.0,265.9,-2817.5000000000073,-2817.5000000000073,-2817.5000000000073,-2817.5000000000073,0,200,281.3625,56272.5,56272.5,200,267.275,53454.99999999999,53454.99999999999,200,281.3625,56272.5,200,267.275,53454.99999999999
