tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,mtf_quantity,mtf_used_quantity,mtf_average_price,mtf_value,mtf_initial_margin
BLUESTONE,NSE,194378497,INE304W01038,CNC,0,36,0,0,36,0,2025-09-04 00:00:00,36,0,0,,False,517.0,568.45,556.1,1852.2000000000016,12.350000000000023,2.2208235928789826,0,0,0,0,0
JSWCEMENT,NSE,194165761,INE718I01012,CNC,0,102,0,0,102,0,2025-09-04 00:00:00,102,0,0,,False,147.0,152.29,159.17,539.5799999999992,-6.8799999999999955,-4.322422567066655,0,0,0,0,0
YESBANK,BSE,136357892,INE528G01035,CNC,0,10515,0,0,10515,0,2025-09-04 00:00:00,10515,0,0,,False,20.085507,20.28,20.36,2045.0938950000143,-0.0799999999999983,-0.3929273084479288,0,0,0,0,0
