strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
5,TATASTEEL25OCT142.5CE,31438338,0.0,,,TATASTEEL25OCT142.5PE,31438594.0,0.0,,
130,TATASTEEL25NOV130CE,31505154,0.0,,,TATASTEEL25NOV130PE,31505410.0,1.8,,
135,TATASTEEL25OCT135CE,32958466,0.0,,,TATASTEEL25OCT135PE,32958722.0,0.0,,
140,TATASTEEL25NOV140CE,31508738,0.0,,,TATASTEEL25NOV140PE,31508994.0,0.0,,
145,TATASTEEL25NOV145CE,31509250,0.0,,,TATASTEEL25NOV145PE,31509506.0,0.0,,
150,TATASTEEL25NOV150CE,31509762,0.0,,,TATASTEEL25NOV150PE,31510018.0,0.0,,
155,TATASTEEL25NOV155CE,31510274,0.0,,,TATASTEEL25NOV155PE,31510530.0,0.0,,
160,TATASTEEL25NOV160CE,31510786,5.65,,,TATASTEEL25NOV160PE,31511042.0,0.0,,
165,TATASTEEL25NOV165CE,31511298,5.0,,,TATASTEEL25NOV165PE,31511554.0,0.0,,
170,TATASTEEL25NOV170CE,31512066,0.0,,,TATASTEEL25NOV170PE,31512322.0,0.0,,
175,TATASTEEL25OCT175CE,32968962,0.0,,,TATASTEEL25OCT175PE,32969218.0,0.0,,
180,TATASTEEL25OCT180CE,32969474,0.5,,,TATASTEEL25OCT180PE,32969730.0,0.0,,
185,TATASTEEL25SEP185CE,35944194,0.1,,,TATASTEEL25SEP185PE,35944450.0,28.35,,
190,TATASTEEL25SEP190CE,35944706,0.1,,,,,,,
1375,TATASTEEL25SEP1375CE,32934658,19.05,,,TATASTEEL25SEP1375PE,32934914.0,0.2,,
1425,TATASTEEL25OCT1425CE,31438338,0.0,,,TATASTEEL25OCT1425PE,31438594.0,0.0,,
1475,TATASTEEL25OCT1475CE,31438850,0.0,,,TATASTEEL25OCT1475PE,31439106.0,0.0,,
1525,TATASTEEL25OCT1525CE,31439362,0.0,,,TATASTEEL25OCT1525PE,31439618.0,0.0,,
1575,TATASTEEL25OCT1575CE,31439874,5.35,,,TATASTEEL25OCT1575PE,31440130.0,0.0,,
1625,TATASTEEL25OCT1625CE,31447042,0.0,,,TATASTEEL25OCT1625PE,31447298.0,0.0,,
1675,TATASTEEL25OCT1675CE,31469826,0.0,,,TATASTEEL25OCT1675PE,31470082.0,0.0,,
1725,TATASTEEL25SEP1725CE,32945922,0.3,,,TATASTEEL25SEP1725PE,32946178.0,15.95,,
1775,TATASTEEL25SEP1775CE,32946434,0.2,,,TATASTEEL25SEP1775PE,32946690.0,21.95,,
