strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
620,,,,,,HDFCLIFE25SEP620PE,23372802.0,0.25,,
640,HDFCLIFE25NOV640CE,22172418.0,0.0,,,HDFCLIFE25NOV640PE,22178050.0,0.0,,
660,HDFCLIFE25OCT660CE,23059970.0,0.0,,,HDFCLIFE25OCT660PE,23060738.0,0.0,,
680,HDFCLIFE25NOV680CE,22179330.0,0.0,,,HDFCLIFE25NOV680PE,22179586.0,0.0,,
690,HDFCLIFE25OCT690CE,22126594.0,0.0,,,HDFCLIFE25OCT690PE,22137858.0,0.0,,
700,HDFCLIFE25NOV700CE,22180610.0,0.0,,,HDFCLIFE25NOV700PE,22180866.0,0.0,,
710,HDFCLIFE25OCT710CE,22138114.0,0.0,,,HDFCLIFE25OCT710PE,22138882.0,0.0,,
720,HDFCLIFE25NOV720CE,22181378.0,0.0,,,HDFCLIFE25NOV720PE,22181634.0,0.0,,
730,HDFCLIFE25OCT730CE,22139138.0,0.0,,,HDFCLIFE25OCT730PE,22139394.0,0.0,,
740,HDFCLIFE25NOV740CE,22184706.0,0.0,,,HDFCLIFE25NOV740PE,22184962.0,0.0,,
750,HDFCLIFE25OCT750CE,22139650.0,0.0,,,HDFCLIFE25OCT750PE,22139906.0,0.0,,
760,HDFCLIFE25NOV760CE,22189314.0,0.0,,,HDFCLIFE25NOV760PE,22189570.0,0.0,,
770,HDFCLIFE25OCT770CE,22140162.0,0.0,,,HDFCLIFE25OCT770PE,22140418.0,0.0,,
780,HDFCLIFE25NOV780CE,22189826.0,0.0,,,HDFCLIFE25NOV780PE,22190082.0,0.0,,
790,HDFCLIFE25OCT790CE,22140674.0,0.0,,,HDFCLIFE25OCT790PE,22140930.0,0.0,,
800,HDFCLIFE25NOV800CE,22190338.0,0.0,,,HDFCLIFE25NOV800PE,22190594.0,0.0,,
810,HDFCLIFE25OCT810CE,22141442.0,0.0,,,HDFCLIFE25OCT810PE,22141698.0,0.0,,
820,HDFCLIFE25NOV820CE,22190850.0,0.0,,,HDFCLIFE25NOV820PE,22191106.0,0.0,,
830,HDFCLIFE25OCT830CE,22141954.0,0.0,,,HDFCLIFE25OCT830PE,22142210.0,0.0,,
840,HDFCLIFE25NOV840CE,22191362.0,0.0,,,HDFCLIFE25NOV840PE,22191618.0,0.0,,
850,HDFCLIFE25OCT850CE,22142466.0,0.0,,,HDFCLIFE25OCT850PE,22142722.0,0.0,,
860,HDFCLIFE25NOV860CE,22191874.0,0.0,,,HDFCLIFE25NOV860PE,22192130.0,0.0,,
870,HDFCLIFE25SEP870CE,22995458.0,0.8,,,,,,,
880,HDFCLIFE25NOV880CE,22194690.0,0.0,,,HDFCLIFE25NOV880PE,22194946.0,0.0,,
900,HDFCLIFE25OCT900CE,23090946.0,0.0,,,HDFCLIFE25OCT900PE,23094018.0,0.0,,
920,HDFCLIFE25SEP920CE,23381250.0,1.4,,,,,,,
