strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
100,BAJFINANCE25SEP100CE,17308162.0,782.2,,,,,,,
200,,,,,,BAJFINANCE25SEP200PE,18175234.0,0.5,,
300,,,,,,BAJFINANCE25SEP300PE,17308930.0,0.35,,
400,,,,,,BAJFINANCE25SEP400PE,18175746.0,0.2,,
600,,,,,,BAJFINANCE25SEP600PE,18178050.0,0.15,,
700,BAJFINANCE25SEP700CE,17309698.0,184.7,,,BAJFINANCE25SEP700PE,17309954.0,0.25,,
740,BAJFINANCE25OCT740CE,10578946.0,0.0,,,BAJFINANCE25OCT740PE,10579202.0,0.0,,
760,BAJFINANCE25NOV760CE,15842562.0,0.0,,,BAJFINANCE25NOV760PE,15842818.0,0.0,,
770,,,,,,BAJFINANCE25SEP770PE,10358786.0,0.85,,
780,BAJFINANCE25NOV780CE,15862018.0,0.0,,,BAJFINANCE25NOV780PE,15862274.0,0.0,,
790,BAJFINANCE25OCT790CE,15596290.0,0.0,,,BAJFINANCE25OCT790PE,15597314.0,2.15,,
800,BAJFINANCE25NOV800CE,15862530.0,0.0,,,BAJFINANCE25NOV800PE,15862786.0,0.0,,
810,BAJFINANCE25OCT810CE,15598082.0,0.0,,,BAJFINANCE25OCT810PE,15598338.0,0.0,,
820,BAJFINANCE25NOV820CE,15863042.0,0.0,,,BAJFINANCE25NOV820PE,15863298.0,0.0,,
830,BAJFINANCE25OCT830CE,15598594.0,0.0,,,BAJFINANCE25OCT830PE,15598850.0,0.0,,
840,BAJFINANCE25NOV840CE,15863554.0,0.0,,,BAJFINANCE25NOV840PE,15863810.0,0.0,,
850,BAJFINANCE25OCT850CE,15599106.0,0.0,,,BAJFINANCE25OCT850PE,15599362.0,0.0,,
860,BAJFINANCE25NOV860CE,15864066.0,0.0,,,BAJFINANCE25NOV860PE,15864322.0,0.0,,
870,BAJFINANCE25OCT870CE,15599874.0,0.0,,,BAJFINANCE25OCT870PE,15600130.0,0.0,,
880,BAJFINANCE25NOV880CE,15881730.0,0.0,,,BAJFINANCE25NOV880PE,15881986.0,0.0,,
890,BAJFINANCE25OCT890CE,15603714.0,0.0,,,BAJFINANCE25OCT890PE,15603970.0,0.0,,
900,BAJFINANCE25NOV900CE,15882242.0,0.0,,,BAJFINANCE25NOV900PE,15882498.0,0.0,,
910,BAJFINANCE25OCT910CE,15612930.0,24.95,,,BAJFINANCE25OCT910PE,15613186.0,0.0,,
920,BAJFINANCE25NOV920CE,15884802.0,0.0,,,BAJFINANCE25NOV920PE,15885058.0,0.0,,
930,BAJFINANCE25OCT930CE,15613442.0,0.0,,,BAJFINANCE25OCT930PE,15614210.0,0.0,,
940,BAJFINANCE25NOV940CE,15911426.0,0.0,,,BAJFINANCE25NOV940PE,15911682.0,0.0,,
950,BAJFINANCE25OCT950CE,15615490.0,14.05,,,BAJFINANCE25OCT950PE,15617026.0,0.0,,
960,BAJFINANCE25NOV960CE,15913218.0,0.0,,,BAJFINANCE25NOV960PE,15913474.0,0.0,,
970,BAJFINANCE25OCT970CE,15617282.0,0.0,,,BAJFINANCE25OCT970PE,15617538.0,0.0,,
980,BAJFINANCE25NOV980CE,15927298.0,0.0,,,BAJFINANCE25NOV980PE,15927554.0,0.0,,
990,BAJFINANCE25SEP990CE,10562562.0,1.35,,,BAJFINANCE25SEP990PE,10562818.0,109.85,,
1000,BAJFINANCE25NOV1000CE,15946754.0,0.0,,,BAJFINANCE25NOV1000PE,15947010.0,0.0,,
1010,BAJFINANCE25SEP1010CE,10563074.0,0.9,,,BAJFINANCE25SEP1010PE,10563330.0,129.35,,
1020,BAJFINANCE25OCT1020CE,10585090.0,3.9,,,BAJFINANCE25OCT1020PE,10585346.0,0.0,,
1030,,,,,,BAJFINANCE25SEP1030PE,10564354.0,131.2,,
1040,BAJFINANCE25OCT1040CE,10585602.0,3.45,,,BAJFINANCE25SEP1040PE,10565378.0,137.8,,
1100,BAJFINANCE25SEP1100CE,17310722.0,0.3,,,BAJFINANCE25SEP1100PE,17310978.0,218.0,,
1200,BAJFINANCE25SEP1200CE,18181378.0,0.2,,,BAJFINANCE25SEP1200PE,18183938.0,305.0,,
1300,,,,,,BAJFINANCE25SEP1300PE,17311490.0,410.0,,
1500,,,,,,BAJFINANCE25SEP1500PE,17312002.0,613.5,,
1800,BAJFINANCE25SEP1800CE,18200834.0,0.25,,,,,,,
2000,BAJFINANCE25SEP2000CE,18201346.0,0.25,,,,,,,
2200,BAJFINANCE25SEP2200CE,18202114.0,0.5,,,,,,,
